Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Project Board Module AM625.PrjPCB|ReportField=ProjectFullPath~E:\Project Board module Am625\Project\Project Board Module AM625.PrjPCB|ReportField=Title~Bill of Materials For Project [Project Board Module AM625.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:10:48 PM|ReportField=ReportDate~10/14/2023|ReportField=ReportDateTime~10/14/2023 10:10:48 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~231|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/14/2023|ReportField=CurrentTime~10:10:33 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Project Board module Am625\Schematic\BLOCK DIAGRAM.SchDoc|ReportField=DocumentName~BLOCK DIAGRAM.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/12/2023|ReportField=Organization~|ReportField=ProjectName~Project Board Module AM625.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Project Board Module AM625.PrjPCB|ReportField=DataSourceFullPath~E:\Project Board module Am625\Project\Project Board Module AM625.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10n|CAP CER .01UF 16V 10% X5R 0201|C1, C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17, C18, C59, C62, C66, C69, C72, C75, C78, C81, C84, C87|C0201|C0603X5R1C103K030BA|23
2|100n|CAP CER 0.1UF 16V 10% X5R 0201|C2, C3, C10, C19, C20, C21, C58, C61, C65, C68, C71, C74, C77, C80, C83, C86, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C126, C127, C128, C129, C133, C134, C135, C136, C137, C138, C141, C142, C143, C144, C145, C146|C0201|C0603X5R1C104K030BC|62
3|2u2|CAP CER 2.2UF 10V 10% X5R 0402|C4, C29, C30, C32, C33, C35, C36, C37, C38|C0402|C1005X5R1A225K|9
4|22u / 10V|CAP CER 22UF 10V X5R 0603|C9|C0603|C1608X5R1A226M080AC|1
5|47uF|47 µF ±20% 6.3V Ceramic Capacitor X5R 0805 (2012 Metric)|C22, C28, C31|C0805|CL21A476MQYNNNG|3
6|10uF|10 µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)|C23, C40, C89, C130|C0603|CL10A106MQ8NNNC|4
7|4u7|CAP CER 4.7UF 10V 20% X5R 0402|C24, C25, C26, C27, C34|C0402|C1005X5R1A475M|5
8|1uF / 6.3V|CAP CER 1UF 6.3V X5R 0201|C39, C42, C64, C67, C73, C79, C82, C88|C0201|CL03A105KQ3CSNC|8
9|1u|CAP CER 1.0UF 16V X5R 0402|C41|C0402|C1005X5R1C105K|1
10|100n|CAP CER .10UF 50V X5R 10% 0402|C43|C0402|C1005X5R1H104K|1
11|18PF|CAP CER 18PF 50V C0G/NP0 0402|C44, C45|C0402|GJM1555C1H180JB01D|2
12|9PF|CAP CER 9PF 50V C0G/NP0 0402|C46, C47|C0402|GJM1555C1H9R0DB01D|2
13|1uF|CAP CER 1UF 6.3V X5R 0201|C48, C49, C50, C51, C52, C53, C54, C55, C56, C91, C110, C125, C132, C140|C0201|CL03A105KQ3CSNC|14
14|2p2|CAP CER 2.2PF 50V C0G 0201|C57|C0201|C0603C0G1H2R2C030BA|1
