"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Rise Rail Overshoot Area (2), [V*ns]","Rise Rail Overshoot Area (2) Limit, [V*ns]","Rise Rail Overshoot Area (2) Margin, [V*ns]","Rise Rail Overshoot Area (2), [Pass/Fail]","Rise Rail Overshoot Area (2) Trace Point, [ns]","Fall Rail Undershoot Area (2), [V*ns]","Fall Rail Undershoot Area (2) Limit, [V*ns]","Fall Rail Undershoot Area (2) Margin, [V*ns]","Fall Rail Undershoot Area (2), [Pass/Fail]","Fall Rail Undershoot Area (2) Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","Vdd/2, mV","VSEL Limit, mV","VSEL Margin, mV","VSEL, [Pass/Fail]","VSEL Trace Point, [ns]","VSEH Limit, mV","VSEH Margin, mV","VSEH, [Pass/Fail]","VSEH Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DDR_CLK_P","Pass","Write rank(1,1)","U1.L1&L2","U2.K7&K8","   0.0"," 300.0"," 300.0","Pass","N/A","   0.0"," 300.0"," 300.0","Pass","N/A","0.0000","0.1125","0.1125","Pass","N/A","0.0000","0.1144","0.1144","Pass","N/A","0.0000","0.0038","0.0038","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  41.9","Pass"," 480.0"," 720.0","  92.0","Pass","78.535"," 180.0"," 547.9","Pass"," 1.971"," 150.0","Pass","N/A"," 600.0"," 500.0"," 278.1","Pass"," 1.971"," 700.0"," 249.8","Pass"," 1.971","   582","   120","   462","Pass"," 1.348"
"DDR_LDQS_P","Pass","Write rank(1,1)","U1.E1&E2","U2.G3&F3","  27.1"," 400.0"," 372.9","Pass"," 2.729","   0.0"," 400.0"," 400.0","Pass","N/A","0.0031","0.1050","0.1019","Pass","80.240","0.0000","0.1050","0.1050","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","N/A","N/A"," 671.8","1025.0"," 161.6","Pass"," 1.705","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_UDQS_P","Pass","Write rank(1,1)","U1.V1&V2","U2.B7&A7","  25.6"," 400.0"," 374.4","Pass"," 2.108","   0.0"," 400.0"," 400.0","Pass","N/A","0.0028","0.1050","0.1022","Pass"," 2.054","0.0000","0.1050","0.1050","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","N/A","N/A"," 683.0","1021.5"," 153.7","Pass","38.553","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A0","Pass","Write rank(1,1)","U1.J1","U2.P3"," 146.6"," 300.0"," 153.4","Pass","43.407"," 206.9"," 300.0","  93.1","Pass","44.647","0.0347","0.2550","0.2203","Pass","58.309","0.0615","0.2644","0.2029","Pass","30.799","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  27.9","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A1","Pass","Write rank(1,1)","U1.J2","U2.P7"," 205.0"," 300.0","  95.0","Pass","68.419"," 269.4"," 300.0","  30.6","Pass","40.903","0.0423","0.2550","0.2127","Pass","79.585","0.0677","0.2644","0.1967","Pass","67.069","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A10","Pass","Write rank(1,1)","U1.R5","U2.M3"," 125.9"," 300.0"," 174.1","Pass","68.279"," 207.8"," 300.0","  92.2","Pass","20.766","0.0262","0.2550","0.2288","Pass","68.269","0.0487","0.2644","0.2157","Pass","20.754","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A11","Pass","Write rank(1,1)","U1.P5","U2.T2"," 141.4"," 300.0"," 158.6","Pass","62.051"," 218.5"," 300.0","  81.5","Pass"," 7.036","0.0285","0.2550","0.2265","Pass","69.536","0.0507","0.2644","0.2137","Pass","78.270","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  37.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A12","Pass","Write rank(1,1)","U1.R6","U2.M7"," 131.5"," 300.0"," 168.5","Pass"," 3.288"," 209.8"," 300.0","  90.2","Pass","32.022","0.0269","0.2550","0.2281","Pass"," 3.268","0.0487","0.2644","0.2157","Pass","32.005","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A13","Pass","Write rank(1,1)","U1.R1","U2.T8"," 162.3"," 300.0"," 137.7","Pass","78.445"," 214.4"," 300.0","  85.6","Pass"," 9.681","0.0427","0.2550","0.2123","Pass","78.347","0.0706","0.2644","0.1938","Pass"," 9.585","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A14_WEn","Pass","Write rank(1,1)","U1.N3","U2.L2"," 127.1"," 300.0"," 172.9","Pass","24.623"," 199.6"," 300.0"," 100.4","Pass","45.864","0.0295","0.2550","0.2255","Pass","27.046","0.0532","0.2644","0.2112","Pass","62.031","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
