"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Strobe Net Name","Eye-Mask Width, TdIVW_Total, [ps]","Eye-Mask Height, VdIVW_Total, [mV]","Voltage at Widest Eye Opening, Vcent, [mV]","Average Center Voltage, Vcent(pin_mid), [mV]","Output Delay Uncertainty, [ps]","Min Setup Time Measured, [ps]","Min Setup Time Margin, [ps]","Min Setup Time Margin with Output Delay Uncertainty, [ps]","Min Setup Time Trace Point, [ns]","Min Hold Time Measured, [ps]","Min Hold Time Margin, [ps]","Min Hold Time Margin with Output Delay Uncertainty, [ps]","Min Hold Time Trace Point, [ns]","VIHL_AC/2 Limit, [mV]","Min Peak Above Vcent(pin mid) [mV]","Min Peak Above Vcent(pin mid) Margin, [mV]","Min Peak Above Vcent(pin mid) Trace Point, [ns]","Min Peak Below Vcent(pin mid) [mV]","Min Peak Below Vcent(pin mid) Margin, [mV]","Min Peak Below Vcent(pin mid) Trace Point, [ns]","Min Voltage Above Eye-Mask [mV]","Min Voltage Above Eye-Mask Trace Point, [ns]","Min Voltage Below Eye-Mask [mV]","Min Voltage Below Eye-Mask Trace Point, [ns]","Min Pulse Width [ps]","Min Pulse Width Limit, TdIPW, [ps]","Min Pulse Width Margin, [ps]","Min Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Pulse Width Trace Point, [ns]","Min Slew Rate [V/ns]","Min Slew Rate Limit, SRIN_dIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Min Slew Rate Trace Point, [ns]","Max Slew Rate [V/ns]","Max Slew Rate Limit, SRIN_dIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Max Slew Rate Trace Point, [ns]","Min Slew Rate (2) [V/ns]","Min Slew Rate (2) Limit, SRIN_dIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Min Slew Rate (2) Trace Point, [ns]","Max Slew Rate (2) [V/ns]","Max Slew Rate (2) Limit, SRIN_dIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2) Trace Point, [ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","   125"," 136.0"," 538.2"," 700.3","   6.0"," 199.7"," 137.2"," 131.2","13.578"," 299.2"," 236.7"," 230.7","39.204","  93.0"," 501.7"," 408.7","79.828"," 700.6"," 607.6","12.954","378.214"," 7.954","566.669","47.953"," 534.2","   363"," 171.7"," 159.7"," 2.954"," 4.639"," 1.000"," 3.639"," 2.328"," 5.676"," 9.000"," 3.324"," 2.954"," 4.584"," 0.931"," 3.653","13.578"," 5.233"," 9.000"," 3.767"," 3.578","Eye-Rectangle"
"DDR_DQ1","Pass","Write rank(1,1)","U1.H6","U2.F7","DDR_LDQS_P","   125"," 136.0"," 536.4"," 700.3","   6.0"," 203.4"," 140.9"," 134.9","11.703"," 302.0"," 239.5"," 233.5"," 7.954","  93.0"," 505.9"," 412.9","16.078"," 700.0"," 607.0","82.954","375.148","45.454","562.867","44.204"," 540.3","   363"," 177.8"," 165.8","11.703"," 4.822"," 1.000"," 3.822","46.704"," 5.521"," 9.000"," 3.479","11.703"," 4.747"," 0.981"," 3.767","34.828"," 5.361"," 9.000"," 3.639","28.578","Eye-Rectangle"
"DDR_DQ10","Pass","Write rank(1,1)","U1.U2","U2.C3","DDR_UDQS_P","   125"," 136.0"," 543.0"," 700.3","   6.0"," 186.5"," 124.0"," 118.0","27.927"," 320.3"," 257.8"," 251.8","67.927","  93.0"," 501.0"," 408.0","36.677"," 701.5"," 608.5","27.302","388.178","32.927","581.506","81.678"," 547.2","   363"," 184.7"," 172.7","80.428"," 4.545"," 1.000"," 3.545","67.927"," 6.244"," 9.000"," 2.756","56.677"," 4.757"," 0.934"," 3.823","57.927"," 6.869"," 9.000"," 2.131","73.552","Eye-Rectangle"
"DDR_DQ11","Pass","Write rank(1,1)","U1.V5","U2.C7","DDR_UDQS_P","   125"," 136.0"," 543.2"," 700.3","   6.0"," 190.2"," 127.7"," 121.7","18.552"," 315.2"," 252.7"," 246.7","58.552","  93.0"," 504.8"," 411.8","53.552"," 702.0"," 609.0","82.927","380.460","51.678","559.857","70.428"," 542.0","   363"," 179.5"," 167.5","13.552"," 4.484"," 1.000"," 3.484"," 1.677"," 5.823"," 9.000"," 3.177","31.677"," 4.684"," 0.898"," 3.786","59.177"," 6.264"," 9.000"," 2.736","32.302","Eye-Rectangle"
"DDR_DQ12","Pass","Write rank(1,1)","U1.W2","U2.C2","DDR_UDQS_P","   125"," 136.0"," 549.0"," 700.3","   6.0"," 182.3"," 119.8"," 113.8","34.801"," 321.8"," 259.3"," 253.3","77.927","  93.0"," 502.1"," 409.1"," 9.802"," 700.6"," 607.6","58.552","380.166","26.677","561.638","72.302"," 544.7","   363"," 182.2"," 170.2","54.802"," 4.431"," 1.000"," 3.431","61.051"," 5.784"," 9.000"," 3.216","71.051"," 4.293"," 1.001"," 3.292","31.677"," 6.263"," 9.000"," 2.737","55.428","Eye-Rectangle"
"DDR_DQ13","Pass","Write rank(1,1)","U1.V6","U2.C8","DDR_UDQS_P","   125"," 136.0"," 541.2"," 700.3","   6.0"," 185.0"," 122.5"," 116.5","29.801"," 316.1"," 253.6"," 247.6","60.428","  93.0"," 502.3"," 409.3","82.927"," 699.7"," 606.7","10.428","374.834","50.428","565.132","12.928"," 538.9","   363"," 176.4"," 164.4","39.802"," 4.438"," 1.000"," 3.438"," 5.427"," 5.200"," 9.000"," 3.800","76.678"," 4.252"," 0.895"," 3.357","74.177"," 5.462"," 9.000"," 3.538","40.428","Eye-Rectangle"
"DDR_DQ14","Pass","Write rank(1,1)","U1.Y1","U2.D3","DDR_UDQS_P","   125"," 136.0"," 543.2"," 700.3","   6.0"," 168.9"," 106.4"," 100.4","48.552"," 339.8"," 277.3"," 271.3","50.428","  93.0"," 507.7"," 414.7","11.052"," 703.0"," 610.0","17.927","364.157","21.052","544.682"," 6.677"," 557.2","   363"," 194.7"," 182.7","79.802"," 4.679"," 1.000"," 3.679","72.927"," 6.825"," 9.000"," 2.175","79.802"," 4.554"," 0.936"," 3.619","73.552"," 7.371"," 9.000"," 1.629","67.302","Eye-Rectangle"
"DDR_DQ15","Pass","Write rank(1,1)","U1.W1","U2.D7","DDR_UDQS_P","   125"," 136.0"," 547.8"," 700.3","   6.0"," 178.7"," 116.2"," 110.2","22.302"," 326.3"," 263.8"," 257.8","46.677","  93.0"," 500.6"," 407.6","45.428"," 698.6"," 605.6","79.802","382.937","37.927","574.068","75.428"," 549.3","   363"," 186.8"," 174.8","55.428"," 4.262"," 1.000"," 3.262","56.677"," 6.951"," 9.000"," 2.049","38.552"," 4.784"," 0.852"," 3.931","57.302"," 6.892"," 9.000"," 2.108","51.678","Eye-Rectangle"
"DDR_DQ2","Pass","Write rank(1,1)","U1.E3","U2.H3","DDR_LDQS_P","   125"," 136.0"," 542.6"," 700.3","   6.0"," 185.9"," 123.4"," 117.4","42.953"," 319.5"," 257.0"," 251.0","77.953","  93.0"," 495.2"," 402.2","43.578"," 700.4"," 607.4","12.954","375.795","43.578","576.394","64.203"," 547.7","   363"," 185.2"," 173.2","69.828"," 4.862"," 1.000"," 3.862","49.828"," 6.141"," 9.000"," 2.859","75.454"," 4.895"," 0.982"," 3.913","54.828"," 6.253"," 9.000"," 2.747","59.203","Eye-Rectangle"
"DDR_DQ3","Pass","Write rank(1,1)","U1.F3","U2.H7","DDR_LDQS_P","   125"," 136.0"," 537.1"," 700.3","   6.0"," 194.4"," 131.9"," 125.9"," 9.828"," 313.6"," 251.1"," 245.1","66.078","  93.0"," 501.4"," 408.4","71.704"," 699.8"," 606.8","59.828","380.480","19.828","572.970","39.828"," 545.3","   363"," 182.8"," 170.8"," 9.828"," 4.947"," 1.000"," 3.947","34.828"," 5.962"," 9.000"," 3.038","56.078"," 4.904"," 1.016"," 3.888","60.454"," 6.016"," 9.000"," 2.984","10.454","Eye-Rectangle"
