"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Clk/Strobe Net Name","Associated Clk/Strobe Driver Comp Ref Des & Pin Name","Associated Clk/Strobe Receiver Comp Ref Des & Pin Name","Clk/Strobe Crossing Threshold Time, [ns]","Average Center Voltage, Vcent(pin_mid), [mV]","Upper Eye Mask, Vcent(pin_mid) + VdIVW_Total/2, [mV]","Lower Eye Mask, Vcent(pin_mid) - VdIVW_Total/2, [mV]","Half Eye-Mask Width, TdIVW/2, [ps]","Output Delay Uncertainty, [ps]","Measured Setup Time, [ps]","Setup Time Margin, [ps]","Setup Time Margin with Output Delay Uncertainty, [ps]","Measured Hold Time, [ps]","Hold Time Margin, [ps]","Hold Time Margin with Output Delay Uncertainty, [ps]","Min Voltage Above/Below Eye-Mask, [mV]","Peak Voltage Above/Below Vcent(pin_mid), [mV]","VIHL_AC/2 Limit, [mV]","Peak Voltage Above/Below Vcent(pin_mid) Margin, [mV]","Vcent(pin_mid) to Vcent(pin_mid) Pulse Width, [ps]","Pulse Width Limit, tdIPW, [ps]","Pulse Width Margin, [ps]","Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Slew Rate, [V/ns]","Min Slew Rate Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Max Slew Rate, [V/ns]","Max Slew Rate Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Min Slew Rate (2), [V/ns]","Min Slew Rate (2) Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2), [V/ns]","Max Slew Rate (2) Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 1.703"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","574.944"," 742.6","  93.0"," 649.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 2.328"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 396.4"," 333.9"," 327.9","612.212"," 726.4","  93.0"," 633.4","N/A","N/A","N/A","N/A"," 4.639"," 1.000"," 3.639"," 4.639"," 9.000"," 4.361","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 2.954"," 700.3"," 768.3"," 632.3","    62","   6.0"," 200.1"," 137.6"," 131.6"," 307.7"," 245.2"," 239.2","412.948"," 595.6","  93.0"," 502.6"," 534.2","   363"," 171.7"," 159.7"," 4.639"," 1.000"," 3.639"," 5.676"," 9.000"," 3.324"," 4.605"," 0.928"," 3.677"," 4.605"," 9.000"," 4.395","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 3.578"," 700.3"," 768.3"," 632.3","    62","   6.0"," 292.5"," 230.0"," 224.0"," 362.5"," 300.0"," 294.0","755.947"," 891.1","  93.0"," 798.1"," 681.7","   363"," 319.2"," 307.2"," 4.736"," 1.000"," 3.736"," 5.676"," 9.000"," 3.324"," 5.233"," 1.135"," 4.098"," 5.233"," 9.000"," 3.767","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 4.204"," 700.3"," 768.3"," 632.3","    62","   6.0"," 234.6"," 172.1"," 166.1","N/A","N/A","N/A","461.159"," 562.2","  93.0"," 469.2","N/A","N/A","N/A","N/A"," 4.736"," 1.000"," 3.736"," 4.736"," 9.000"," 4.264"," 4.677"," 0.947"," 3.730"," 4.677"," 9.000"," 4.323","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 4.828"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","398.371"," 540.9","  93.0"," 447.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 5.454"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 327.7"," 265.2"," 259.2","414.333"," 512.8","  93.0"," 419.8","N/A","N/A","N/A","N/A"," 4.734"," 1.000"," 3.734"," 4.734"," 9.000"," 4.266","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 6.079"," 700.3"," 768.3"," 632.3","    62","   6.0"," 268.6"," 206.1"," 200.1","N/A","N/A","N/A","697.727"," 867.8","  93.0"," 774.8","N/A","N/A","N/A","N/A"," 4.734"," 1.000"," 3.734"," 4.734"," 9.000"," 4.266"," 4.878"," 0.947"," 3.932"," 4.878"," 9.000"," 4.122","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 6.703"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 393.5"," 331.0"," 325.0","573.019"," 737.5","  93.0"," 644.5","N/A","N/A","N/A","N/A"," 4.900"," 1.000"," 3.900"," 4.900"," 9.000"," 4.100","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 7.328"," 700.3"," 768.3"," 632.3","    62","   6.0"," 203.7"," 141.2"," 135.2","N/A","N/A","N/A","429.774"," 615.5","  93.0"," 522.5","N/A","N/A","N/A","N/A"," 4.900"," 1.000"," 3.900"," 4.900"," 9.000"," 4.100"," 4.888"," 0.980"," 3.908"," 4.888"," 9.000"," 4.112","Eye-Rectangle"
