.HEADER
..NAMES
Time,V U1.J1
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0321
2.094e-10,0.1137
2.327e-10,0.2741
2.559e-10,0.4022
2.792e-10,0.5059
3.025e-10,0.5803
3.257e-10,0.6256
3.490e-10,0.6492
3.723e-10,0.6591
3.955e-10,0.6619
4.188e-10,0.6610
4.421e-10,0.6559
4.653e-10,0.6508
4.886e-10,0.6464
5.119e-10,0.6434
5.351e-10,0.6420
5.584e-10,0.6432
5.817e-10,0.6466
6.049e-10,0.6517
6.282e-10,0.6583
6.515e-10,0.6665
6.747e-10,0.6773
6.980e-10,0.6915
7.213e-10,0.7137
7.445e-10,0.7501
7.678e-10,0.8006
7.911e-10,0.8615
8.143e-10,0.9292
8.376e-10,0.9988
8.609e-10,1.0634
8.841e-10,1.1183
9.074e-10,1.1622
9.307e-10,1.1961
9.539e-10,1.2211
9.772e-10,1.2375
1.0005e-09,1.2464
1.0237e-09,1.2497
1.0470e-09,1.2492
1.0703e-09,1.2460
1.0935e-09,1.2414
1.1168e-09,1.2365
1.1401e-09,1.2326
1.1633e-09,1.2307
1.1866e-09,1.2314
1.2099e-09,1.2341
1.2332e-09,1.2360
1.2564e-09,1.2340
1.2797e-09,1.2268
1.3030e-09,1.2139
1.3262e-09,1.1964
1.3495e-09,1.1768
1.3728e-09,1.1591
1.3960e-09,1.1461
1.4193e-09,1.1387
1.4426e-09,1.1363
1.4658e-09,1.1383
1.4891e-09,1.1440
1.5124e-09,1.1524
1.5356e-09,1.1622
1.5589e-09,1.1724
1.5822e-09,1.1825
1.6054e-09,1.1917
1.6287e-09,1.1993
1.6520e-09,1.2047
1.6752e-09,1.2073
1.6985e-09,1.2068
1.7218e-09,1.2037
1.7450e-09,1.1991
1.7683e-09,1.1950
1.7916e-09,1.1932
1.8148e-09,1.1949
1.8381e-09,1.2004
1.8614e-09,1.2083
1.8846e-09,1.2163
1.9079e-09,1.2227
1.9312e-09,1.2262
1.9544e-09,1.2269
1.9777e-09,1.2248
2.0010e-09,1.2208
2.0242e-09,1.2156
2.0475e-09,1.2099
2.0708e-09,1.2042
2.0940e-09,1.1989
2.1173e-09,1.1942
2.1406e-09,1.1907
2.1638e-09,1.1886
2.1871e-09,1.1882
2.2104e-09,1.1898
2.2336e-09,1.1932
2.2569e-09,1.1980
2.2802e-09,1.2030
2.3034e-09,1.2070
2.3267e-09,1.2088
2.3500e-09,1.2079
2.3732e-09,1.2046
2.3965e-09,1.2002
2.4198e-09,1.1960
2.4430e-09,1.1930
2.4663e-09,1.1917
2.4896e-09,1.1921
2.5128e-09,1.1940
2.5361e-09,1.1966
2.5594e-09,1.1995
2.5826e-09,1.2024
2.6059e-09,1.2052
2.6292e-09,1.2076
2.6524e-09,1.1958
2.6757e-09,1.1511
2.6990e-09,1.0368
2.7222e-09,0.8665
2.7455e-09,0.7331
2.7688e-09,0.6393
2.7920e-09,0.5739
2.8153e-09,0.5349
2.8386e-09,0.5153
2.8618e-09,0.5066
2.8851e-09,0.5061
2.9084e-09,0.5105
2.9316e-09,0.5181
2.9549e-09,0.5250
2.9782e-09,0.5298
3.0014e-09,0.5321
3.0247e-09,0.5312
3.0480e-09,0.5274
3.0712e-09,0.5214
3.0945e-09,0.5141
3.1178e-09,0.5052
3.1410e-09,0.4950
3.1643e-09,0.4829
3.1876e-09,0.4663
3.2108e-09,0.4396
3.2341e-09,0.3979
3.2574e-09,0.3436
3.2806e-09,0.2815
3.3039e-09,0.2154
3.3272e-09,0.1505
3.3504e-09,0.0924
3.3737e-09,0.0441
3.3970e-09,0.0054
3.4202e-09,-0.0252
3.4435e-09,-0.0482
3.4668e-09,-0.0632
3.4901e-09,-0.0711
3.5133e-09,-0.0736
3.5366e-09,-0.0722
3.5599e-09,-0.0682
3.5831e-09,-0.0630
3.6064e-09,-0.0578
3.6297e-09,-0.0540
3.6529e-09,-0.0525
3.6762e-09,-0.0532
3.6995e-09,-0.0548
3.7227e-09,-0.0542
3.7460e-09,-0.0487
3.7693e-09,-0.0374
3.7925e-09,-0.0209
3.8158e-09,-0.0008
3.8391e-09,0.0197
3.8623e-09,0.0369
3.8856e-09,0.0492
3.9089e-09,0.0565
3.9321e-09,0.0597
3.9554e-09,0.0595
3.9787e-09,0.0560
4.0019e-09,0.0500
4.0252e-09,0.0423
4.0485e-09,0.0337
4.0717e-09,0.0248
4.0950e-09,0.0165
4.1183e-09,0.0096
4.1415e-09,0.0051
4.1648e-09,0.0033
4.1881e-09,0.0045
4.2113e-09,0.0078
4.2346e-09,0.0117
4.2579e-09,0.0143
4.2811e-09,0.0140
4.3044e-09,0.0100
4.3277e-09,0.0029
4.3509e-09,-0.0057
4.3742e-09,-0.0134
4.3975e-09,-0.0190
4.4207e-09,-0.0218
4.4440e-09,-0.0222
