.HEADER
..NAMES
Time,V U1.N6
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0320
2.094e-10,0.1126
2.327e-10,0.2689
2.559e-10,0.3855
2.792e-10,0.4706
3.025e-10,0.5301
3.257e-10,0.5703
3.490e-10,0.5963
3.723e-10,0.6147
3.955e-10,0.6291
4.188e-10,0.6412
4.421e-10,0.6504
4.653e-10,0.6572
4.886e-10,0.6609
5.119e-10,0.6615
5.351e-10,0.6591
5.584e-10,0.6567
5.817e-10,0.6584
6.049e-10,0.6663
6.282e-10,0.6811
6.515e-10,0.7062
6.747e-10,0.7488
6.980e-10,0.8119
7.213e-10,0.8892
7.445e-10,0.9698
7.678e-10,1.0420
7.911e-10,1.0981
8.143e-10,1.1367
8.376e-10,1.1617
8.609e-10,1.1791
8.841e-10,1.1939
9.074e-10,1.2079
9.307e-10,1.2208
9.539e-10,1.2319
9.772e-10,1.2409
1.0005e-09,1.2470
1.0237e-09,1.2485
1.0470e-09,1.2436
1.0703e-09,1.2331
1.0935e-09,1.2186
1.1168e-09,1.2011
1.1401e-09,1.1808
1.1633e-09,1.1588
1.1866e-09,1.1382
1.2099e-09,1.1232
1.2332e-09,1.1173
1.2564e-09,1.1217
1.2797e-09,1.1339
1.3030e-09,1.1490
1.3262e-09,1.1615
1.3495e-09,1.1686
1.3728e-09,1.1711
1.3960e-09,1.1715
1.4193e-09,1.1725
1.4426e-09,1.1754
1.4658e-09,1.1806
1.4891e-09,1.1884
1.5124e-09,1.1981
1.5356e-09,1.2084
1.5589e-09,1.2178
1.5822e-09,1.2253
1.6054e-09,1.2302
1.6287e-09,1.2326
1.6520e-09,1.2323
1.6752e-09,1.2290
1.6985e-09,1.2225
1.7218e-09,1.2134
1.7450e-09,1.2037
1.7683e-09,1.1960
1.7916e-09,1.1926
1.8148e-09,1.1935
1.8381e-09,1.1971
1.8614e-09,1.2004
1.8846e-09,1.2015
1.9079e-09,1.1998
1.9312e-09,1.1960
1.9544e-09,1.1914
1.9777e-09,1.1874
2.0010e-09,1.1849
2.0242e-09,1.1844
2.0475e-09,1.1859
2.0708e-09,1.1889
2.0940e-09,1.1929
2.1173e-09,1.1971
2.1406e-09,1.2011
2.1638e-09,1.2045
2.1871e-09,1.2074
2.2104e-09,1.2093
2.2336e-09,1.2096
2.2569e-09,1.2079
2.2802e-09,1.2048
2.3034e-09,1.2016
2.3267e-09,1.1998
2.3500e-09,1.2002
2.3732e-09,1.2024
2.3965e-09,1.2052
2.4198e-09,1.2075
2.4430e-09,1.2082
2.4663e-09,1.2071
2.4896e-09,1.2048
2.5128e-09,1.2019
2.5361e-09,1.1991
2.5594e-09,1.1970
2.5826e-09,1.1958
2.6059e-09,1.1956
2.6292e-09,1.1962
2.6524e-09,1.1835
2.6757e-09,1.1391
2.6990e-09,1.0278
2.7222e-09,0.8656
2.7455e-09,0.7494
2.7688e-09,0.6775
2.7920e-09,0.6285
2.8153e-09,0.5934
2.8386e-09,0.5675
2.8618e-09,0.5472
2.8851e-09,0.5323
2.9084e-09,0.5218
2.9316e-09,0.5150
2.9549e-09,0.5112
2.9782e-09,0.5104
3.0014e-09,0.5121
3.0247e-09,0.5147
3.0480e-09,0.5147
3.0712e-09,0.5093
3.0945e-09,0.4969
3.1178e-09,0.4764
3.1410e-09,0.4442
3.1643e-09,0.3939
3.1876e-09,0.3248
3.2108e-09,0.2449
3.2341e-09,0.1670
3.2574e-09,0.1021
3.2806e-09,0.0556
3.3039e-09,0.0256
3.3272e-09,0.0063
3.3504e-09,-0.0089
3.3737e-09,-0.0238
3.3970e-09,-0.0384
3.4202e-09,-0.0514
3.4435e-09,-0.0615
3.4668e-09,-0.0685
3.4901e-09,-0.0717
3.5133e-09,-0.0694
3.5366e-09,-0.0610
3.5599e-09,-0.0474
3.5831e-09,-0.0305
3.6064e-09,-0.0109
3.6297e-09,0.0115
3.6529e-09,0.0352
3.6762e-09,0.0567
3.6995e-09,0.0712
3.7227e-09,0.0755
3.7460e-09,0.0698
3.7693e-09,0.0577
3.7925e-09,0.0451
3.8158e-09,0.0367
3.8391e-09,0.0340
3.8623e-09,0.0349
3.8856e-09,0.0359
3.9089e-09,0.0363
3.9321e-09,0.0544
3.9554e-09,0.1229
3.9787e-09,0.2603
4.0019e-09,0.3763
4.0252e-09,0.4546
4.0485e-09,0.5052
4.0717e-09,0.5374
4.0950e-09,0.5590
4.1183e-09,0.5738
4.1415e-09,0.5881
4.1648e-09,0.6039
4.1881e-09,0.6205
4.2113e-09,0.6378
4.2346e-09,0.6525
4.2579e-09,0.6611
4.2811e-09,0.6618
4.3044e-09,0.6577
4.3277e-09,0.6551
4.3509e-09,0.6598
4.3742e-09,0.6743
4.3975e-09,0.7015
4.4207e-09,0.7468
4.4440e-09,0.8130
4.4673e-09,0.8932
