.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
0.0e+00,0.8982
2.33e-11,0.8982
4.65e-11,0.8982
6.98e-11,0.8982
9.31e-11,0.8982
1.163e-10,0.8982
1.396e-10,0.8982
1.629e-10,0.8982
1.861e-10,0.8982
2.094e-10,0.8982
2.327e-10,0.8982
2.559e-10,0.8982
2.792e-10,0.8982
3.025e-10,0.8982
3.257e-10,0.8982
3.490e-10,0.8982
3.723e-10,0.8982
3.955e-10,0.8982
4.188e-10,0.8982
4.421e-10,0.8982
4.653e-10,0.8982
4.886e-10,0.8982
5.119e-10,0.8982
5.351e-10,0.8982
5.584e-10,0.8982
5.817e-10,0.8982
6.049e-10,0.8982
6.282e-10,0.8982
6.515e-10,0.8982
6.747e-10,0.8982
6.980e-10,0.8982
7.213e-10,0.8982
7.445e-10,0.8982
7.678e-10,0.8956
7.911e-10,0.8633
8.143e-10,0.7932
8.376e-10,0.6371
8.609e-10,0.5009
8.841e-10,0.4092
9.074e-10,0.3409
9.307e-10,0.3017
9.539e-10,0.2913
9.772e-10,0.2889
1.0005e-09,0.2839
1.0237e-09,0.2752
1.0470e-09,0.2690
1.0703e-09,0.2714
1.0935e-09,0.2839
1.1168e-09,0.3053
1.1401e-09,0.3334
1.1633e-09,0.3640
1.1866e-09,0.3881
1.2099e-09,0.3973
1.2332e-09,0.3891
1.2564e-09,0.3684
1.2797e-09,0.3413
1.3030e-09,0.3112
1.3262e-09,0.2844
1.3495e-09,0.2689
1.3728e-09,0.2671
1.3960e-09,0.2741
1.4193e-09,0.2923
1.4426e-09,0.3528
1.4658e-09,0.5126
1.4891e-09,0.6700
1.5124e-09,0.7659
1.5356e-09,0.8222
1.5589e-09,0.8518
1.5822e-09,0.8584
1.6054e-09,0.8601
1.6287e-09,0.8727
1.6520e-09,0.8952
1.6752e-09,0.9156
1.6985e-09,0.9236
1.7218e-09,0.9149
1.7450e-09,0.8899
1.7683e-09,0.8529
1.7916e-09,0.8112
1.8148e-09,0.7763
1.8381e-09,0.7602
1.8614e-09,0.7667
1.8846e-09,0.7912
1.9079e-09,0.8258
1.9312e-09,0.8638
1.9544e-09,0.8961
1.9777e-09,0.9135
2.0010e-09,0.9134
2.0242e-09,0.8930
2.0475e-09,0.8411
2.0708e-09,0.7330
2.0940e-09,0.5753
2.1173e-09,0.4531
2.1406e-09,0.3820
2.1638e-09,0.3440
2.1871e-09,0.3278
2.2104e-09,0.3281
2.2336e-09,0.3233
2.2569e-09,0.3037
2.2802e-09,0.2771
2.3034e-09,0.2553
2.3267e-09,0.2489
2.3500e-09,0.2615
2.3732e-09,0.2915
2.3965e-09,0.3330
2.4198e-09,0.3758
2.4430e-09,0.4065
2.4663e-09,0.4147
2.4896e-09,0.3991
2.5128e-09,0.3671
2.5361e-09,0.3278
2.5594e-09,0.2890
2.5826e-09,0.2606
2.6059e-09,0.2509
2.6292e-09,0.2593
2.6524e-09,0.2773
2.6757e-09,0.3122
2.6990e-09,0.4033
2.7222e-09,0.5809
2.7455e-09,0.7084
2.7688e-09,0.7872
2.7920e-09,0.8295
2.8153e-09,0.8440
2.8386e-09,0.8439
2.8618e-09,0.8507
2.8851e-09,0.8732
2.9084e-09,0.9039
2.9316e-09,0.9279
2.9549e-09,0.9345
2.9782e-09,0.9200
3.0014e-09,0.8865
3.0247e-09,0.8409
3.0480e-09,0.7939
3.0712e-09,0.7598
3.0945e-09,0.7499
3.1178e-09,0.7653
3.1410e-09,0.7986
3.1643e-09,0.8403
3.1876e-09,0.8819
3.2108e-09,0.9119
3.2341e-09,0.9224
3.2574e-09,0.9142
3.2806e-09,0.8770
3.3039e-09,0.8171
3.3272e-09,0.6808
3.3504e-09,0.5293
3.3737e-09,0.4304
3.3970e-09,0.3736
3.4202e-09,0.3436
3.4435e-09,0.3368
3.4668e-09,0.3359
3.4901e-09,0.3239
3.5133e-09,0.2979
3.5366e-09,0.2679
3.5599e-09,0.2470
3.5831e-09,0.2450
3.6064e-09,0.2637
3.6297e-09,0.2999
3.6529e-09,0.3458
3.6762e-09,0.3888
3.6995e-09,0.4151
3.7227e-09,0.4160
3.7460e-09,0.3934
3.7693e-09,0.3565
3.7925e-09,0.3145
3.8158e-09,0.2764
3.8391e-09,0.2527
3.8623e-09,0.2496
3.8856e-09,0.2636
3.9089e-09,0.2860
3.9321e-09,0.3320
3.9554e-09,0.4540
3.9787e-09,0.6225
4.0019e-09,0.7381
4.0252e-09,0.8007
4.0485e-09,0.8321
4.0717e-09,0.8407
4.0950e-09,0.8417
4.1183e-09,0.8534
4.1415e-09,0.8811
4.1648e-09,0.9130
4.1881e-09,0.9338
4.2113e-09,0.9348
4.2346e-09,0.9141
4.2579e-09,0.8754
4.2811e-09,0.8271
4.3044e-09,0.7813
4.3277e-09,0.7528
4.3509e-09,0.7505
4.3742e-09,0.7725
4.3975e-09,0.8100
4.4207e-09,0.8533
4.4440e-09,0.8931
4.4673e-09,0.9181
4.4905e-09,0.9224
4.5138e-09,0.9095
4.5371e-09,0.8608
4.5603e-09,0.7870
4.5836e-09,0.6308
4.6069e-09,0.4898
4.6301e-09,0.4086
4.6534e-09,0.3624
4.6767e-09,0.3392
4.6999e-09,0.3373
4.7232e-09,0.3354
4.7465e-09,0.3182
4.7697e-09,0.2893
4.7930e-09,0.2601
4.8163e-09,0.2439
4.8395e-09,0.2478
4.8628e-09,0.2724
4.8861e-09,0.3129
4.9093e-09,0.3598
4.9326e-09,0.3997
4.9559e-09,0.4192
4.9791e-09,0.4123
5.0024e-09,0.3841
5.0257e-09,0.3445
5.0489e-09,0.3021
5.0722e-09,0.2668
5.0955e-09,0.2489
5.1187e-09,0.2517
5.1420e-09,0.2691
5.1653e-09,0.2956
5.1885e-09,0.3538
5.2118e-09,0.5026
5.2351e-09,0.6645
5.2583e-09,0.7580
5.2816e-09,0.8134
5.3049e-09,0.8386
5.3281e-09,0.8417
5.3514e-09,0.8437
5.3747e-09,0.8605
5.3979e-09,0.8908
5.4212e-09,0.9210
5.4445e-09,0.9367
5.4677e-09,0.9313
5.4910e-09,0.9047
5.5143e-09,0.8623
5.5375e-09,0.8131
5.5608e-09,0.7705
5.5841e-09,0.7488
5.6073e-09,0.7540
5.6306e-09,0.7817
5.6539e-09,0.8218
5.6771e-09,0.8653
5.7004e-09,0.9021
5.7237e-09,0.9217
5.7469e-09,0.9203
5.7702e-09,0.8992
5.7935e-09,0.8459
5.8168e-09,0.7483
5.8400e-09,0.5882
5.8633e-09,0.4641
5.8866e-09,0.3903
5.9098e-09,0.3513
5.9331e-09,0.3364
5.9564e-09,0.3361
5.9796e-09,0.3313
6.0029e-09,0.3106
6.0262e-09,0.2808
6.0494e-09,0.2540
6.0727e-09,0.2428
