.HEADER
..NAMES
Time,V U1.H6
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1854
4.886e-10,1.1389
5.119e-10,1.0247
5.351e-10,0.8533
5.584e-10,0.7261
5.817e-10,0.6422
6.049e-10,0.5944
6.282e-10,0.5696
6.515e-10,0.5560
6.747e-10,0.5489
6.980e-10,0.5443
7.213e-10,0.5358
7.445e-10,0.5263
7.678e-10,0.5183
7.911e-10,0.5098
8.143e-10,0.5031
8.376e-10,0.5011
8.609e-10,0.5024
8.841e-10,0.5085
9.074e-10,0.5201
9.307e-10,0.5325
9.539e-10,0.5426
9.772e-10,0.5479
1.0005e-09,0.5424
1.0237e-09,0.5212
1.0470e-09,0.4832
1.0703e-09,0.4284
1.0935e-09,0.3615
1.1168e-09,0.3107
1.1401e-09,0.3358
1.1633e-09,0.4466
1.1866e-09,0.5427
1.2099e-09,0.5992
1.2332e-09,0.6279
1.2564e-09,0.6322
1.2797e-09,0.6267
1.3030e-09,0.6137
1.3262e-09,0.5994
1.3495e-09,0.5926
1.3728e-09,0.5894
1.3960e-09,0.5863
1.4193e-09,0.5844
1.4426e-09,0.5814
1.4658e-09,0.5744
1.4891e-09,0.5660
1.5124e-09,0.5570
1.5356e-09,0.5477
1.5589e-09,0.5434
1.5822e-09,0.5478
1.6054e-09,0.5621
1.6287e-09,0.5904
1.6520e-09,0.6337
1.6752e-09,0.6902
1.6985e-09,0.7584
1.7218e-09,0.8111
1.7450e-09,0.8333
1.7683e-09,0.7592
1.7916e-09,0.6595
1.8148e-09,0.5935
1.8381e-09,0.5548
1.8614e-09,0.5408
1.8846e-09,0.5403
1.9079e-09,0.5442
1.9312e-09,0.5518
1.9544e-09,0.5576
1.9777e-09,0.5578
2.0010e-09,0.5575
2.0242e-09,0.5572
2.0475e-09,0.5550
