.HEADER
..NAMES
Time,V U1.H5
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.1855
4.886e-10,1.1396
5.119e-10,1.0271
5.351e-10,0.8607
5.584e-10,0.7409
5.817e-10,0.6678
6.049e-10,0.6294
6.282e-10,0.6059
6.515e-10,0.5897
6.747e-10,0.5751
6.980e-10,0.5588
7.213e-10,0.5414
7.445e-10,0.5260
7.678e-10,0.5136
7.911e-10,0.5053
8.143e-10,0.5011
8.376e-10,0.5007
8.609e-10,0.5045
8.841e-10,0.5138
9.074e-10,0.5268
9.307e-10,0.5422
9.539e-10,0.5565
9.772e-10,0.5685
1.0005e-09,0.5774
1.0237e-09,0.5823
1.0470e-09,0.5837
1.0703e-09,0.5806
1.0935e-09,0.5745
1.1168e-09,0.5877
1.1401e-09,0.7114
1.1633e-09,0.8999
1.1866e-09,1.0361
1.2099e-09,1.1172
1.2332e-09,1.1479
1.2564e-09,1.1645
1.2797e-09,1.1710
1.3030e-09,1.1755
1.3262e-09,1.1832
1.3495e-09,1.1920
1.3728e-09,1.2002
1.3960e-09,1.2069
1.4193e-09,1.2106
1.4426e-09,1.2113
1.4658e-09,1.2089
1.4891e-09,1.2022
1.5124e-09,1.1903
1.5356e-09,1.1749
1.5589e-09,1.1579
1.5822e-09,1.1442
1.6054e-09,1.1355
1.6287e-09,1.1332
1.6520e-09,1.1363
1.6752e-09,1.1422
1.6985e-09,1.1509
1.7218e-09,1.1358
1.7450e-09,1.0900
1.7683e-09,0.9564
1.7916e-09,0.8113
1.8148e-09,0.7109
1.8381e-09,0.6517
1.8614e-09,0.6180
1.8846e-09,0.5961
1.9079e-09,0.5789
1.9312e-09,0.5628
1.9544e-09,0.5460
1.9777e-09,0.5310
2.0010e-09,0.5188
2.0242e-09,0.5097
2.0475e-09,0.5042
2.0708e-09,0.5019
2.0940e-09,0.5036
2.1173e-09,0.5098
2.1406e-09,0.5208
2.1638e-09,0.5349
2.1871e-09,0.5498
2.2104e-09,0.5628
2.2336e-09,0.5731
2.2569e-09,0.5796
2.2802e-09,0.5826
2.3034e-09,0.5823
2.3267e-09,0.5779
2.3500e-09,0.5748
2.3732e-09,0.6106
2.3965e-09,0.7684
2.4198e-09,0.9530
2.4430e-09,1.0622
2.4663e-09,1.1314
2.4896e-09,1.1572
2.5128e-09,1.1681
2.5361e-09,1.1728
2.5594e-09,1.1771
2.5826e-09,1.1854
2.6059e-09,1.1940
2.6292e-09,1.2017
2.6524e-09,1.2080
2.6757e-09,1.2111
2.6990e-09,1.2111
2.7222e-09,1.2079
2.7455e-09,1.1995
2.7688e-09,1.1862
2.7920e-09,1.1699
2.8153e-09,1.1534
2.8386e-09,1.1413
2.8618e-09,1.1343
2.8851e-09,1.1338
2.9084e-09,1.1378
2.9316e-09,1.1444
2.9549e-09,1.1522
2.9782e-09,1.1281
3.0014e-09,1.0708
3.0247e-09,0.9195
3.0480e-09,0.7808
3.0712e-09,0.6881
3.0945e-09,0.6380
3.1178e-09,0.6085
3.1410e-09,0.5897
3.1643e-09,0.5739
3.1876e-09,0.5581
3.2108e-09,0.5418
3.2341e-09,0.5277
3.2574e-09,0.5161
3.2806e-09,0.5079
3.3039e-09,0.5032
3.3272e-09,0.5020
3.3504e-09,0.5048
3.3737e-09,0.5123
3.3970e-09,0.5244
3.4202e-09,0.5391
3.4435e-09,0.5538
3.4668e-09,0.5663
3.4901e-09,0.5758
3.5133e-09,0.5812
3.5366e-09,0.5833
3.5599e-09,0.5820
3.5831e-09,0.5766
3.6064e-09,0.5788
3.6297e-09,0.6383
3.6529e-09,0.8214
3.6762e-09,0.9782
3.6995e-09,1.0822
3.7227e-09,1.1355
3.7460e-09,1.1584
3.7693e-09,1.1695
3.7925e-09,1.1732
3.8158e-09,1.1789
3.8391e-09,1.1876
3.8623e-09,1.1958
3.8856e-09,1.2032
3.9089e-09,1.2087
3.9321e-09,1.2111
3.9554e-09,1.2104
3.9787e-09,1.2062
4.0019e-09,1.1964
4.0252e-09,1.1825
4.0485e-09,1.1659
4.0717e-09,1.1504
4.0950e-09,1.1396
4.1183e-09,1.1342
4.1415e-09,1.1351
4.1648e-09,1.1396
4.1881e-09,1.1469
4.2113e-09,1.1489
4.2346e-09,1.1168
4.2579e-09,1.0343
4.2811e-09,0.8772
4.3044e-09,0.7494
4.3277e-09,0.6726
4.3509e-09,0.6289
4.3742e-09,0.6047
4.3975e-09,0.5864
4.4207e-09,0.5705
4.4440e-09,0.5542
4.4673e-09,0.5381
4.4905e-09,0.5244
4.5138e-09,0.5136
4.5371e-09,0.5064
4.5603e-09,0.5028
4.5836e-09,0.5026
4.6069e-09,0.5066
4.6301e-09,0.5154
4.6534e-09,0.5284
4.6767e-09,0.5434
4.6999e-09,0.5576
4.7232e-09,0.5692
4.7465e-09,0.5777
4.7697e-09,0.5820
4.7930e-09,0.5834
4.8163e-09,0.5809
4.8395e-09,0.5745
4.8628e-09,0.5648
4.8861e-09,0.5529
4.9093e-09,0.5411
4.9326e-09,0.5317
4.9559e-09,0.5257
4.9791e-09,0.5232
5.0024e-09,0.5233
5.0257e-09,0.5240
5.0489e-09,0.5236
5.0722e-09,0.5216
5.0955e-09,0.5177
5.1187e-09,0.5134
5.1420e-09,0.5096
5.1653e-09,0.5065
5.1885e-09,0.5042
5.2118e-09,0.5022
5.2351e-09,0.5006
5.2583e-09,0.4998
5.2816e-09,0.4998
5.3049e-09,0.5009
5.3281e-09,0.5029
5.3514e-09,0.5051
5.3747e-09,0.5072
5.3979e-09,0.5088
5.4212e-09,0.5096
5.4445e-09,0.5098
5.4677e-09,0.5103
5.4910e-09,0.5337
5.5143e-09,0.6562
5.5375e-09,0.8644
5.5608e-09,1.0003
5.5841e-09,1.0945
5.6073e-09,1.1321
5.6306e-09,1.1485
5.6539e-09,1.1555
5.6771e-09,1.1607
5.7004e-09,1.1706
5.7237e-09,1.1834
5.7469e-09,1.1953
5.7702e-09,1.2054
5.7935e-09,1.2121
5.8168e-09,1.2149
5.8400e-09,1.2146
5.8633e-09,1.2096
5.8866e-09,1.1984
5.9098e-09,1.1830
5.9331e-09,1.1648
5.9564e-09,1.1491
5.9796e-09,1.1382
6.0029e-09,1.1340
