.HEADER
..NAMES
Time,V U2.L7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0028
3.490e-10,0.0060
3.723e-10,0.0208
3.955e-10,0.0676
4.188e-10,0.1585
4.421e-10,0.2844
4.653e-10,0.4331
4.886e-10,0.5853
5.119e-10,0.7315
5.351e-10,0.8639
5.584e-10,0.9726
5.817e-10,1.0546
6.049e-10,1.1118
6.282e-10,1.1523
6.515e-10,1.1873
6.747e-10,1.2227
6.980e-10,1.2576
7.213e-10,1.2863
7.445e-10,1.3063
7.678e-10,1.3180
7.911e-10,1.3213
8.143e-10,1.3150
8.376e-10,1.2970
8.609e-10,1.2677
8.841e-10,1.2279
9.074e-10,1.1794
9.307e-10,1.1269
9.539e-10,1.0784
9.772e-10,1.0433
1.0005e-09,1.0272
1.0237e-09,1.0297
1.0470e-09,1.0439
1.0703e-09,1.0612
1.0935e-09,1.0761
1.1168e-09,1.0877
1.1401e-09,1.0971
1.1633e-09,1.1048
1.1866e-09,1.1114
1.2099e-09,1.1185
1.2332e-09,1.1287
1.2564e-09,1.1437
1.2797e-09,1.1630
1.3030e-09,1.1850
1.3262e-09,1.2078
1.3495e-09,1.2300
1.3728e-09,1.2500
1.3960e-09,1.2661
1.4193e-09,1.2759
1.4426e-09,1.2779
1.4658e-09,1.2722
1.4891e-09,1.2603
1.5124e-09,1.2449
1.5356e-09,1.2294
1.5589e-09,1.2175
1.5822e-09,1.2113
1.6054e-09,1.2102
1.6287e-09,1.2113
1.6520e-09,1.2111
1.6752e-09,1.2076
1.6985e-09,1.2011
1.7218e-09,1.1931
1.7450e-09,1.1852
1.7683e-09,1.1780
1.7916e-09,1.1718
1.8148e-09,1.1670
1.8381e-09,1.1645
1.8614e-09,1.1651
1.8846e-09,1.1690
1.9079e-09,1.1758
1.9312e-09,1.1844
1.9544e-09,1.1936
1.9777e-09,1.2019
2.0010e-09,1.2079
2.0242e-09,1.2110
2.0475e-09,1.2113
2.0708e-09,1.2098
2.0940e-09,1.2077
2.1173e-09,1.2065
2.1406e-09,1.2069
2.1638e-09,1.2091
2.1871e-09,1.2128
2.2104e-09,1.2165
2.2336e-09,1.2190
2.2569e-09,1.2194
2.2802e-09,1.2177
2.3034e-09,1.2148
2.3267e-09,1.2113
2.3500e-09,1.2077
2.3732e-09,1.2039
2.3965e-09,1.2000
2.4198e-09,1.1965
2.4430e-09,1.1941
2.4663e-09,1.1934
2.4896e-09,1.1943
2.5128e-09,1.1963
2.5361e-09,1.1986
2.5594e-09,1.2003
2.5826e-09,1.2009
2.6059e-09,1.2003
2.6292e-09,1.1990
2.6524e-09,1.1975
2.6757e-09,1.1966
2.6990e-09,1.1964
2.7222e-09,1.1973
2.7455e-09,1.1991
2.7688e-09,1.2013
2.7920e-09,1.2037
2.8153e-09,1.2057
2.8386e-09,1.2070
2.8618e-09,1.2076
2.8851e-09,1.2075
2.9084e-09,1.2070
2.9316e-09,1.2063
2.9549e-09,1.2053
2.9782e-09,1.2040
3.0014e-09,1.2028
3.0247e-09,1.2020
3.0480e-09,1.2019
3.0712e-09,1.2024
3.0945e-09,1.2033
3.1178e-09,1.2041
3.1410e-09,1.2044
3.1643e-09,1.2040
3.1876e-09,1.2029
3.2108e-09,1.2016
3.2341e-09,1.2005
3.2574e-09,1.1996
3.2806e-09,1.1993
3.3039e-09,1.1994
3.3272e-09,1.1998
3.3504e-09,1.2004
3.3737e-09,1.2011
3.3970e-09,1.2018
3.4202e-09,1.2024
3.4435e-09,1.2028
3.4668e-09,1.2030
3.4901e-09,1.2029
3.5133e-09,1.2027
3.5366e-09,1.2023
3.5599e-09,1.2020
3.5831e-09,1.2017
3.6064e-09,1.2017
3.6297e-09,1.2020
3.6529e-09,1.2025
3.6762e-09,1.2032
3.6995e-09,1.2037
3.7227e-09,1.2038
3.7460e-09,1.2036
3.7693e-09,1.2032
3.7925e-09,1.2026
3.8158e-09,1.2021
3.8391e-09,1.2017
3.8623e-09,1.2015
3.8856e-09,1.2015
3.9089e-09,1.2015
3.9321e-09,1.2016
3.9554e-09,1.2018
3.9787e-09,1.2020
4.0019e-09,1.2022
4.0252e-09,1.2023
4.0485e-09,1.2023
4.0717e-09,1.2021
4.0950e-09,1.2019
4.1183e-09,1.2016
4.1415e-09,1.2014
4.1648e-09,1.2014
4.1881e-09,1.2014
4.2113e-09,1.2016
4.2346e-09,1.2019
4.2579e-09,1.2023
4.2811e-09,1.2025
4.3044e-09,1.2026
4.3277e-09,1.2025
4.3509e-09,1.2024
4.3742e-09,1.2022
4.3975e-09,1.2020
4.4207e-09,1.2019
4.4440e-09,1.2019
4.4673e-09,1.2019
4.4905e-09,1.2019
