.HEADER
..NAMES
Time,V U2.D3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1999
5.584e-10,1.1999
5.817e-10,1.1999
6.049e-10,1.1999
6.282e-10,1.1999
6.515e-10,1.1978
6.747e-10,1.1819
6.980e-10,1.1381
7.213e-10,1.0488
7.445e-10,0.9371
7.678e-10,0.8476
7.911e-10,0.7622
8.143e-10,0.6389
8.376e-10,0.5039
8.609e-10,0.3849
8.841e-10,0.2713
9.074e-10,0.1574
9.307e-10,0.0617
9.539e-10,-0.0022
9.772e-10,-0.0417
1.0005e-09,-0.0741
1.0237e-09,-0.1056
1.0470e-09,-0.1287
1.0703e-09,-0.1384
1.0935e-09,-0.1427
1.1168e-09,-0.1534
1.1401e-09,-0.1735
1.1633e-09,-0.1978
1.1866e-09,-0.2201
1.2099e-09,-0.2313
1.2332e-09,-0.2249
1.2564e-09,-0.2080
1.2797e-09,-0.1877
1.3030e-09,-0.1546
1.3262e-09,-0.0910
1.3495e-09,0.0238
1.3728e-09,0.1736
1.3960e-09,0.3057
1.4193e-09,0.4266
1.4426e-09,0.5751
1.4658e-09,0.7281
1.4891e-09,0.8531
1.5124e-09,0.9658
1.5356e-09,1.0781
1.5589e-09,1.1695
1.5822e-09,1.2204
1.6054e-09,1.2406
1.6287e-09,1.2544
1.6520e-09,1.2735
1.6752e-09,1.2933
1.6985e-09,1.3065
1.7218e-09,1.3150
1.7450e-09,1.3257
1.7683e-09,1.3402
1.7916e-09,1.3555
1.8148e-09,1.3693
1.8381e-09,1.3744
1.8614e-09,1.3613
1.8846e-09,1.3343
1.9079e-09,1.2980
1.9312e-09,1.2379
1.9544e-09,1.1394
1.9777e-09,1.0022
2.0010e-09,0.8651
2.0242e-09,0.7492
