.HEADER
..NAMES
Time,V U2.J7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0027
5.817e-10,0.0027
6.049e-10,0.0027
6.282e-10,0.0027
6.515e-10,0.0027
6.747e-10,0.0053
6.980e-10,0.0168
7.213e-10,0.0535
7.445e-10,0.1148
7.678e-10,0.1954
7.911e-10,0.2906
8.143e-10,0.3925
8.376e-10,0.5024
8.609e-10,0.6191
8.841e-10,0.7354
9.074e-10,0.8497
9.307e-10,0.9533
9.539e-10,1.0392
9.772e-10,1.1066
1.0005e-09,1.1562
1.0237e-09,1.1899
1.0470e-09,1.2125
1.0703e-09,1.2296
1.0935e-09,1.2459
1.1168e-09,1.2609
1.1401e-09,1.2717
1.1633e-09,1.2783
1.1866e-09,1.2839
1.2099e-09,1.2912
1.2332e-09,1.2984
1.2564e-09,1.3025
1.2797e-09,1.2961
1.3030e-09,1.2734
1.3262e-09,1.2186
1.3495e-09,1.1298
1.3728e-09,1.0192
1.3960e-09,0.8897
1.4193e-09,0.7544
1.4426e-09,0.6165
1.4658e-09,0.4724
1.4891e-09,0.3336
1.5124e-09,0.2022
1.5356e-09,0.0877
1.5589e-09,-0.0001
1.5822e-09,-0.0599
1.6054e-09,-0.0980
1.6287e-09,-0.1193
1.6520e-09,-0.1320
1.6752e-09,-0.1413
1.6985e-09,-0.1511
1.7218e-09,-0.1612
1.7450e-09,-0.1686
1.7683e-09,-0.1729
1.7916e-09,-0.1767
1.8148e-09,-0.1826
1.8381e-09,-0.1874
1.8614e-09,-0.1876
1.8846e-09,-0.1781
1.9079e-09,-0.1557
1.9312e-09,-0.1220
1.9544e-09,-0.0815
1.9777e-09,-0.0406
2.0010e-09,-0.0021
2.0242e-09,0.0335
2.0475e-09,0.0658
2.0708e-09,0.0931
2.0940e-09,0.1137
2.1173e-09,0.1259
2.1406e-09,0.1279
2.1638e-09,0.1193
2.1871e-09,0.1029
2.2104e-09,0.0849
2.2336e-09,0.0697
2.2569e-09,0.0598
2.2802e-09,0.0546
2.3034e-09,0.0519
2.3267e-09,0.0496
2.3500e-09,0.0471
2.3732e-09,0.0457
2.3965e-09,0.0459
2.4198e-09,0.0467
2.4430e-09,0.0450
2.4663e-09,0.0390
2.4896e-09,0.0282
2.5128e-09,0.0139
2.5361e-09,-0.0015
2.5594e-09,-0.0107
2.5826e-09,-0.0010
2.6059e-09,0.0438
2.6292e-09,0.1116
2.6524e-09,0.2012
2.6757e-09,0.3038
2.6990e-09,0.4131
2.7222e-09,0.5374
2.7455e-09,0.6670
2.7688e-09,0.7965
2.7920e-09,0.9180
2.8153e-09,1.0196
2.8386e-09,1.0971
2.8618e-09,1.1535
2.8851e-09,1.1907
2.9084e-09,1.2142
2.9316e-09,1.2300
2.9549e-09,1.2435
2.9782e-09,1.2576
3.0014e-09,1.2694
3.0247e-09,1.2772
3.0480e-09,1.2840
3.0712e-09,1.2939
3.0945e-09,1.3069
3.1178e-09,1.3183
3.1410e-09,1.3229
3.1643e-09,1.3156
3.1876e-09,1.2965
3.2108e-09,1.2688
3.2341e-09,1.2377
3.2574e-09,1.2063
3.2806e-09,1.1745
3.3039e-09,1.1440
3.3272e-09,1.1169
3.3504e-09,1.0952
3.3737e-09,1.0803
3.3970e-09,1.0740
3.4202e-09,1.0782
3.4435e-09,1.0924
3.4668e-09,1.1116
3.4901e-09,1.1302
3.5133e-09,1.1445
3.5366e-09,1.1539
3.5599e-09,1.1601
3.5831e-09,1.1653
3.6064e-09,1.1697
3.6297e-09,1.1722
3.6529e-09,1.1718
3.6762e-09,1.1695
3.6995e-09,1.1683
3.7227e-09,1.1707
3.7460e-09,1.1771
3.7693e-09,1.1874
3.7925e-09,1.2004
3.8158e-09,1.2141
3.8391e-09,1.2262
3.8623e-09,1.2352
3.8856e-09,1.2412
3.9089e-09,1.2452
3.9321e-09,1.2471
3.9554e-09,1.2462
3.9787e-09,1.2412
4.0019e-09,1.2319
4.0252e-09,1.2200
4.0485e-09,1.2087
4.0717e-09,1.2007
4.0950e-09,1.1968
4.1183e-09,1.1958
4.1415e-09,1.1964
4.1648e-09,1.1976
4.1881e-09,1.1992
4.2113e-09,1.2010
4.2346e-09,1.2030
4.2579e-09,1.2050
4.2811e-09,1.2066
4.3044e-09,1.2066
4.3277e-09,1.2044
4.3509e-09,1.1999
4.3742e-09,1.1944
4.3975e-09,1.1882
4.4207e-09,1.1752
4.4440e-09,1.1498
