.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.2000
5.817e-10,1.2000
6.049e-10,1.2000
6.282e-10,1.2000
6.515e-10,1.2000
6.747e-10,1.2000
6.980e-10,1.2000
7.213e-10,1.2000
7.445e-10,1.2000
7.678e-10,1.2000
7.911e-10,1.2000
8.143e-10,1.2000
8.376e-10,1.2000
8.609e-10,1.2000
8.841e-10,1.2000
9.074e-10,1.2000
9.307e-10,1.1999
9.539e-10,1.1985
9.772e-10,1.1899
1.0005e-09,1.1615
1.0237e-09,1.0982
1.0470e-09,1.0059
1.0703e-09,0.9077
1.0935e-09,0.8275
1.1168e-09,0.7711
1.1401e-09,0.7265
1.1633e-09,0.6808
1.1866e-09,0.6331
1.2099e-09,0.5933
1.2332e-09,0.5686
1.2564e-09,0.5592
1.2797e-09,0.5565
1.3030e-09,0.5519
1.3262e-09,0.5432
1.3495e-09,0.5347
1.3728e-09,0.5300
1.3960e-09,0.5277
1.4193e-09,0.5240
1.4426e-09,0.5168
1.4658e-09,0.5087
1.4891e-09,0.5023
1.5124e-09,0.4978
1.5356e-09,0.4946
1.5589e-09,0.4941
1.5822e-09,0.4990
1.6054e-09,0.5134
1.6287e-09,0.5491
1.6520e-09,0.6223
1.6752e-09,0.7280
1.6985e-09,0.8417
1.7218e-09,0.9370
1.7450e-09,1.0073
1.7683e-09,1.0626
1.7916e-09,1.1127
1.8148e-09,1.1579
1.8381e-09,1.1898
1.8614e-09,1.2045
1.8846e-09,1.2033
1.9079e-09,1.1954
1.9312e-09,1.1904
1.9544e-09,1.1917
1.9777e-09,1.1964
2.0010e-09,1.2004
2.0242e-09,1.2039
2.0475e-09,1.2100
2.0708e-09,1.2186
2.0940e-09,1.2252
2.1173e-09,1.2260
2.1406e-09,1.2218
2.1638e-09,1.2155
2.1871e-09,1.2082
2.2104e-09,1.1977
2.2336e-09,1.1770
2.2569e-09,1.1327
2.2802e-09,1.0559
2.3034e-09,0.9581
2.3267e-09,0.8643
2.3500e-09,0.7935
2.3732e-09,0.7439
2.3965e-09,0.7021
2.4198e-09,0.6577
2.4430e-09,0.6152
2.4663e-09,0.5829
2.4896e-09,0.5647
2.5128e-09,0.5578
2.5361e-09,0.5544
2.5594e-09,0.5484
2.5826e-09,0.5397
2.6059e-09,0.5320
2.6292e-09,0.5272
2.6524e-09,0.5237
2.6757e-09,0.5183
2.6990e-09,0.5110
2.7222e-09,0.5045
2.7455e-09,0.5002
2.7688e-09,0.4971
2.7920e-09,0.4952
2.8153e-09,0.4967
2.8386e-09,0.5048
2.8618e-09,0.5240
2.8851e-09,0.5683
2.9084e-09,0.6497
2.9316e-09,0.7575
2.9549e-09,0.8666
2.9782e-09,0.9546
3.0014e-09,1.0200
3.0247e-09,1.0730
3.0480e-09,1.1220
3.0712e-09,1.1644
3.0945e-09,1.1929
3.1178e-09,1.2043
3.1410e-09,1.2015
3.1643e-09,1.1942
3.1876e-09,1.1909
3.2108e-09,1.1935
3.2341e-09,1.1982
3.2574e-09,1.2019
3.2806e-09,1.2055
3.3039e-09,1.2118
3.3272e-09,1.2199
3.3504e-09,1.2250
3.3737e-09,1.2246
3.3970e-09,1.2198
3.4202e-09,1.2132
3.4435e-09,1.2054
3.4668e-09,1.1930
3.4901e-09,1.1676
3.5133e-09,1.1141
3.5366e-09,1.0291
3.5599e-09,0.9300
3.5831e-09,0.8422
3.6064e-09,0.7793
3.6297e-09,0.7337
3.6529e-09,0.6914
3.6762e-09,0.6461
3.6995e-09,0.6054
3.7227e-09,0.5773
3.7460e-09,0.5633
3.7693e-09,0.5583
3.7925e-09,0.5542
3.8158e-09,0.5466
3.8391e-09,0.5374
3.8623e-09,0.5307
3.8856e-09,0.5267
3.9089e-09,0.5228
3.9321e-09,0.5164
3.9554e-09,0.5088
3.9787e-09,0.5029
4.0019e-09,0.4991
4.0252e-09,0.4964
4.0485e-09,0.4951
4.0717e-09,0.4981
4.0950e-09,0.5084
4.1183e-09,0.5324
4.1415e-09,0.5864
4.1648e-09,0.6772
4.1881e-09,0.7891
4.2113e-09,0.8945
4.2346e-09,0.9755
4.2579e-09,1.0359
4.2811e-09,1.0869
4.3044e-09,1.1347
4.3277e-09,1.1741
4.3509e-09,1.1982
4.3742e-09,1.2049
4.3975e-09,1.1994
4.4207e-09,1.1923
4.4440e-09,1.1906
4.4673e-09,1.1944
4.4905e-09,1.1993
4.5138e-09,1.2027
4.5371e-09,1.2068
4.5603e-09,1.2139
4.5836e-09,1.2219
4.6069e-09,1.2257
4.6301e-09,1.2238
4.6534e-09,1.2184
4.6767e-09,1.2114
4.6999e-09,1.2028
4.7232e-09,1.1877
4.7465e-09,1.1557
4.7697e-09,1.0919
4.7930e-09,1.0001
4.8163e-09,0.9023
4.8395e-09,0.8220
4.8628e-09,0.7661
4.8861e-09,0.7224
4.9093e-09,0.6787
4.9326e-09,0.6334
4.9559e-09,0.5961
4.9791e-09,0.5724
5.0024e-09,0.5620
5.0257e-09,0.5579
5.0489e-09,0.5526
5.0722e-09,0.5440
5.0955e-09,0.5353
5.1187e-09,0.5296
5.1420e-09,0.5261
5.1653e-09,0.5215
5.1885e-09,0.5142
5.2118e-09,0.5068
5.2351e-09,0.5017
5.2583e-09,0.4984
5.2816e-09,0.4958
5.3049e-09,0.4953
5.3281e-09,0.5000
5.3514e-09,0.5131
5.3747e-09,0.5436
5.3979e-09,0.6082
5.4212e-09,0.7076
5.4445e-09,0.8209
5.4677e-09,0.9208
5.4910e-09,0.9951
5.5143e-09,1.0515
5.5375e-09,1.1015
5.5608e-09,1.1477
5.5841e-09,1.1834
5.6073e-09,1.2026
5.6306e-09,1.2048
5.6539e-09,1.1975
5.6771e-09,1.1912
5.7004e-09,1.1913
5.7237e-09,1.1959
5.7469e-09,1.2004
5.7702e-09,1.2036
5.7935e-09,1.2084
5.8168e-09,1.2162
5.8400e-09,1.2235
5.8633e-09,1.2257
5.8866e-09,1.2226
5.9098e-09,1.2166
5.9331e-09,1.2094
5.9564e-09,1.1997
5.9796e-09,1.1814
6.0029e-09,1.1421
