.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
0.0e+00,0.5138
2.33e-11,0.5138
4.65e-11,0.5138
6.98e-11,0.5138
9.31e-11,0.5138
1.163e-10,0.5138
1.396e-10,0.5138
1.629e-10,0.5138
1.861e-10,0.5138
2.094e-10,0.5138
2.327e-10,0.5138
2.559e-10,0.5138
2.792e-10,0.5138
3.025e-10,0.5138
3.257e-10,0.5138
3.490e-10,0.5138
3.723e-10,0.5138
3.955e-10,0.5138
4.188e-10,0.5138
4.421e-10,0.5138
4.653e-10,0.5138
4.886e-10,0.5138
5.119e-10,0.5138
5.351e-10,0.5138
5.584e-10,0.5138
5.817e-10,0.5138
6.049e-10,0.5138
6.282e-10,0.5138
6.515e-10,0.5138
6.747e-10,0.5138
6.980e-10,0.5138
7.213e-10,0.5138
7.445e-10,0.5138
7.678e-10,0.5138
7.911e-10,0.5138
8.143e-10,0.5138
8.376e-10,0.5138
8.609e-10,0.5138
8.841e-10,0.5138
9.074e-10,0.5138
9.307e-10,0.5139
9.539e-10,0.5160
9.772e-10,0.5290
1.0005e-09,0.5786
1.0237e-09,0.6937
1.0470e-09,0.8260
1.0703e-09,0.9224
1.0935e-09,0.9962
1.1168e-09,1.0632
1.1401e-09,1.1189
1.1633e-09,1.1489
1.1866e-09,1.1584
1.2099e-09,1.1728
1.2332e-09,1.1865
1.2564e-09,1.1846
1.2797e-09,1.1772
1.3030e-09,1.1829
1.3262e-09,1.2005
1.3495e-09,1.2117
1.3728e-09,1.2119
1.3960e-09,1.2095
1.4193e-09,1.2129
1.4426e-09,1.2208
1.4658e-09,1.2232
1.4891e-09,1.2169
1.5124e-09,1.2069
1.5356e-09,1.1983
1.5589e-09,1.1909
1.5822e-09,1.1779
1.6054e-09,1.1472
1.6287e-09,1.0806
1.6520e-09,0.9667
1.6752e-09,0.8575
1.6985e-09,0.7849
1.7218e-09,0.7331
1.7450e-09,0.6909
1.7683e-09,0.6558
1.7916e-09,0.6339
1.8148e-09,0.6164
1.8381e-09,0.5901
1.8614e-09,0.5726
1.8846e-09,0.5686
1.9079e-09,0.5626
1.9312e-09,0.5441
1.9544e-09,0.5215
1.9777e-09,0.5115
2.0010e-09,0.5129
2.0242e-09,0.5155
2.0475e-09,0.5121
2.0708e-09,0.5032
2.0940e-09,0.4963
2.1173e-09,0.4949
2.1406e-09,0.4979
2.1638e-09,0.5036
2.1871e-09,0.5112
2.2104e-09,0.5238
2.2336e-09,0.5488
2.2569e-09,0.6167
2.2802e-09,0.7457
2.3034e-09,0.8757
2.3267e-09,0.9642
2.3500e-09,1.0300
2.3732e-09,1.0859
2.3965e-09,1.1310
2.4198e-09,1.1538
2.4430e-09,1.1648
2.4663e-09,1.1817
2.4896e-09,1.1921
2.5128e-09,1.1868
2.5361e-09,1.1808
2.5594e-09,1.1907
2.5826e-09,1.2083
2.6059e-09,1.2166
2.6292e-09,1.2150
2.6524e-09,1.2118
2.6757e-09,1.2139
2.6990e-09,1.2187
2.7222e-09,1.2189
2.7455e-09,1.2130
2.7688e-09,1.2041
2.7920e-09,1.1955
2.8153e-09,1.1870
2.8386e-09,1.1711
2.8618e-09,1.1344
2.8851e-09,1.0534
2.9084e-09,0.9348
2.9316e-09,0.8356
2.9549e-09,0.7702
2.9782e-09,0.7196
3.0014e-09,0.6790
3.0247e-09,0.6475
3.0480e-09,0.6297
3.0712e-09,0.6094
3.0945e-09,0.5829
3.1178e-09,0.5699
3.1410e-09,0.5670
3.1643e-09,0.5584
3.1876e-09,0.5375
3.2108e-09,0.5177
3.2341e-09,0.5115
3.2574e-09,0.5138
3.2806e-09,0.5153
3.3039e-09,0.5102
3.3272e-09,0.5012
3.3504e-09,0.4956
3.3737e-09,0.4952
3.3970e-09,0.4988
3.4202e-09,0.5050
3.4435e-09,0.5138
3.4668e-09,0.5289
3.4901e-09,0.5615
3.5133e-09,0.6486
3.5366e-09,0.7856
3.5599e-09,0.9041
3.5831e-09,0.9833
3.6064e-09,1.0461
3.6297e-09,1.1011
3.6529e-09,1.1408
3.6762e-09,1.1570
3.6995e-09,1.1690
3.7227e-09,1.1867
3.7460e-09,1.1925
3.7693e-09,1.1846
3.7925e-09,1.1819
3.8158e-09,1.1959
3.8391e-09,1.2121
3.8623e-09,1.2167
3.8856e-09,1.2137
3.9089e-09,1.2118
3.9321e-09,1.2156
3.9554e-09,1.2197
3.9787e-09,1.2176
4.0019e-09,1.2102
4.0252e-09,1.2014
4.0485e-09,1.1934
4.0717e-09,1.1845
4.0950e-09,1.1645
4.1183e-09,1.1191
4.1415e-09,1.0247
4.1648e-09,0.9069
4.1881e-09,0.8148
4.2113e-09,0.7538
4.2346e-09,0.7069
4.2579e-09,0.6685
4.2811e-09,0.6405
4.3044e-09,0.6237
4.3277e-09,0.6011
4.3509e-09,0.5775
4.3742e-09,0.5681
4.3975e-09,0.5647
4.4207e-09,0.5532
4.4440e-09,0.5313
4.4673e-09,0.5145
4.4905e-09,0.5113
4.5138e-09,0.5143
4.5371e-09,0.5146
4.5603e-09,0.5080
4.5836e-09,0.4993
4.6069e-09,0.4950
4.6301e-09,0.4958
4.6534e-09,0.5003
4.6767e-09,0.5070
4.6999e-09,0.5170
4.7232e-09,0.5353
4.7465e-09,0.5792
4.7697e-09,0.6846
4.7930e-09,0.8213
4.8163e-09,0.9255
4.8395e-09,0.9998
4.8628e-09,1.0618
4.8861e-09,1.1133
4.9093e-09,1.1458
4.9326e-09,1.1586
4.9559e-09,1.1743
4.9791e-09,1.1902
5.0024e-09,1.1903
5.0257e-09,1.1824
5.0489e-09,1.1851
5.0722e-09,1.2016
5.0955e-09,1.2141
5.1187e-09,1.2155
5.1420e-09,1.2127
5.1653e-09,1.2128
5.1885e-09,1.2174
5.2118e-09,1.2195
5.2351e-09,1.2153
5.2583e-09,1.2075
5.2816e-09,1.1991
5.3049e-09,1.1913
5.3281e-09,1.1805
5.3514e-09,1.1553
5.3747e-09,1.0991
5.3979e-09,0.9932
5.4212e-09,0.8775
5.4445e-09,0.7947
5.4677e-09,0.7397
5.4910e-09,0.6965
5.5143e-09,0.6596
5.5375e-09,0.6348
5.5608e-09,0.6184
5.5841e-09,0.5945
5.6073e-09,0.5739
5.6306e-09,0.5669
5.6539e-09,0.5627
5.6771e-09,0.5482
5.7004e-09,0.5258
5.7237e-09,0.5122
5.7469e-09,0.5115
5.7702e-09,0.5150
5.7935e-09,0.5137
5.8168e-09,0.5055
5.8400e-09,0.4974
5.8633e-09,0.4946
5.8866e-09,0.4969
5.9098e-09,0.5022
5.9331e-09,0.5093
5.9564e-09,0.5208
5.9796e-09,0.5433
6.0029e-09,0.6004
6.0262e-09,0.7193
6.0494e-09,0.8500
6.0727e-09,0.9457
6.0960e-09,1.0171
6.1192e-09,1.0752
6.1425e-09,1.1221
6.1658e-09,1.1490
6.1890e-09,1.1616
6.2123e-09,1.1789
6.2356e-09,1.1908
6.2588e-09,1.1878
6.2821e-09,1.1817
6.3054e-09,1.1888
6.3286e-09,1.2053
6.3519e-09,1.2149
6.3752e-09,1.2152
6.3984e-09,1.2126
6.4217e-09,1.2138
6.4450e-09,1.2181
6.4682e-09,1.2187
6.4915e-09,1.2136
6.5148e-09,1.2055
6.5380e-09,1.1970
6.5613e-09,1.1889
6.5846e-09,1.1752
6.6078e-09,1.1433
6.6311e-09,1.0718
6.6544e-09,0.9550
6.6776e-09,0.8488
6.7009e-09,0.7793
6.7242e-09,0.7285
6.7474e-09,0.6863
6.7707e-09,0.6520
6.7940e-09,0.6322
6.8172e-09,0.6146
6.8405e-09,0.5879
6.8638e-09,0.5713
6.8870e-09,0.5676
6.9103e-09,0.5611
6.9336e-09,0.5419
6.9568e-09,0.5199
6.9801e-09,0.5113
7.0034e-09,0.5133
7.0266e-09,0.5157
7.0499e-09,0.5115
7.0732e-09,0.5022
7.0964e-09,0.4958
7.1197e-09,0.4951
7.1430e-09,0.4985
7.1662e-09,0.5041
7.1895e-09,0.5120
7.2128e-09,0.5256
7.2360e-09,0.5532
7.2593e-09,0.6279
7.2826e-09,0.7600
7.3058e-09,0.8861
7.3291e-09,0.9711
7.3524e-09,1.0357
7.3756e-09,1.0909
7.3989e-09,1.1340
7.4222e-09,1.1546
7.4454e-09,1.1661
7.4687e-09,1.1833
7.4920e-09,1.1920
7.5152e-09,1.1858
7.5385e-09,1.1811
7.5618e-09,1.1925
7.5850e-09,1.2096
7.6083e-09,1.2167
7.6316e-09,1.2146
7.6548e-09,1.2119
7.6781e-09,1.2145
7.7014e-09,1.2190
7.7246e-09,1.2185
7.7479e-09,1.2121
7.7712e-09,1.2031
7.7944e-09,1.1946
7.8177e-09,1.1859
7.8410e-09,1.1685
7.8642e-09,1.1286
7.8875e-09,1.0418
7.9108e-09,0.9227
7.9340e-09,0.8277
7.9573e-09,0.7648
7.9806e-09,0.7152
8.0038e-09,0.6753
8.0271e-09,0.6452
8.0504e-09,0.6283
8.0736e-09,0.6069
8.0969e-09,0.5808
8.1202e-09,0.5696
8.1435e-09,0.5668
8.1667e-09,0.5568
8.1900e-09,0.5350
8.2133e-09,0.5163
8.2365e-09,0.5116
8.2598e-09,0.5142
8.2831e-09,0.5151
8.3063e-09,0.5092
8.3296e-09,0.5004
8.3529e-09,0.4954
8.3761e-09,0.4955
8.3994e-09,0.4994
8.4227e-09,0.5057
8.4459e-09,0.5149
8.4692e-09,0.5311
8.4925e-09,0.5671
8.5157e-09,0.6611
8.5390e-09,0.7993
8.5623e-09,0.9138
8.5855e-09,0.9905
8.6088e-09,1.0522
8.6321e-09,1.1062
8.6553e-09,1.1436
8.6786e-09,1.1582
8.7019e-09,1.1709
8.7251e-09,1.1880
8.7484e-09,1.1921
8.7717e-09,1.1838
8.7949e-09,1.1827
8.8182e-09,1.1977
8.8415e-09,1.2131
8.8647e-09,1.2167
8.8880e-09,1.2134
8.9113e-09,1.2120
8.9345e-09,1.2161
8.9578e-09,1.2198
8.9811e-09,1.2171
9.0043e-09,1.2094
9.0276e-09,1.2006
9.0509e-09,1.1926
9.0741e-09,1.1830
9.0974e-09,1.1609
9.1207e-09,1.1115
9.1439e-09,1.0120
9.1672e-09,0.8953
9.1905e-09,0.8074
9.2137e-09,0.7484
9.2370e-09,0.7025
9.2603e-09,0.6649
9.2835e-09,0.6384
9.3068e-09,0.6219
9.3301e-09,0.5983
9.3533e-09,0.5758
9.3766e-09,0.5678
9.3999e-09,0.5642
9.4231e-09,0.5513
9.4464e-09,0.5291
9.4697e-09,0.5137
9.4929e-09,0.5115
9.5162e-09,0.5146
9.5395e-09,0.5142
9.5627e-09,0.5070
9.5860e-09,0.4986
9.6093e-09,0.4949
9.6325e-09,0.4961
9.6558e-09,0.5009
9.6791e-09,0.5078
9.7023e-09,0.5184
9.7256e-09,0.5380
9.7489e-09,0.5869
9.7721e-09,0.6989
9.7954e-09,0.8348
9.8187e-09,0.9348
9.8419e-09,1.0070
9.8652e-09,1.0679
9.8885e-09,1.1181
9.9117e-09,1.1481
9.9350e-09,1.1599
9.9583e-09,1.1763
9.9815e-09,1.1912
1.00048e-08,1.1897
1.00281e-08,1.1818
1.00513e-08,1.1863
1.00746e-08,1.2034
1.00979e-08,1.2148
1.01211e-08,1.2154
1.01444e-08,1.2125
1.01677e-08,1.2131
1.01909e-08,1.2179
1.02142e-08,1.2194
1.02375e-08,1.2147
1.02607e-08,1.2067
1.02840e-08,1.1983
1.03073e-08,1.1905
1.03305e-08,1.1788
1.03538e-08,1.1514
1.03771e-08,1.0906
1.04003e-08,0.9812
1.04236e-08,0.8675
1.04469e-08,0.7881
1.04702e-08,0.7346
1.04934e-08,0.6923
1.05167e-08,0.6563
1.05400e-08,0.6329
1.05632e-08,0.6161
1.05865e-08,0.5917
1.06098e-08,0.5725
1.06330e-08,0.5664
1.06563e-08,0.5617
1.06796e-08,0.5460
1.07028e-08,0.5238
1.07261e-08,0.5116
1.07494e-08,0.5118
1.07726e-08,0.5152
1.07959e-08,0.5131
1.08192e-08,0.5046
1.08424e-08,0.4969
1.08657e-08,0.4946
1.08890e-08,0.4973
1.09122e-08,0.5028
1.09355e-08,0.5102
1.09588e-08,0.5224
1.09820e-08,0.5469
1.10053e-08,0.6105
1.10286e-08,0.7342
1.10518e-08,0.8623
1.10751e-08,0.9543
1.10984e-08,1.0241
1.11216e-08,1.0812
1.11449e-08,1.1264
1.11682e-08,1.1508
1.11914e-08,1.1633
1.12147e-08,1.1810
1.12380e-08,1.1913
1.12612e-08,1.1870
1.12845e-08,1.1818
1.13078e-08,1.1904
1.13310e-08,1.2069
1.13543e-08,1.2153
1.13776e-08,1.2149
1.14008e-08,1.2125
1.14241e-08,1.2142
1.14474e-08,1.2185
1.14706e-08,1.2184
1.14939e-08,1.2128
1.15172e-08,1.2046
1.15404e-08,1.1962
1.15637e-08,1.1880
1.15870e-08,1.1730
1.16102e-08,1.1384
1.16335e-08,1.0615
1.16568e-08,0.9429
1.16800e-08,0.8401
1.17033e-08,0.7734
1.17266e-08,0.7237
1.17498e-08,0.6823
1.17731e-08,0.6491
1.17964e-08,0.6305
1.18196e-08,0.6120
1.18429e-08,0.5855
1.18662e-08,0.5705
1.18894e-08,0.5672
1.19127e-08,0.5597
1.19360e-08,0.5394
1.19592e-08,0.5183
1.19825e-08,0.5111
1.20058e-08,0.5136
1.20290e-08,0.5157
1.20523e-08,0.5107
1.20756e-08,0.5013
1.20988e-08,0.4955
1.21221e-08,0.4953
1.21454e-08,0.4990
1.21686e-08,0.5048
1.21919e-08,0.5130
1.22152e-08,0.5275
1.22384e-08,0.5580
1.22617e-08,0.6396
1.22850e-08,0.7741
1.23082e-08,0.8959
1.23315e-08,0.9778
1.23548e-08,1.0415
1.23780e-08,1.0958
1.24013e-08,1.1367
1.24246e-08,1.1555
1.24478e-08,1.1677
1.24711e-08,1.1849
1.24944e-08,1.1917
1.25176e-08,1.1847
1.25409e-08,1.1816
1.25642e-08,1.1945
1.25874e-08,1.2109
1.26107e-08,1.2167
1.26340e-08,1.2142
1.26572e-08,1.2120
1.26805e-08,1.2150
1.27038e-08,1.2192
1.27270e-08,1.2180
1.27503e-08,1.2112
1.27736e-08,1.2023
1.27968e-08,1.1938
1.28201e-08,1.1848
1.28434e-08,1.1657
1.28667e-08,1.1222
1.28899e-08,1.0298
1.29132e-08,0.9109
1.29365e-08,0.8200
1.29597e-08,0.7595
1.29830e-08,0.7109
1.30063e-08,0.6717
1.30295e-08,0.6430
1.30528e-08,0.6268
1.30761e-08,0.6042
1.30993e-08,0.5789
1.31226e-08,0.5692
1.31459e-08,0.5664
1.31691e-08,0.5550
1.31924e-08,0.5326
1.32157e-08,0.5152
1.32389e-08,0.5117
1.32622e-08,0.5146
1.32855e-08,0.5148
1.33087e-08,0.5082
1.33320e-08,0.4996
1.33553e-08,0.4952
1.33785e-08,0.4958
1.34018e-08,0.5000
1.34251e-08,0.5065
1.34483e-08,0.5162
1.34716e-08,0.5335
1.34949e-08,0.5735
1.35181e-08,0.6741
1.35414e-08,0.8127
1.35647e-08,0.9231
1.35879e-08,0.9976
1.36112e-08,1.0582
1.36345e-08,1.1110
1.36577e-08,1.1460
1.36810e-08,1.1593
1.37043e-08,1.1727
1.37275e-08,1.1891
1.37508e-08,1.1915
1.37741e-08,1.1831
1.37973e-08,1.1836
1.38206e-08,1.1995
1.38439e-08,1.2140
1.38671e-08,1.2166
1.38904e-08,1.2131
1.39137e-08,1.2122
1.39369e-08,1.2166
1.39602e-08,1.2198
1.39835e-08,1.2165
1.40067e-08,1.2086
1.40300e-08,1.1997
1.40533e-08,1.1918
1.40765e-08,1.1815
1.40998e-08,1.1574
1.41231e-08,1.1036
1.41463e-08,0.9994
1.41696e-08,0.8843
1.41929e-08,0.8006
1.42161e-08,0.7432
1.42394e-08,0.6983
1.42627e-08,0.6614
1.42859e-08,0.6367
1.43092e-08,0.6201
1.43325e-08,0.5955
1.43557e-08,0.5743
1.43790e-08,0.5676
1.44023e-08,0.5636
1.44255e-08,0.5493
1.44488e-08,0.5269
1.44721e-08,0.5130
1.44953e-08,0.5118
1.45186e-08,0.5149
1.45419e-08,0.5138
1.45651e-08,0.5061
1.45884e-08,0.4980
1.46117e-08,0.4948
1.46349e-08,0.4964
1.46582e-08,0.5015
1.46815e-08,0.5086
1.47047e-08,0.5199
1.47280e-08,0.5410
1.47513e-08,0.5954
1.47745e-08,0.7135
1.47978e-08,0.8479
1.48211e-08,0.9437
1.48443e-08,1.0142
1.48676e-08,1.0740
1.48909e-08,1.1227
1.49141e-08,1.1501
1.49374e-08,1.1612
1.49607e-08,1.1784
1.49839e-08,1.1919
1.50072e-08,1.1889
1.50305e-08,1.1814
1.50537e-08,1.1876
1.50770e-08,1.2051
1.51003e-08,1.2154
1.51236e-08,1.2152
1.51468e-08,1.2123
1.51701e-08,1.2134
1.51934e-08,1.2183
1.52166e-08,1.2193
1.52399e-08,1.2140
1.52632e-08,1.2058
1.52864e-08,1.1975
1.53097e-08,1.1897
1.53330e-08,1.1770
1.53562e-08,1.1473
1.53795e-08,1.0813
1.54028e-08,0.9689
1.54260e-08,0.8576
1.54493e-08,0.7817
1.54726e-08,0.7296
1.54958e-08,0.6880
1.55191e-08,0.6529
1.55424e-08,0.6310
1.55656e-08,0.6137
1.55889e-08,0.5890
1.56122e-08,0.5713
1.56354e-08,0.5660
1.56587e-08,0.5606
1.56820e-08,0.5437
1.57052e-08,0.5219
1.57285e-08,0.5112
1.57518e-08,0.5121
1.57750e-08,0.5153
1.57983e-08,0.5125
1.58216e-08,0.5037
1.58448e-08,0.4964
1.58681e-08,0.4946
1.58914e-08,0.4977
1.59146e-08,0.5034
1.59379e-08,0.5111
1.59612e-08,0.5242
1.59844e-08,0.5509
1.60077e-08,0.6213
1.60310e-08,0.7492
1.60542e-08,0.8739
1.60775e-08,0.9623
1.61008e-08,1.0306
1.61240e-08,1.0868
1.61473e-08,1.1302
1.61706e-08,1.1522
1.61938e-08,1.1648
1.62171e-08,1.1828
1.62404e-08,1.1915
1.62636e-08,1.1861
1.62869e-08,1.1819
1.63102e-08,1.1922
1.63334e-08,1.2084
1.63567e-08,1.2156
1.63800e-08,1.2145
1.64032e-08,1.2124
1.64265e-08,1.2147
1.64498e-08,1.2189
1.64730e-08,1.2181
1.64963e-08,1.2120
1.65196e-08,1.2036
1.65428e-08,1.1954
1.65661e-08,1.1870
1.65894e-08,1.1706
1.66126e-08,1.1331
1.66359e-08,1.0509
1.66592e-08,0.9314
1.66824e-08,0.8319
1.67057e-08,0.7675
1.67290e-08,0.7190
1.67522e-08,0.6783
1.67755e-08,0.6463
1.67988e-08,0.6287
1.68220e-08,0.6092
1.68453e-08,0.5831
1.68686e-08,0.5697
1.68918e-08,0.5667
1.69151e-08,0.5580
1.69384e-08,0.5370
1.69616e-08,0.5169
1.69849e-08,0.5110
1.70082e-08,0.5139
