.HEADER
..NAMES
Time,V U1.N3
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0321
2.094e-10,0.1139
2.327e-10,0.2743
2.559e-10,0.4013
2.792e-10,0.5002
3.025e-10,0.5665
3.257e-10,0.6077
3.490e-10,0.6282
3.723e-10,0.6384
3.955e-10,0.6441
4.188e-10,0.6489
4.421e-10,0.6532
4.653e-10,0.6568
4.886e-10,0.6581
5.119e-10,0.6566
5.351e-10,0.6537
5.584e-10,0.6503
5.817e-10,0.6483
6.049e-10,0.6488
6.282e-10,0.6527
6.515e-10,0.6610
6.747e-10,0.6734
6.980e-10,0.6908
7.213e-10,0.7166
7.445e-10,0.7562
7.678e-10,0.8100
7.911e-10,0.8755
8.143e-10,0.9478
8.376e-10,1.0198
8.609e-10,1.0851
8.841e-10,1.1389
9.074e-10,1.1789
9.307e-10,1.2044
9.539e-10,1.2174
9.772e-10,1.2188
1.0005e-09,1.1830
1.0237e-09,1.1089
1.0470e-09,0.9490
1.0703e-09,0.8088
1.0935e-09,0.7129
1.1168e-09,0.6573
1.1401e-09,0.6215
1.1633e-09,0.5991
1.1866e-09,0.5821
1.2099e-09,0.5673
1.2332e-09,0.5524
1.2564e-09,0.5356
1.2797e-09,0.5176
1.3030e-09,0.4995
1.3262e-09,0.4837
1.3495e-09,0.4700
1.3728e-09,0.4594
1.3960e-09,0.4517
1.4193e-09,0.4474
1.4426e-09,0.4464
1.4658e-09,0.4476
1.4891e-09,0.4496
1.5124e-09,0.4481
1.5356e-09,0.4363
1.5589e-09,0.4061
1.5822e-09,0.3554
1.6054e-09,0.2884
1.6287e-09,0.2127
1.6520e-09,0.1385
1.6752e-09,0.0741
1.6985e-09,0.0245
1.7218e-09,-0.0089
1.7450e-09,-0.0269
1.7683e-09,-0.0324
1.7916e-09,-0.0304
1.8148e-09,-0.0264
1.8381e-09,-0.0248
1.8614e-09,-0.0273
1.8846e-09,-0.0338
1.9079e-09,-0.0422
1.9312e-09,-0.0501
1.9544e-09,-0.0555
1.9777e-09,-0.0582
2.0010e-09,-0.0590
2.0242e-09,-0.0587
2.0475e-09,-0.0559
2.0708e-09,-0.0485
2.0940e-09,-0.0348
2.1173e-09,-0.0147
2.1406e-09,0.0093
2.1638e-09,0.0334
2.1871e-09,0.0537
2.2104e-09,0.0673
2.2336e-09,0.0724
2.2569e-09,0.0684
2.2802e-09,0.0566
2.3034e-09,0.0399
2.3267e-09,0.0228
2.3500e-09,0.0095
2.3732e-09,0.0026
2.3965e-09,0.0029
2.4198e-09,0.0085
2.4430e-09,0.0161
2.4663e-09,0.0226
2.4896e-09,0.0257
2.5128e-09,0.0252
2.5361e-09,0.0219
2.5594e-09,0.0169
2.5826e-09,0.0109
2.6059e-09,0.0040
2.6292e-09,-0.0034
2.6524e-09,-0.0109
2.6757e-09,-0.0031
2.6990e-09,0.0321
2.7222e-09,0.1652
2.7455e-09,0.3109
2.7688e-09,0.4253
2.7920e-09,0.5085
2.8153e-09,0.5739
2.8386e-09,0.6156
2.8618e-09,0.6413
2.8851e-09,0.6569
2.9084e-09,0.6638
2.9316e-09,0.6649
2.9549e-09,0.6618
2.9782e-09,0.6560
3.0014e-09,0.6485
3.0247e-09,0.6426
3.0480e-09,0.6397
3.0712e-09,0.6403
3.0945e-09,0.6452
3.1178e-09,0.6535
3.1410e-09,0.6654
3.1643e-09,0.6795
3.1876e-09,0.6962
3.2108e-09,0.7167
3.2341e-09,0.7473
3.2574e-09,0.7915
3.2806e-09,0.8485
3.3039e-09,0.9146
3.3272e-09,0.9834
3.3504e-09,1.0483
3.3737e-09,1.1041
3.3970e-09,1.1483
3.4202e-09,1.1806
3.4435e-09,1.2017
3.4668e-09,1.2144
3.4901e-09,1.2226
3.5133e-09,1.2289
3.5366e-09,1.2347
3.5599e-09,1.2406
3.5831e-09,1.2458
3.6064e-09,1.2488
3.6297e-09,1.2482
3.6529e-09,1.2437
3.6762e-09,1.2372
3.6995e-09,1.2306
3.7227e-09,1.2248
3.7460e-09,1.2187
3.7693e-09,1.2106
3.7925e-09,1.1992
3.8158e-09,1.1848
3.8391e-09,1.1690
3.8623e-09,1.1542
3.8856e-09,1.1426
3.9089e-09,1.1358
3.9321e-09,1.1351
3.9554e-09,1.1409
3.9787e-09,1.1514
4.0019e-09,1.1643
4.0252e-09,1.1766
4.0485e-09,1.1859
4.0717e-09,1.1909
4.0950e-09,1.1916
4.1183e-09,1.1900
4.1415e-09,1.1885
4.1648e-09,1.1890
4.1881e-09,1.1918
4.2113e-09,1.1964
4.2346e-09,1.2013
4.2579e-09,1.2058
4.2811e-09,1.2096
4.3044e-09,1.2129
4.3277e-09,1.2159
4.3509e-09,1.2185
4.3742e-09,1.2206
4.3975e-09,1.2222
4.4207e-09,1.2230
4.4440e-09,1.2223
