.HEADER
..NAMES
Time,V U1.M4
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0319
2.094e-10,0.1127
2.327e-10,0.2701
2.559e-10,0.3920
2.792e-10,0.4838
3.025e-10,0.5458
3.257e-10,0.5859
3.490e-10,0.6085
3.723e-10,0.6232
3.955e-10,0.6337
4.188e-10,0.6437
4.421e-10,0.6515
4.653e-10,0.6586
4.886e-10,0.6636
5.119e-10,0.6675
5.351e-10,0.6697
5.584e-10,0.6699
5.817e-10,0.6674
6.049e-10,0.6631
6.282e-10,0.6597
6.515e-10,0.6600
6.747e-10,0.6664
6.980e-10,0.6794
7.213e-10,0.7029
7.445e-10,0.7423
7.678e-10,0.7994
7.911e-10,0.8702
8.143e-10,0.9469
8.376e-10,1.0200
8.609e-10,1.0815
8.841e-10,1.1276
9.074e-10,1.1590
9.307e-10,1.1791
9.539e-10,1.1925
9.772e-10,1.2034
1.0005e-09,1.2138
1.0237e-09,1.2237
1.0470e-09,1.2320
1.0703e-09,1.2387
1.0935e-09,1.2445
1.1168e-09,1.2498
1.1401e-09,1.2535
1.1633e-09,1.2541
1.1866e-09,1.2507
1.2099e-09,1.2437
1.2332e-09,1.2334
1.2564e-09,1.2194
1.2797e-09,1.2015
1.3030e-09,1.1806
1.3262e-09,1.1591
1.3495e-09,1.1406
1.3728e-09,1.1287
1.3960e-09,1.1254
1.4193e-09,1.1306
1.4426e-09,1.1420
1.4658e-09,1.1557
1.4891e-09,1.1676
1.5124e-09,1.1749
1.5356e-09,1.1777
1.5589e-09,1.1779
1.5822e-09,1.1777
1.6054e-09,1.1784
1.6287e-09,1.1800
1.6520e-09,1.1823
1.6752e-09,1.1855
1.6985e-09,1.1897
1.7218e-09,1.1950
1.7450e-09,1.2012
1.7683e-09,1.2080
1.7916e-09,1.2149
1.8148e-09,1.2141
1.8381e-09,1.1766
1.8614e-09,1.0896
1.8846e-09,0.9251
1.9079e-09,0.7863
1.9312e-09,0.6956
1.9544e-09,0.6318
1.9777e-09,0.5885
2.0010e-09,0.5588
2.0242e-09,0.5386
2.0475e-09,0.5267
2.0708e-09,0.5195
2.0940e-09,0.5152
2.1173e-09,0.5113
2.1406e-09,0.5077
2.1638e-09,0.5035
2.1871e-09,0.4998
2.2104e-09,0.4975
2.2336e-09,0.4980
2.2569e-09,0.5004
2.2802e-09,0.5012
2.3034e-09,0.4980
2.3267e-09,0.4894
2.3500e-09,0.4741
2.3732e-09,0.4483
2.3965e-09,0.4070
2.4198e-09,0.3490
2.4430e-09,0.2796
2.4663e-09,0.2070
2.4896e-09,0.1405
2.5128e-09,0.0864
2.5361e-09,0.0466
2.5594e-09,0.0188
2.5826e-09,-0.0010
2.6059e-09,-0.0165
2.6292e-09,-0.0299
2.6524e-09,-0.0416
2.6757e-09,-0.0373
2.6990e-09,-0.0090
2.7222e-09,0.1130
2.7455e-09,0.2468
2.7688e-09,0.3452
2.7920e-09,0.4113
2.8153e-09,0.4646
2.8386e-09,0.5002
2.8618e-09,0.5285
2.8851e-09,0.5558
2.9084e-09,0.5852
2.9316e-09,0.6174
2.9549e-09,0.6516
2.9782e-09,0.6846
3.0014e-09,0.7119
3.0247e-09,0.7306
3.0480e-09,0.7382
3.0712e-09,0.7349
3.0945e-09,0.7232
3.1178e-09,0.7094
3.1410e-09,0.6994
3.1643e-09,0.6982
3.1876e-09,0.7063
3.2108e-09,0.7227
3.2341e-09,0.7506
3.2574e-09,0.7937
3.2806e-09,0.8515
3.3039e-09,0.9192
3.3272e-09,0.9883
3.3504e-09,1.0498
3.3737e-09,1.0974
3.3970e-09,1.1297
3.4202e-09,1.1490
3.4435e-09,1.1597
3.4668e-09,1.1669
3.4901e-09,1.1509
3.5133e-09,1.1060
3.5366e-09,0.9811
3.5599e-09,0.8371
3.5831e-09,0.7337
3.6064e-09,0.6813
3.6297e-09,0.6517
3.6529e-09,0.6344
3.6762e-09,0.6191
3.6995e-09,0.6002
3.7227e-09,0.5776
3.7460e-09,0.5524
3.7693e-09,0.5267
3.7925e-09,0.5014
3.8158e-09,0.4778
3.8391e-09,0.4568
3.8623e-09,0.4424
3.8856e-09,0.4369
3.9089e-09,0.4424
3.9321e-09,0.4550
3.9554e-09,0.4690
3.9787e-09,0.4778
4.0019e-09,0.4767
4.0252e-09,0.4615
4.0485e-09,0.4280
4.0717e-09,0.3743
4.0950e-09,0.3045
4.1183e-09,0.2265
4.1415e-09,0.1505
4.1648e-09,0.0861
4.1881e-09,0.0393
4.2113e-09,0.0112
4.2346e-09,-0.0021
4.2579e-09,-0.0067
4.2811e-09,-0.0089
4.3044e-09,-0.0124
4.3277e-09,-0.0184
4.3509e-09,-0.0255
4.3742e-09,-0.0329
4.3975e-09,-0.0409
4.4207e-09,-0.0504
4.4440e-09,-0.0610
