.HEADER
..NAMES
Time,V U1.M5
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1686
1.861e-10,1.1119
2.094e-10,0.9540
2.327e-10,0.7996
2.559e-10,0.6957
2.792e-10,0.6315
3.025e-10,0.5909
3.257e-10,0.5656
3.490e-10,0.5491
3.723e-10,0.5360
3.955e-10,0.5256
4.188e-10,0.5165
4.421e-10,0.5093
4.653e-10,0.5038
4.886e-10,0.5003
5.119e-10,0.4980
5.351e-10,0.4978
5.584e-10,0.4996
5.817e-10,0.5039
6.049e-10,0.5076
6.282e-10,0.5080
6.515e-10,0.5031
6.747e-10,0.4913
6.980e-10,0.4697
7.213e-10,0.4329
7.445e-10,0.3780
7.678e-10,0.3078
7.911e-10,0.2303
8.143e-10,0.1553
8.376e-10,0.0918
8.609e-10,0.0443
8.841e-10,0.0125
9.074e-10,-0.0074
9.307e-10,-0.0203
9.539e-10,-0.0307
9.772e-10,-0.0408
1.0005e-09,-0.0448
1.0237e-09,-0.0258
1.0470e-09,0.0512
1.0703e-09,0.1946
1.0935e-09,0.2934
1.1168e-09,0.3717
1.1401e-09,0.4333
1.1633e-09,0.4711
1.1866e-09,0.5050
1.2099e-09,0.5337
1.2332e-09,0.5646
1.2564e-09,0.5984
1.2797e-09,0.6348
1.3030e-09,0.6709
1.3262e-09,0.7026
1.3495e-09,0.7263
1.3728e-09,0.7385
1.3960e-09,0.7386
1.4193e-09,0.7283
1.4426e-09,0.7126
1.4658e-09,0.6981
1.4891e-09,0.6913
1.5124e-09,0.6950
1.5356e-09,0.7088
1.5589e-09,0.7337
1.5822e-09,0.7729
1.6054e-09,0.8267
1.6287e-09,0.8917
1.6520e-09,0.9607
1.6752e-09,1.0251
1.6985e-09,1.0776
1.7218e-09,1.1150
1.7450e-09,1.1386
1.7683e-09,1.1521
1.7916e-09,1.1603
1.8148e-09,1.1673
1.8381e-09,1.1757
1.8614e-09,1.1863
1.8846e-09,1.1988
1.9079e-09,1.2130
1.9312e-09,1.2285
1.9544e-09,1.2440
1.9777e-09,1.2564
2.0010e-09,1.2623
2.0242e-09,1.2601
2.0475e-09,1.2507
