.HEADER
..NAMES
Time,V U1.L5
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1688
1.861e-10,1.1126
2.094e-10,0.9556
2.327e-10,0.8029
2.559e-10,0.6990
2.792e-10,0.6357
3.025e-10,0.5944
3.257e-10,0.5697
3.490e-10,0.5524
3.723e-10,0.5394
3.955e-10,0.5280
4.188e-10,0.5188
4.421e-10,0.5108
4.653e-10,0.5052
4.886e-10,0.5012
5.119e-10,0.4990
5.351e-10,0.4990
5.584e-10,0.5016
5.817e-10,0.5060
6.049e-10,0.5093
6.282e-10,0.5081
6.515e-10,0.5007
6.747e-10,0.4854
6.980e-10,0.4585
7.213e-10,0.4150
7.445e-10,0.3536
7.678e-10,0.2796
7.911e-10,0.2021
8.143e-10,0.1311
8.376e-10,0.0739
8.609e-10,0.0331
8.841e-10,0.0067
9.074e-10,-0.0099
9.307e-10,-0.0216
9.539e-10,-0.0321
9.772e-10,-0.0426
1.0005e-09,-0.0466
1.0237e-09,-0.0272
1.0470e-09,0.0495
1.0703e-09,0.1917
1.0935e-09,0.2898
1.1168e-09,0.3696
1.1401e-09,0.4338
1.1633e-09,0.4763
1.1866e-09,0.5143
1.2099e-09,0.5479
1.2332e-09,0.5830
1.2564e-09,0.6209
1.2797e-09,0.6589
1.3030e-09,0.6936
1.3262e-09,0.7200
1.3495e-09,0.7360
1.3728e-09,0.7396
1.3960e-09,0.7324
1.4193e-09,0.7178
1.4426e-09,0.7023
1.4658e-09,0.6917
1.4891e-09,0.6907
1.5124e-09,0.6996
1.5356e-09,0.7176
1.5589e-09,0.7469
1.5822e-09,0.7907
1.6054e-09,0.8483
1.6287e-09,0.9146
1.6520e-09,0.9814
1.6752e-09,1.0404
1.6985e-09,1.0859
1.7218e-09,1.1169
1.7450e-09,1.1361
1.7683e-09,1.1478
1.7916e-09,1.1570
1.8148e-09,1.1670
1.8381e-09,1.1796
1.8614e-09,1.1943
1.8846e-09,1.2103
1.9079e-09,1.2268
1.9312e-09,1.2426
1.9544e-09,1.2550
1.9777e-09,1.2609
2.0010e-09,1.2587
2.0242e-09,1.2494
2.0475e-09,1.2356
