.HEADER
..NAMES
Time,V U1.P4
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0319
2.094e-10,0.1127
2.327e-10,0.2704
2.559e-10,0.3931
2.792e-10,0.4869
3.025e-10,0.5511
3.257e-10,0.5926
3.490e-10,0.6161
3.723e-10,0.6306
3.955e-10,0.6403
4.188e-10,0.6490
4.421e-10,0.6556
4.653e-10,0.6614
4.886e-10,0.6655
5.119e-10,0.6685
5.351e-10,0.6693
5.584e-10,0.6670
5.817e-10,0.6626
6.049e-10,0.6581
6.282e-10,0.6559
6.515e-10,0.6591
6.747e-10,0.6679
6.980e-10,0.6832
7.213e-10,0.7083
7.445e-10,0.7494
7.678e-10,0.8069
7.911e-10,0.8769
8.143e-10,0.9524
8.376e-10,1.0244
8.609e-10,1.0856
8.841e-10,1.1315
9.074e-10,1.1626
9.307e-10,1.1823
9.539e-10,1.1954
9.772e-10,1.2025
1.0005e-09,1.1752
1.0237e-09,1.1094
1.0470e-09,0.9568
1.0703e-09,0.8226
1.0935e-09,0.7323
1.1168e-09,0.6805
1.1401e-09,0.6454
1.1633e-09,0.6205
1.1866e-09,0.5982
1.2099e-09,0.5774
1.2332e-09,0.5558
1.2564e-09,0.5331
1.2797e-09,0.5087
1.3030e-09,0.4841
1.3262e-09,0.4607
1.3495e-09,0.4419
1.3728e-09,0.4318
1.3960e-09,0.4326
1.4193e-09,0.4421
1.4426e-09,0.4553
1.4658e-09,0.4651
1.4891e-09,0.4676
1.5124e-09,0.4595
1.5356e-09,0.4379
1.5589e-09,0.3978
1.5822e-09,0.3394
1.6054e-09,0.2684
1.6287e-09,0.1934
1.6520e-09,0.1247
1.6752e-09,0.0699
1.6985e-09,0.0325
1.7218e-09,0.0109
1.7450e-09,0.0003
1.7683e-09,-0.0051
1.7916e-09,-0.0096
1.8148e-09,-0.0151
1.8381e-09,-0.0117
1.8614e-09,0.0182
1.8846e-09,0.1223
1.9079e-09,0.2573
1.9312e-09,0.3542
1.9544e-09,0.4159
1.9777e-09,0.4629
2.0010e-09,0.4963
2.0242e-09,0.5212
2.0475e-09,0.5482
2.0708e-09,0.5795
2.0940e-09,0.6148
2.1173e-09,0.6518
2.1406e-09,0.6868
2.1638e-09,0.7150
2.1871e-09,0.7334
2.2104e-09,0.7383
2.2336e-09,0.7297
2.2569e-09,0.7124
2.2802e-09,0.6936
2.3034e-09,0.6810
2.3267e-09,0.6795
2.3500e-09,0.6895
2.3732e-09,0.7094
2.3965e-09,0.7421
2.4198e-09,0.7909
2.4430e-09,0.8534
2.4663e-09,0.9244
2.4896e-09,0.9955
2.5128e-09,1.0579
2.5361e-09,1.1055
2.5594e-09,1.1361
2.5826e-09,1.1526
2.6059e-09,1.1603
2.6292e-09,1.1650
2.6524e-09,1.1557
2.6757e-09,1.1171
2.6990e-09,1.0150
2.7222e-09,0.8654
2.7455e-09,0.7567
2.7688e-09,0.6961
2.7920e-09,0.6641
2.8153e-09,0.6432
2.8386e-09,0.6247
2.8618e-09,0.6024
2.8851e-09,0.5769
2.9084e-09,0.5492
2.9316e-09,0.5213
2.9549e-09,0.4948
2.9782e-09,0.4716
3.0014e-09,0.4526
3.0247e-09,0.4408
3.0480e-09,0.4389
3.0712e-09,0.4470
3.0945e-09,0.4614
3.1178e-09,0.4756
3.1410e-09,0.4831
3.1643e-09,0.4804
3.1876e-09,0.4646
3.2108e-09,0.4322
3.2341e-09,0.3798
3.2574e-09,0.3108
3.2806e-09,0.2325
3.3039e-09,0.1551
3.3272e-09,0.0890
3.3504e-09,0.0411
3.3737e-09,0.0130
3.3970e-09,0.0008
3.4202e-09,-0.0021
3.4435e-09,-0.0030
3.4668e-09,-0.0062
3.4901e-09,-0.0130
3.5133e-09,-0.0221
3.5366e-09,-0.0324
3.5599e-09,-0.0440
3.5831e-09,-0.0565
3.6064e-09,-0.0689
3.6297e-09,-0.0783
3.6529e-09,-0.0818
3.6762e-09,-0.0782
3.6995e-09,-0.0678
3.7227e-09,-0.0511
3.7460e-09,-0.0291
3.7693e-09,-0.0038
3.7925e-09,0.0221
3.8158e-09,0.0453
3.8391e-09,0.0622
3.8623e-09,0.0697
3.8856e-09,0.0666
3.9089e-09,0.0547
3.9321e-09,0.0383
3.9554e-09,0.0230
3.9787e-09,0.0135
4.0019e-09,0.0113
4.0252e-09,0.0148
4.0485e-09,0.0210
4.0717e-09,0.0272
4.0950e-09,0.0318
4.1183e-09,0.0343
4.1415e-09,0.0341
4.1648e-09,0.0309
4.1881e-09,0.0250
4.2113e-09,0.0167
4.2346e-09,0.0066
4.2579e-09,-0.0040
4.2811e-09,-0.0139
4.3044e-09,-0.0218
4.3277e-09,-0.0269
4.3509e-09,-0.0288
4.3742e-09,-0.0272
4.3975e-09,-0.0219
4.4207e-09,-0.0133
4.4440e-09,-0.0029
