.HEADER
..NAMES
Time,V U1.M1
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1685
1.861e-10,1.1114
2.094e-10,0.9511
2.327e-10,0.7910
2.559e-10,0.6766
2.792e-10,0.6008
3.025e-10,0.5552
3.257e-10,0.5357
3.490e-10,0.5280
3.723e-10,0.5241
3.955e-10,0.5239
4.188e-10,0.5240
4.421e-10,0.5200
4.653e-10,0.5145
4.886e-10,0.5103
5.119e-10,0.5060
5.351e-10,0.5011
5.584e-10,0.4979
5.817e-10,0.4997
6.049e-10,0.5042
6.282e-10,0.5088
6.515e-10,0.5133
6.747e-10,0.5150
6.980e-10,0.5097
7.213e-10,0.4937
7.445e-10,0.4649
7.678e-10,0.4217
7.911e-10,0.3647
8.143e-10,0.2976
8.376e-10,0.2265
8.609e-10,0.1578
8.841e-10,0.0965
9.074e-10,0.0460
9.307e-10,0.0079
9.539e-10,-0.0186
9.772e-10,-0.0360
1.0005e-09,-0.0473
1.0237e-09,-0.0542
1.0470e-09,-0.0579
1.0703e-09,-0.0594
1.0935e-09,-0.0598
1.1168e-09,-0.0603
1.1401e-09,-0.0617
1.1633e-09,-0.0649
1.1866e-09,-0.0696
1.2099e-09,-0.0746
1.2332e-09,-0.0783
1.2564e-09,-0.0792
1.2797e-09,-0.0759
1.3030e-09,-0.0669
1.3262e-09,-0.0519
1.3495e-09,-0.0323
1.3728e-09,-0.0101
1.3960e-09,0.0123
1.4193e-09,0.0322
1.4426e-09,0.0471
1.4658e-09,0.0555
1.4891e-09,0.0577
1.5124e-09,0.0547
1.5356e-09,0.0483
1.5589e-09,0.0408
1.5822e-09,0.0338
1.6054e-09,0.0278
1.6287e-09,0.0226
1.6520e-09,0.0184
1.6752e-09,0.0154
1.6985e-09,0.0135
1.7218e-09,0.0131
1.7450e-09,0.0142
1.7683e-09,0.0166
1.7916e-09,0.0192
1.8148e-09,0.0206
1.8381e-09,0.0300
1.8614e-09,0.0681
1.8846e-09,0.1850
1.9079e-09,0.3338
1.9312e-09,0.4436
1.9544e-09,0.5205
1.9777e-09,0.5713
2.0010e-09,0.5962
2.0242e-09,0.6055
