.HEADER
..NAMES
Time,V U1.H2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0321
2.094e-10,0.1136
2.327e-10,0.2739
2.559e-10,0.4018
2.792e-10,0.5050
3.025e-10,0.5778
3.257e-10,0.6189
3.490e-10,0.6354
3.723e-10,0.6419
3.955e-10,0.6446
4.188e-10,0.6434
4.421e-10,0.6422
4.653e-10,0.6460
4.886e-10,0.6515
5.119e-10,0.6558
5.351e-10,0.6591
5.584e-10,0.6627
5.817e-10,0.6616
6.049e-10,0.6519
6.282e-10,0.6361
6.515e-10,0.6178
6.747e-10,0.5983
6.980e-10,0.5798
7.213e-10,0.5678
7.445e-10,0.5669
7.678e-10,0.5768
7.911e-10,0.5974
8.143e-10,0.6290
8.376e-10,0.6696
8.609e-10,0.7157
8.841e-10,0.7662
9.074e-10,0.8220
9.307e-10,0.8810
9.539e-10,0.9394
9.772e-10,0.9911
1.0005e-09,1.0053
1.0237e-09,0.9696
1.0470e-09,0.8337
1.0703e-09,0.7053
1.0935e-09,0.6118
1.1168e-09,0.5504
1.1401e-09,0.5172
1.1633e-09,0.5074
1.1866e-09,0.5091
1.2099e-09,0.5149
1.2332e-09,0.5252
1.2564e-09,0.5381
1.2797e-09,0.5489
1.3030e-09,0.5577
1.3262e-09,0.5662
1.3495e-09,0.5736
1.3728e-09,0.5771
1.3960e-09,0.5776
1.4193e-09,0.5790
1.4426e-09,0.5799
1.4658e-09,0.5786
1.4891e-09,0.5761
1.5124e-09,0.5734
1.5356e-09,0.5684
1.5589e-09,0.5578
1.5822e-09,0.5416
1.6054e-09,0.5204
1.6287e-09,0.4932
1.6520e-09,0.4596
1.6752e-09,0.4206
1.6985e-09,0.3767
1.7218e-09,0.3268
1.7450e-09,0.2714
1.7683e-09,0.2137
1.7916e-09,0.1575
1.8148e-09,0.1053
1.8381e-09,0.0710
1.8614e-09,0.0802
1.8846e-09,0.1804
1.9079e-09,0.3210
1.9312e-09,0.4309
1.9544e-09,0.5136
1.9777e-09,0.5723
2.0010e-09,0.6004
2.0242e-09,0.6051
2.0475e-09,0.6023
2.0708e-09,0.5923
2.0940e-09,0.5760
2.1173e-09,0.5618
2.1406e-09,0.5532
2.1638e-09,0.5477
2.1871e-09,0.5457
2.2104e-09,0.5501
2.2336e-09,0.5608
2.2569e-09,0.5712
2.2802e-09,0.5781
2.3034e-09,0.5827
2.3267e-09,0.5850
2.3500e-09,0.5840
2.3732e-09,0.5811
2.3965e-09,0.5821
2.4198e-09,0.5903
2.4430e-09,0.6061
2.4663e-09,0.6312
2.4896e-09,0.6665
2.5128e-09,0.7096
2.5361e-09,0.7577
2.5594e-09,0.8104
2.5826e-09,0.8680
2.6059e-09,0.9271
2.6292e-09,0.9840
2.6524e-09,1.0366
2.6757e-09,1.0827
2.6990e-09,1.1192
2.7222e-09,1.1444
2.7455e-09,1.1607
2.7688e-09,1.1710
2.7920e-09,1.1769
2.8153e-09,1.1805
2.8386e-09,1.1843
2.8618e-09,1.1897
2.8851e-09,1.1959
2.9084e-09,1.2029
2.9316e-09,1.2113
2.9549e-09,1.2208
2.9782e-09,1.2298
3.0014e-09,1.2373
3.0247e-09,1.2434
3.0480e-09,1.2468
3.0712e-09,1.2456
3.0945e-09,1.2392
3.1178e-09,1.2283
3.1410e-09,1.2141
3.1643e-09,1.1983
3.1876e-09,1.1831
3.2108e-09,1.1710
3.2341e-09,1.1628
3.2574e-09,1.1584
3.2806e-09,1.1574
3.3039e-09,1.1590
3.3272e-09,1.1622
3.3504e-09,1.1662
3.3737e-09,1.1709
3.3970e-09,1.1763
3.4202e-09,1.1814
3.4435e-09,1.1853
3.4668e-09,1.1875
3.4901e-09,1.1647
3.5133e-09,1.1085
3.5366e-09,0.9682
3.5599e-09,0.8026
3.5831e-09,0.6751
3.6064e-09,0.5918
3.6297e-09,0.5397
3.6529e-09,0.5171
3.6762e-09,0.5132
3.6995e-09,0.5134
3.7227e-09,0.5165
3.7460e-09,0.5220
3.7693e-09,0.5247
3.7925e-09,0.5233
3.8158e-09,0.5214
3.8391e-09,0.5208
3.8623e-09,0.5201
3.8856e-09,0.5191
3.9089e-09,0.5235
3.9321e-09,0.5343
3.9554e-09,0.5479
3.9787e-09,0.5627
4.0019e-09,0.5779
4.0252e-09,0.5905
4.0485e-09,0.5944
4.0717e-09,0.5874
4.0950e-09,0.5706
4.1183e-09,0.5445
4.1415e-09,0.5096
4.1648e-09,0.4681
4.1881e-09,0.4223
4.2113e-09,0.3716
4.2346e-09,0.3156
4.2579e-09,0.2569
4.2811e-09,0.1993
4.3044e-09,0.1453
4.3277e-09,0.1013
4.3509e-09,0.0921
4.3742e-09,0.1549
4.3975e-09,0.2989
4.4207e-09,0.4191
4.4440e-09,0.5132
4.4673e-09,0.5797
4.4905e-09,0.6128
