.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
0.0e+00,-0.6213
2.33e-11,-0.6213
4.65e-11,-0.6213
6.98e-11,-0.6213
9.31e-11,-0.6213
1.163e-10,-0.6213
1.396e-10,-0.6213
1.629e-10,-0.6213
1.861e-10,-0.6213
2.094e-10,-0.6213
2.327e-10,-0.6213
2.559e-10,-0.6213
2.792e-10,-0.6213
3.025e-10,-0.6213
3.257e-10,-0.6213
3.490e-10,-0.6213
3.723e-10,-0.6213
3.955e-10,-0.6213
4.188e-10,-0.6213
4.421e-10,-0.6213
4.653e-10,-0.6213
4.886e-10,-0.6213
5.119e-10,-0.6213
5.351e-10,-0.6213
5.584e-10,-0.6198
5.817e-10,-0.5828
6.049e-10,-0.4794
6.282e-10,-0.1881
6.515e-10,0.1163
6.747e-10,0.3237
6.980e-10,0.4752
7.213e-10,0.5677
7.445e-10,0.5997
7.678e-10,0.6047
7.911e-10,0.6139
8.143e-10,0.6324
8.376e-10,0.6471
8.609e-10,0.6449
8.841e-10,0.6237
9.074e-10,0.5845
9.307e-10,0.5305
9.539e-10,0.4694
9.772e-10,0.4141
1.0005e-09,0.3510
1.0237e-09,0.2311
1.0470e-09,-0.0471
1.0703e-09,-0.2956
1.0935e-09,-0.4437
1.1168e-09,-0.5347
1.1401e-09,-0.5831
1.1633e-09,-0.5989
1.1866e-09,-0.6104
1.2099e-09,-0.6358
1.2332e-09,-0.6676
1.2564e-09,-0.6859
1.2797e-09,-0.6742
1.3030e-09,-0.6301
1.3262e-09,-0.5608
1.3495e-09,-0.4805
1.3728e-09,-0.4055
1.3960e-09,-0.3504
1.4193e-09,-0.3026
1.4426e-09,-0.1919
1.4658e-09,0.0641
1.4891e-09,0.2907
1.5124e-09,0.4166
1.5356e-09,0.5054
1.5589e-09,0.5647
1.5822e-09,0.5994
1.6054e-09,0.6286
1.6287e-09,0.6643
1.6520e-09,0.6944
1.6752e-09,0.6997
1.6985e-09,0.6695
1.7218e-09,0.6085
1.7450e-09,0.5294
1.7683e-09,0.4489
1.7916e-09,0.3841
1.8148e-09,0.3437
1.8381e-09,0.3101
1.8614e-09,0.1897
1.8846e-09,-0.0629
1.9079e-09,-0.2842
1.9312e-09,-0.4160
1.9544e-09,-0.5130
1.9777e-09,-0.5820
2.0010e-09,-0.6194
2.0242e-09,-0.6468
2.0475e-09,-0.6767
2.0708e-09,-0.6959
2.0940e-09,-0.6887
2.1173e-09,-0.6492
2.1406e-09,-0.5849
2.1638e-09,-0.5091
2.1871e-09,-0.4370
2.2104e-09,-0.3822
2.2336e-09,-0.3479
2.2569e-09,-0.3163
2.2802e-09,-0.1784
2.3034e-09,0.0813
2.3267e-09,0.3008
2.3500e-09,0.4355
2.3732e-09,0.5351
2.3965e-09,0.5976
2.4198e-09,0.6295
2.4430e-09,0.6520
2.4663e-09,0.6749
2.4896e-09,0.6880
2.5128e-09,0.6774
2.5361e-09,0.6382
2.5594e-09,0.5774
2.5826e-09,0.5067
2.6059e-09,0.4396
2.6292e-09,0.3895
2.6524e-09,0.3552
2.6757e-09,0.3145
2.6990e-09,0.1577
2.7222e-09,-0.1186
2.7455e-09,-0.3210
2.7688e-09,-0.4541
2.7920e-09,-0.5464
2.8153e-09,-0.6010
2.8386e-09,-0.6262
2.8618e-09,-0.6473
2.8851e-09,-0.6703
2.9084e-09,-0.6840
2.9316e-09,-0.6735
2.9549e-09,-0.6344
2.9782e-09,-0.5738
3.0014e-09,-0.5032
3.0247e-09,-0.4356
3.0480e-09,-0.3844
3.0712e-09,-0.3465
3.0945e-09,-0.3081
3.1178e-09,-0.1250
3.1410e-09,0.1487
3.1643e-09,0.3397
3.1876e-09,0.4667
3.2108e-09,0.5517
3.2341e-09,0.6012
3.2574e-09,0.6267
3.2806e-09,0.6488
3.3039e-09,0.6726
3.3272e-09,0.6859
3.3504e-09,0.6739
3.3737e-09,0.6330
3.3970e-09,0.5703
3.4202e-09,0.4983
3.4435e-09,0.4305
3.4668e-09,0.3817
3.4901e-09,0.3438
3.5133e-09,0.2947
3.5366e-09,0.0959
3.5599e-09,-0.1761
3.5831e-09,-0.3502
3.6064e-09,-0.4730
3.6297e-09,-0.5557
3.6529e-09,-0.6035
3.6762e-09,-0.6269
3.6995e-09,-0.6505
3.7227e-09,-0.6757
3.7460e-09,-0.6877
3.7693e-09,-0.6721
3.7925e-09,-0.6273
3.8158e-09,-0.5618
3.8391e-09,-0.4886
3.8623e-09,-0.4211
3.8856e-09,-0.3740
3.9089e-09,-0.3358
3.9321e-09,-0.2842
3.9554e-09,-0.0684
3.9787e-09,0.1943
4.0019e-09,0.3625
4.0252e-09,0.4805
4.0485e-09,0.5630
4.0717e-09,0.6072
4.0950e-09,0.6310
4.1183e-09,0.6555
4.1415e-09,0.6792
4.1648e-09,0.6880
4.1881e-09,0.6688
4.2113e-09,0.6214
4.2346e-09,0.5546
4.2579e-09,0.4819
4.2811e-09,0.4168
4.3044e-09,0.3744
4.3277e-09,0.3366
4.3509e-09,0.2759
4.3742e-09,0.0394
4.3975e-09,-0.2155
4.4207e-09,-0.3746
4.4440e-09,-0.4889
4.4673e-09,-0.5701
4.4905e-09,-0.6105
4.5138e-09,-0.6319
4.5371e-09,-0.6573
4.5603e-09,-0.6805
4.5836e-09,-0.6869
4.6069e-09,-0.6644
4.6301e-09,-0.6142
4.6534e-09,-0.5462
4.6767e-09,-0.4737
4.6999e-09,-0.4097
4.7232e-09,-0.3679
4.7465e-09,-0.3305
4.7697e-09,-0.2590
4.7930e-09,-0.0132
4.8163e-09,0.2339
4.8395e-09,0.3874
4.8628e-09,0.5004
4.8861e-09,0.5756
4.9093e-09,0.6134
4.9326e-09,0.6363
4.9559e-09,0.6608
4.9791e-09,0.6820
5.0024e-09,0.6858
5.0257e-09,0.6606
5.0489e-09,0.6089
5.0722e-09,0.5402
5.0955e-09,0.4683
5.1187e-09,0.4068
5.1420e-09,0.3676
5.1653e-09,0.3309
5.1885e-09,0.2396
5.2118e-09,-0.0136
5.2351e-09,-0.2529
5.2583e-09,-0.4027
5.2816e-09,-0.5095
5.3049e-09,-0.5798
5.3281e-09,-0.6148
5.3514e-09,-0.6371
5.3747e-09,-0.6620
5.3979e-09,-0.6832
5.4212e-09,-0.6846
5.4445e-09,-0.6564
5.4677e-09,-0.6020
5.4910e-09,-0.5321
5.5143e-09,-0.4603
5.5375e-09,-0.3997
5.5608e-09,-0.3602
5.5841e-09,-0.3244
5.6073e-09,-0.2192
5.6306e-09,0.0385
5.6539e-09,0.2751
5.6771e-09,0.4163
5.7004e-09,0.5174
5.7237e-09,0.5834
5.7469e-09,0.6181
5.7702e-09,0.6405
5.7935e-09,0.6653
5.8168e-09,0.6846
5.8400e-09,0.6833
5.8633e-09,0.6524
5.8866e-09,0.5964
5.9098e-09,0.5258
5.9331e-09,0.4548
5.9564e-09,0.3970
5.9796e-09,0.3592
6.0029e-09,0.3227
6.0262e-09,0.1960
6.0494e-09,-0.0644
6.0727e-09,-0.2915
6.0960e-09,-0.4288
6.1192e-09,-0.5248
6.1425e-09,-0.5896
6.1658e-09,-0.6199
6.1890e-09,-0.6412
6.2123e-09,-0.6669
6.2356e-09,-0.6857
6.2588e-09,-0.6816
6.2821e-09,-0.6475
6.3054e-09,-0.5890
6.3286e-09,-0.5175
6.3519e-09,-0.4467
6.3752e-09,-0.3901
6.3984e-09,-0.3518
6.4217e-09,-0.3150
6.4450e-09,-0.1738
6.4682e-09,0.0883
6.4915e-09,0.3056
6.5148e-09,0.4390
6.5380e-09,0.5341
6.5613e-09,0.5932
6.5846e-09,0.6223
6.6078e-09,0.6451
6.6311e-09,0.6701
6.6544e-09,0.6865
6.6776e-09,0.6795
6.7009e-09,0.6429
6.7242e-09,0.5830
6.7474e-09,0.5111
6.7707e-09,0.4415
6.7940e-09,0.3883
6.8172e-09,0.3517
6.8405e-09,0.3102
6.8638e-09,0.1549
6.8870e-09,-0.1233
6.9103e-09,-0.3195
6.9336e-09,-0.4511
6.9568e-09,-0.5424
6.9801e-09,-0.5973
7.0034e-09,-0.6231
7.0266e-09,-0.6467
7.0499e-09,-0.6719
7.0732e-09,-0.6871
7.0964e-09,-0.6771
7.1197e-09,-0.6374
