.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
0.0e+00,0.2770
2.33e-11,0.2770
4.65e-11,0.2770
6.98e-11,0.2770
9.31e-11,0.2770
1.163e-10,0.2770
1.396e-10,0.2770
1.629e-10,0.2770
1.861e-10,0.2770
2.094e-10,0.2770
2.327e-10,0.2770
2.559e-10,0.2770
2.792e-10,0.2770
3.025e-10,0.2770
3.257e-10,0.2770
3.490e-10,0.2770
3.723e-10,0.2770
3.955e-10,0.2770
4.188e-10,0.2770
4.421e-10,0.2770
4.653e-10,0.2770
4.886e-10,0.2770
5.119e-10,0.2770
5.351e-10,0.2770
5.584e-10,0.2770
5.817e-10,0.2821
6.049e-10,0.3220
6.282e-10,0.4578
6.515e-10,0.6247
6.747e-10,0.7382
6.980e-10,0.8212
7.213e-10,0.8728
7.445e-10,0.8915
7.678e-10,0.8943
7.911e-10,0.8983
8.143e-10,0.9077
8.376e-10,0.9157
8.609e-10,0.9155
8.841e-10,0.9065
9.074e-10,0.8884
9.307e-10,0.8623
9.539e-10,0.8319
9.772e-10,0.8012
1.0005e-09,0.7547
1.0237e-09,0.6808
1.0470e-09,0.5414
1.0703e-09,0.4297
1.0935e-09,0.3585
1.1168e-09,0.3125
1.1401e-09,0.2893
1.1633e-09,0.2821
1.1866e-09,0.2770
1.2099e-09,0.2649
1.2332e-09,0.2508
1.2564e-09,0.2434
1.2797e-09,0.2490
1.3030e-09,0.2688
1.3262e-09,0.3006
1.3495e-09,0.3381
1.3728e-09,0.3729
1.3960e-09,0.3959
1.4193e-09,0.4098
1.4426e-09,0.4576
1.4658e-09,0.5963
1.4891e-09,0.7318
1.5124e-09,0.8008
1.5356e-09,0.8531
1.5589e-09,0.8858
1.5822e-09,0.9015
1.6054e-09,0.9132
1.6287e-09,0.9276
1.6520e-09,0.9408
1.6752e-09,0.9426
1.6985e-09,0.9284
1.7218e-09,0.8999
1.7450e-09,0.8621
1.7683e-09,0.8230
1.7916e-09,0.7905
1.8148e-09,0.7637
1.8381e-09,0.7323
1.8614e-09,0.6565
1.8846e-09,0.5336
1.9079e-09,0.4340
1.9312e-09,0.3680
1.9544e-09,0.3193
1.9777e-09,0.2863
2.0010e-09,0.2709
2.0242e-09,0.2588
2.0475e-09,0.2459
2.0708e-09,0.2391
2.0940e-09,0.2441
2.1173e-09,0.2627
2.1406e-09,0.2917
2.1638e-09,0.3260
2.1871e-09,0.3587
2.2104e-09,0.3832
2.2336e-09,0.3932
2.2569e-09,0.4011
2.2802e-09,0.4623
2.3034e-09,0.6076
2.3267e-09,0.7369
2.3500e-09,0.8127
2.3732e-09,0.8675
2.3965e-09,0.9020
2.4198e-09,0.9171
2.4430e-09,0.9244
2.4663e-09,0.9327
2.4896e-09,0.9373
2.5128e-09,0.9312
2.5361e-09,0.9126
2.5594e-09,0.8842
2.5826e-09,0.8505
2.6059e-09,0.8182
2.6292e-09,0.7930
2.6524e-09,0.7661
2.6757e-09,0.7315
2.6990e-09,0.6386
2.7222e-09,0.5122
2.7455e-09,0.4165
2.7688e-09,0.3509
2.7920e-09,0.3012
2.8153e-09,0.2779
2.8386e-09,0.2676
2.8618e-09,0.2583
2.8851e-09,0.2493
2.9084e-09,0.2452
2.9316e-09,0.2516
2.9549e-09,0.2698
2.9782e-09,0.2970
3.0014e-09,0.3287
3.0247e-09,0.3592
3.0480e-09,0.3819
3.0712e-09,0.3915
3.0945e-09,0.4034
3.1178e-09,0.4899
3.1410e-09,0.6467
3.1643e-09,0.7581
3.1876e-09,0.8317
3.2108e-09,0.8774
3.2341e-09,0.9049
3.2574e-09,0.9155
3.2806e-09,0.9227
3.3039e-09,0.9313
3.3272e-09,0.9360
3.3504e-09,0.9292
3.3737e-09,0.9099
3.3970e-09,0.8805
3.4202e-09,0.8462
3.4435e-09,0.8135
3.4668e-09,0.7887
3.4901e-09,0.7574
3.5133e-09,0.7185
3.5366e-09,0.6060
3.5599e-09,0.4834
3.5831e-09,0.4017
3.6064e-09,0.3422
3.6297e-09,0.2986
3.6529e-09,0.2763
3.6762e-09,0.2673
3.6995e-09,0.2569
3.7227e-09,0.2468
3.7460e-09,0.2437
3.7693e-09,0.2523
3.7925e-09,0.2730
3.8158e-09,0.3025
3.8391e-09,0.3355
3.8623e-09,0.3659
3.8856e-09,0.3867
3.9089e-09,0.3946
3.9321e-09,0.4153
3.9554e-09,0.5190
3.9787e-09,0.6729
4.0019e-09,0.7706
4.0252e-09,0.8405
4.0485e-09,0.8855
4.0717e-09,0.9070
4.0950e-09,0.9173
4.1183e-09,0.9254
4.1415e-09,0.9342
4.1648e-09,0.9369
4.1881e-09,0.9269
