.HEADER
..NAMES
Time,V U1.L6
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0318
2.094e-10,0.1117
2.327e-10,0.2654
2.559e-10,0.3772
2.792e-10,0.4534
3.025e-10,0.5023
3.257e-10,0.5371
3.490e-10,0.5641
3.723e-10,0.5882
3.955e-10,0.6106
4.188e-10,0.6296
4.421e-10,0.6432
4.653e-10,0.6524
4.886e-10,0.6578
5.119e-10,0.6614
5.351e-10,0.6629
5.584e-10,0.6610
5.817e-10,0.6545
6.049e-10,0.6448
6.282e-10,0.6371
6.515e-10,0.6390
6.747e-10,0.6582
6.980e-10,0.6990
7.213e-10,0.7603
7.445e-10,0.8362
7.678e-10,0.9162
7.911e-10,0.9888
8.143e-10,1.0452
8.376e-10,1.0838
8.609e-10,1.1096
8.841e-10,1.1304
9.074e-10,1.1520
9.307e-10,1.1756
9.539e-10,1.1988
9.772e-10,1.2186
1.0005e-09,1.2335
1.0237e-09,1.2442
1.0470e-09,1.2517
1.0703e-09,1.2566
1.0935e-09,1.2578
1.1168e-09,1.2531
1.1401e-09,1.2403
1.1633e-09,1.2194
1.1866e-09,1.1931
1.2099e-09,1.1664
1.2332e-09,1.1446
1.2564e-09,1.1314
1.2797e-09,1.1276
1.3030e-09,1.1314
1.3262e-09,1.1395
1.3495e-09,1.1482
1.3728e-09,1.1546
1.3960e-09,1.1571
1.4193e-09,1.1564
1.4426e-09,1.1548
1.4658e-09,1.1548
1.4891e-09,1.1583
1.5124e-09,1.1649
1.5356e-09,1.1734
1.5589e-09,1.1825
1.5822e-09,1.1916
1.6054e-09,1.2012
1.6287e-09,1.2116
1.6520e-09,1.2223
1.6752e-09,1.2315
1.6985e-09,1.2370
1.7218e-09,1.2374
1.7450e-09,1.2327
1.7683e-09,1.2248
1.7916e-09,1.2165
1.8148e-09,1.2103
1.8381e-09,1.2076
1.8614e-09,1.2077
1.8846e-09,1.2093
1.9079e-09,1.2105
1.9312e-09,1.2102
1.9544e-09,1.2080
1.9777e-09,1.2043
2.0010e-09,1.1997
2.0242e-09,1.1951
2.0475e-09,1.1911
2.0708e-09,1.1882
2.0940e-09,1.1864
2.1173e-09,1.1856
2.1406e-09,1.1859
2.1638e-09,1.1874
2.1871e-09,1.1902
2.2104e-09,1.1943
2.2336e-09,1.1991
2.2569e-09,1.2034
2.2802e-09,1.2061
2.3034e-09,1.2067
2.3267e-09,1.2054
2.3500e-09,1.2033
2.3732e-09,1.2018
2.3965e-09,1.2017
2.4198e-09,1.2032
2.4430e-09,1.2057
2.4663e-09,1.2082
2.4896e-09,1.2099
2.5128e-09,1.2105
2.5361e-09,1.2102
2.5594e-09,1.2093
2.5826e-09,1.2081
2.6059e-09,1.2066
2.6292e-09,1.2049
2.6524e-09,1.2030
2.6757e-09,1.2011
2.6990e-09,1.1995
2.7222e-09,1.1986
2.7455e-09,1.1985
2.7688e-09,1.1991
2.7920e-09,1.2003
2.8153e-09,1.2016
2.8386e-09,1.2024
2.8618e-09,1.2025
2.8851e-09,1.2017
2.9084e-09,1.2005
2.9316e-09,1.1993
2.9549e-09,1.1986
2.9782e-09,1.1988
3.0014e-09,1.1998
3.0247e-09,1.2011
3.0480e-09,1.2024
3.0712e-09,1.2033
3.0945e-09,1.2039
3.1178e-09,1.2042
3.1410e-09,1.2044
3.1643e-09,1.2045
3.1876e-09,1.2044
3.2108e-09,1.2041
3.2341e-09,1.2034
3.2574e-09,1.2026
3.2806e-09,1.2020
3.3039e-09,1.2018
3.3272e-09,1.2020
3.3504e-09,1.2026
3.3737e-09,1.2032
3.3970e-09,1.2036
3.4202e-09,1.2036
3.4435e-09,1.2032
3.4668e-09,1.2025
3.4901e-09,1.2017
3.5133e-09,1.2011
3.5366e-09,1.2007
3.5599e-09,1.2007
3.5831e-09,1.2009
3.6064e-09,1.2012
3.6297e-09,1.2016
3.6529e-09,1.2018
3.6762e-09,1.2020
3.6995e-09,1.2022
3.7227e-09,1.2024
3.7460e-09,1.2025
3.7693e-09,1.2025
3.7925e-09,1.2024
3.8158e-09,1.2021
3.8391e-09,1.2018
3.8623e-09,1.2016
3.8856e-09,1.2017
3.9089e-09,1.2020
3.9321e-09,1.2024
3.9554e-09,1.2028
3.9787e-09,1.2030
4.0019e-09,1.2029
4.0252e-09,1.2027
4.0485e-09,1.2024
4.0717e-09,1.2021
4.0950e-09,1.2019
4.1183e-09,1.2018
4.1415e-09,1.2018
4.1648e-09,1.2018
4.1881e-09,1.2018
4.2113e-09,1.2019
4.2346e-09,1.2019
4.2579e-09,1.2020
4.2811e-09,1.2021
4.3044e-09,1.2021
4.3277e-09,1.1711
4.3509e-09,1.1148
4.3742e-09,0.9609
4.3975e-09,0.8158
4.4207e-09,0.7267
4.4440e-09,0.6760
4.4673e-09,0.6431
4.4905e-09,0.6143
