.HEADER
..NAMES
Time,V U1.W2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0338
4.188e-10,0.1302
4.421e-10,0.2762
4.653e-10,0.4152
4.886e-10,0.5058
5.119e-10,0.5739
5.351e-10,0.6143
5.584e-10,0.6340
5.817e-10,0.6443
6.049e-10,0.6492
6.282e-10,0.6529
6.515e-10,0.6563
6.747e-10,0.6598
6.980e-10,0.6627
7.213e-10,0.6655
7.445e-10,0.6667
7.678e-10,0.6655
7.911e-10,0.6628
8.143e-10,0.6602
8.376e-10,0.6584
8.609e-10,0.6564
8.841e-10,0.6544
9.074e-10,0.6573
9.307e-10,0.6716
9.539e-10,0.7004
9.772e-10,0.7450
1.0005e-09,0.8052
1.0237e-09,0.8751
1.0470e-09,0.9470
1.0703e-09,1.0147
1.0935e-09,1.0734
1.1168e-09,1.1205
1.1401e-09,1.1565
1.1633e-09,1.1826
1.1866e-09,1.2001
1.2099e-09,1.2110
1.2332e-09,1.2187
1.2564e-09,1.2257
1.2797e-09,1.2326
1.3030e-09,1.2384
1.3262e-09,1.2427
1.3495e-09,1.2465
1.3728e-09,1.2503
1.3960e-09,1.2543
1.4193e-09,1.2578
1.4426e-09,1.2597
1.4658e-09,1.2575
1.4891e-09,1.2487
1.5124e-09,1.2330
1.5356e-09,1.2120
1.5589e-09,1.1891
1.5822e-09,1.1679
1.6054e-09,1.1450
1.6287e-09,1.0946
1.6520e-09,0.9962
1.6752e-09,0.8266
1.6985e-09,0.6920
1.7218e-09,0.6079
1.7450e-09,0.5526
1.7683e-09,0.5232
1.7916e-09,0.5098
1.8148e-09,0.5031
1.8381e-09,0.5000
1.8614e-09,0.4981
1.8846e-09,0.4955
1.9079e-09,0.4926
1.9312e-09,0.4893
1.9544e-09,0.4860
1.9777e-09,0.4845
2.0010e-09,0.4874
2.0242e-09,0.4949
2.0475e-09,0.5055
2.0708e-09,0.5166
2.0940e-09,0.5276
2.1173e-09,0.5377
2.1406e-09,0.5400
2.1638e-09,0.5256
2.1871e-09,0.4915
2.2104e-09,0.4388
2.2336e-09,0.3695
2.2569e-09,0.2912
2.2802e-09,0.2139
2.3034e-09,0.1445
2.3267e-09,0.0872
2.3500e-09,0.0434
2.3732e-09,0.0112
2.3965e-09,-0.0117
2.4198e-09,-0.0267
2.4430e-09,-0.0354
2.4663e-09,-0.0285
2.4896e-09,0.0096
2.5128e-09,0.1253
2.5361e-09,0.2600
2.5594e-09,0.3610
2.5826e-09,0.4337
2.6059e-09,0.4831
2.6292e-09,0.5040
2.6524e-09,0.5142
2.6757e-09,0.5203
2.6990e-09,0.5298
2.7222e-09,0.5486
2.7455e-09,0.5779
2.7688e-09,0.6142
2.7920e-09,0.6518
2.8153e-09,0.6853
2.8386e-09,0.7094
2.8618e-09,0.7075
2.8851e-09,0.6730
2.9084e-09,0.5524
2.9316e-09,0.3857
2.9549e-09,0.2429
2.9782e-09,0.1287
3.0014e-09,0.0659
3.0247e-09,0.0490
3.0480e-09,0.0650
3.0712e-09,0.1089
3.0945e-09,0.1696
3.1178e-09,0.2360
3.1410e-09,0.3008
3.1643e-09,0.3598
3.1876e-09,0.4097
3.2108e-09,0.4478
3.2341e-09,0.4748
3.2574e-09,0.4912
3.2806e-09,0.4996
3.3039e-09,0.5280
3.3272e-09,0.6546
3.3504e-09,0.8542
3.3737e-09,1.0144
3.3970e-09,1.1182
3.4202e-09,1.1691
3.4435e-09,1.1737
3.4668e-09,1.1467
3.4901e-09,1.0943
3.5133e-09,1.0276
3.5366e-09,0.9555
3.5599e-09,0.8825
3.5831e-09,0.8121
3.6064e-09,0.7474
3.6297e-09,0.6900
3.6529e-09,0.6403
3.6762e-09,0.5986
3.6995e-09,0.5466
3.7227e-09,0.4784
3.7460e-09,0.3400
3.7693e-09,0.1786
3.7925e-09,0.0577
3.8158e-09,-0.0264
3.8391e-09,-0.0588
3.8623e-09,-0.0484
3.8856e-09,-0.0025
3.9089e-09,0.0669
3.9321e-09,0.1458
3.9554e-09,0.2263
3.9787e-09,0.3044
4.0019e-09,0.3755
4.0252e-09,0.4375
4.0485e-09,0.4907
4.0717e-09,0.5356
4.0950e-09,0.5716
4.1183e-09,0.6038
4.1415e-09,0.6697
4.1648e-09,0.8495
4.1881e-09,1.0454
4.2113e-09,1.1828
4.2346e-09,1.2645
4.2579e-09,1.2847
4.2811e-09,1.2608
4.3044e-09,1.2071
4.3277e-09,1.1309
4.3509e-09,1.0453
4.3742e-09,0.9574
4.3975e-09,0.8724
4.4207e-09,0.7944
4.4440e-09,0.7254
4.4673e-09,0.6668
