.HEADER
..NAMES
Time,V U1.V6
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0339
4.188e-10,0.1307
4.421e-10,0.2775
4.653e-10,0.4165
4.886e-10,0.5037
5.119e-10,0.5675
5.351e-10,0.6059
5.584e-10,0.6246
5.817e-10,0.6348
6.049e-10,0.6414
6.282e-10,0.6475
6.515e-10,0.6530
6.747e-10,0.6582
6.980e-10,0.6624
7.213e-10,0.6658
7.445e-10,0.6668
7.678e-10,0.6651
7.911e-10,0.6615
8.143e-10,0.6575
8.376e-10,0.6537
8.609e-10,0.6498
8.841e-10,0.6477
9.074e-10,0.6533
9.307e-10,0.6718
9.539e-10,0.7071
9.772e-10,0.7607
1.0005e-09,0.8283
1.0237e-09,0.9025
1.0470e-09,0.9754
1.0703e-09,1.0401
1.0935e-09,1.0925
1.1168e-09,1.1323
1.1401e-09,1.1613
1.1633e-09,1.1821
1.1866e-09,1.1966
1.2099e-09,1.2068
1.2332e-09,1.2153
1.2564e-09,1.2238
1.2797e-09,1.2322
1.3030e-09,1.2397
1.3262e-09,1.2458
1.3495e-09,1.2507
1.3728e-09,1.2549
1.3960e-09,1.2582
1.4193e-09,1.2597
1.4426e-09,1.2571
1.4658e-09,1.2485
1.4891e-09,1.2330
1.5124e-09,1.2115
1.5356e-09,1.1872
1.5589e-09,1.1646
1.5822e-09,1.1478
1.6054e-09,1.1320
1.6287e-09,1.0900
1.6520e-09,0.9992
1.6752e-09,0.8346
1.6985e-09,0.7030
1.7218e-09,0.6217
1.7450e-09,0.5692
1.7683e-09,0.5379
1.7916e-09,0.5211
1.8148e-09,0.5114
1.8381e-09,0.5045
1.8614e-09,0.4992
1.8846e-09,0.4943
1.9079e-09,0.4901
1.9312e-09,0.4872
1.9544e-09,0.4860
1.9777e-09,0.4886
2.0010e-09,0.4966
2.0242e-09,0.5092
2.0475e-09,0.5401
2.0708e-09,0.6411
2.0940e-09,0.8581
2.1173e-09,1.0235
2.1406e-09,1.1294
2.1638e-09,1.1726
2.1871e-09,1.1540
2.2104e-09,1.1012
2.2336e-09,1.0255
2.2569e-09,0.9443
2.2802e-09,0.8671
2.3034e-09,0.8023
2.3267e-09,0.7521
2.3500e-09,0.7148
2.3732e-09,0.6869
2.3965e-09,0.6648
2.4198e-09,0.6452
2.4430e-09,0.6273
2.4663e-09,0.6111
2.4896e-09,0.5955
2.5128e-09,0.5787
2.5361e-09,0.5615
2.5594e-09,0.5532
2.5826e-09,0.5613
2.6059e-09,0.5921
2.6292e-09,0.6506
2.6524e-09,0.7320
2.6757e-09,0.8288
2.6990e-09,0.9313
2.7222e-09,1.0294
2.7455e-09,1.1162
2.7688e-09,1.1868
2.7920e-09,1.2393
2.8153e-09,1.2739
2.8386e-09,1.2918
2.8618e-09,1.2808
2.8851e-09,1.2327
2.9084e-09,1.1077
2.9316e-09,0.9412
2.9549e-09,0.8189
2.9782e-09,0.7404
3.0014e-09,0.6899
3.0247e-09,0.6595
3.0480e-09,0.6439
3.0712e-09,0.6328
3.0945e-09,0.6201
3.1178e-09,0.6011
3.1410e-09,0.5730
3.1643e-09,0.5373
3.1876e-09,0.4986
3.2108e-09,0.4616
3.2341e-09,0.4322
3.2574e-09,0.4133
3.2806e-09,0.4066
3.3039e-09,0.4349
3.3272e-09,0.5643
3.3504e-09,0.7751
3.3737e-09,0.9485
3.3970e-09,1.0544
3.4202e-09,1.1002
3.4435e-09,1.0937
3.4668e-09,1.0500
3.4901e-09,0.9846
3.5133e-09,0.9119
3.5366e-09,0.8420
3.5599e-09,0.7820
3.5831e-09,0.7339
3.6064e-09,0.6978
3.6297e-09,0.6728
3.6529e-09,0.6572
3.6762e-09,0.6486
3.6995e-09,0.6243
3.7227e-09,0.5741
3.7460e-09,0.4387
3.7693e-09,0.2721
3.7925e-09,0.1410
3.8158e-09,0.0473
3.8391e-09,0.0008
3.8623e-09,-0.0020
3.8856e-09,0.0375
3.9089e-09,0.1029
3.9321e-09,0.1827
3.9554e-09,0.2686
3.9787e-09,0.3516
4.0019e-09,0.4262
4.0252e-09,0.4880
4.0485e-09,0.5356
4.0717e-09,0.5702
4.0950e-09,0.5922
4.1183e-09,0.6048
4.1415e-09,0.6098
4.1648e-09,0.6100
4.1881e-09,0.6076
4.2113e-09,0.6003
4.2346e-09,0.5830
4.2579e-09,0.5533
4.2811e-09,0.5088
4.3044e-09,0.4501
4.3277e-09,0.3812
4.3509e-09,0.3058
4.3742e-09,0.2288
4.3975e-09,0.1544
4.4207e-09,0.0855
4.4440e-09,0.0246
4.4673e-09,-0.0265
4.4905e-09,-0.0660
