.HEADER
..NAMES
Time,V U1.F1
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0338
4.188e-10,0.1301
4.421e-10,0.2760
4.653e-10,0.4155
4.886e-10,0.5082
5.119e-10,0.5811
5.351e-10,0.6210
5.584e-10,0.6318
5.817e-10,0.6331
6.049e-10,0.6338
6.282e-10,0.6330
6.515e-10,0.6293
6.747e-10,0.6297
6.980e-10,0.6368
7.213e-10,0.6460
7.445e-10,0.6513
7.678e-10,0.6547
7.911e-10,0.6580
8.143e-10,0.6579
8.376e-10,0.6513
8.609e-10,0.6413
8.841e-10,0.6346
9.074e-10,0.6321
9.307e-10,0.6332
9.539e-10,0.6432
9.772e-10,0.6686
1.0005e-09,0.7105
1.0237e-09,0.7644
1.0470e-09,0.8273
1.0703e-09,0.8974
1.0935e-09,0.9691
1.1168e-09,1.0336
1.1401e-09,1.0866
1.1633e-09,1.1296
1.1866e-09,1.1640
1.2099e-09,1.1882
1.2332e-09,1.2022
1.2564e-09,1.2099
1.2797e-09,1.2151
1.3030e-09,1.2178
1.3262e-09,1.2178
1.3495e-09,1.2177
1.3728e-09,1.2204
1.3960e-09,1.2256
1.4193e-09,1.2313
1.4426e-09,1.2369
1.4658e-09,1.2428
1.4891e-09,1.2477
1.5124e-09,1.2485
1.5356e-09,1.2439
1.5589e-09,1.2346
1.5822e-09,1.2210
1.6054e-09,1.1971
1.6287e-09,1.1372
1.6520e-09,1.0262
1.6752e-09,0.8410
1.6985e-09,0.6898
1.7218e-09,0.5897
1.7450e-09,0.5216
1.7683e-09,0.4899
1.7916e-09,0.4880
1.8148e-09,0.4962
1.8381e-09,0.5036
1.8614e-09,0.5125
1.8846e-09,0.5228
1.9079e-09,0.5273
1.9312e-09,0.5228
1.9544e-09,0.5148
1.9777e-09,0.5094
2.0010e-09,0.5047
2.0242e-09,0.4993
2.0475e-09,0.4977
2.0708e-09,0.5038
2.0940e-09,0.5148
2.1173e-09,0.5249
2.1406e-09,0.5326
2.1638e-09,0.5376
2.1871e-09,0.5337
2.2104e-09,0.5132
2.2336e-09,0.4739
2.2569e-09,0.4203
2.2802e-09,0.3560
2.3034e-09,0.2830
2.3267e-09,0.2076
2.3500e-09,0.1397
2.3732e-09,0.0841
2.3965e-09,0.0396
2.4198e-09,0.0041
2.4430e-09,-0.0209
2.4663e-09,-0.0223
2.4896e-09,0.0145
2.5128e-09,0.1334
2.5361e-09,0.2746
2.5594e-09,0.3875
2.5826e-09,0.4760
2.6059e-09,0.5380
2.6292e-09,0.5604
2.6524e-09,0.5621
2.6757e-09,0.5575
2.6990e-09,0.5500
2.7222e-09,0.5387
2.7455e-09,0.5315
2.7688e-09,0.5371
2.7920e-09,0.5547
2.8153e-09,0.5787
2.8386e-09,0.6062
2.8618e-09,0.6380
2.8851e-09,0.6683
2.9084e-09,0.6886
2.9316e-09,0.6970
2.9549e-09,0.6988
2.9782e-09,0.6986
3.0014e-09,0.6953
3.0247e-09,0.6936
3.0480e-09,0.7021
3.0712e-09,0.7255
3.0945e-09,0.7618
3.1178e-09,0.8080
3.1410e-09,0.8645
3.1643e-09,0.9291
3.1876e-09,0.9941
3.2108e-09,1.0522
3.2341e-09,1.1025
3.2574e-09,1.1462
3.2806e-09,1.1805
3.3039e-09,1.2025
3.3272e-09,1.2135
3.3504e-09,1.2176
3.3737e-09,1.2163
3.3970e-09,1.2094
3.4202e-09,1.1998
3.4435e-09,1.1929
3.4668e-09,1.1916
3.4901e-09,1.1951
3.5133e-09,1.2022
3.5366e-09,1.2127
3.5599e-09,1.2250
3.5831e-09,1.2351
3.6064e-09,1.2398
3.6297e-09,1.2388
3.6529e-09,1.2327
3.6762e-09,1.2214
3.6995e-09,1.1807
3.7227e-09,1.1072
3.7460e-09,0.9476
3.7693e-09,0.7755
3.7925e-09,0.6468
3.8158e-09,0.5572
3.8391e-09,0.5024
3.8623e-09,0.4833
3.8856e-09,0.4864
3.9089e-09,0.4948
3.9321e-09,0.5048
3.9554e-09,0.5188
3.9787e-09,0.5313
4.0019e-09,0.5350
4.0252e-09,0.5305
4.0485e-09,0.5241
4.0717e-09,0.5185
4.0950e-09,0.5103
4.1183e-09,0.5068
4.1415e-09,0.5483
4.1648e-09,0.7092
4.1881e-09,0.9062
4.2113e-09,1.0552
4.2346e-09,1.1592
4.2579e-09,1.2180
4.2811e-09,1.2226
4.3044e-09,1.1865
4.3277e-09,1.1312
4.3509e-09,1.0680
4.3742e-09,0.9926
4.3975e-09,0.9100
4.4207e-09,0.8369
4.4440e-09,0.7810
4.4673e-09,0.7349
4.4905e-09,0.6913
