.HEADER
..NAMES
Time,V U1.G5
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0338
4.188e-10,0.1302
4.421e-10,0.2755
4.653e-10,0.4110
4.886e-10,0.4896
5.119e-10,0.5414
5.351e-10,0.5679
5.584e-10,0.5787
5.817e-10,0.5860
6.049e-10,0.5961
6.282e-10,0.6109
6.515e-10,0.6269
6.747e-10,0.6427
6.980e-10,0.6548
7.213e-10,0.6614
7.445e-10,0.6608
7.678e-10,0.6519
7.911e-10,0.6133
8.143e-10,0.5297
8.376e-10,0.3690
8.609e-10,0.2193
8.841e-10,0.1234
9.074e-10,0.0641
9.307e-10,0.0587
9.539e-10,0.0887
9.772e-10,0.1386
1.0005e-09,0.2000
1.0237e-09,0.2627
1.0470e-09,0.3219
1.0703e-09,0.3714
1.0935e-09,0.4088
1.1168e-09,0.4346
1.1401e-09,0.4522
1.1633e-09,0.4670
1.1866e-09,0.4833
1.2099e-09,0.5145
1.2332e-09,0.6054
1.2564e-09,0.8238
1.2797e-09,1.0101
1.3030e-09,1.1353
1.3262e-09,1.1856
1.3495e-09,1.1743
1.3728e-09,1.1255
1.3960e-09,1.0479
1.4193e-09,0.9591
1.4426e-09,0.8704
1.4658e-09,0.7897
1.4891e-09,0.7247
1.5124e-09,0.6782
1.5356e-09,0.6466
1.5589e-09,0.6245
1.5822e-09,0.6041
1.6054e-09,0.5737
1.6287e-09,0.5206
1.6520e-09,0.4039
1.6752e-09,0.2405
1.6985e-09,0.0936
1.7218e-09,-0.0040
1.7450e-09,-0.0421
1.7683e-09,-0.0307
1.7916e-09,0.0253
1.8148e-09,0.1077
1.8381e-09,0.2027
1.8614e-09,0.3001
1.8846e-09,0.3894
1.9079e-09,0.4626
1.9312e-09,0.5164
1.9544e-09,0.5524
1.9777e-09,0.5761
2.0010e-09,0.5935
2.0242e-09,0.6094
2.0475e-09,0.6422
2.0708e-09,0.7479
2.0940e-09,0.9677
2.1173e-09,1.1214
2.1406e-09,1.2126
2.1638e-09,1.2402
2.1871e-09,1.2088
2.2104e-09,1.1485
2.2336e-09,1.0643
2.2569e-09,0.9700
2.2802e-09,0.8740
2.3034e-09,0.7837
2.3267e-09,0.7085
2.3500e-09,0.6508
2.3732e-09,0.6080
2.3965e-09,0.5758
2.4198e-09,0.5480
2.4430e-09,0.5211
2.4663e-09,0.4959
2.4896e-09,0.4759
2.5128e-09,0.4644
2.5361e-09,0.4651
2.5594e-09,0.4824
2.5826e-09,0.5167
2.6059e-09,0.5715
2.6292e-09,0.6493
2.6524e-09,0.7475
2.6757e-09,0.8605
2.6990e-09,0.9767
2.7222e-09,1.0825
2.7455e-09,1.1680
2.7688e-09,1.2279
2.7920e-09,1.2643
2.8153e-09,1.2841
2.8386e-09,1.2942
2.8618e-09,1.2838
2.8851e-09,1.2417
2.9084e-09,1.1237
2.9316e-09,0.9638
2.9549e-09,0.8480
2.9782e-09,0.7783
3.0014e-09,0.7348
3.0247e-09,0.7036
3.0480e-09,0.6751
3.0712e-09,0.6400
3.0945e-09,0.5961
3.1178e-09,0.5471
3.1410e-09,0.4995
3.1643e-09,0.4582
3.1876e-09,0.4272
3.2108e-09,0.4070
3.2341e-09,0.3984
3.2574e-09,0.3997
3.2806e-09,0.4125
3.3039e-09,0.4583
3.3272e-09,0.6030
3.3504e-09,0.8193
3.3737e-09,0.9838
3.3970e-09,1.0684
3.4202e-09,1.0872
3.4435e-09,1.0567
3.4668e-09,0.9982
3.4901e-09,0.9280
3.5133e-09,0.8620
3.5366e-09,0.8081
3.5599e-09,0.7697
3.5831e-09,0.7485
3.6064e-09,0.7401
3.6297e-09,0.7375
3.6529e-09,0.7328
3.6762e-09,0.7196
3.6995e-09,0.6940
3.7227e-09,0.6586
3.7460e-09,0.6191
3.7693e-09,0.5829
3.7925e-09,0.5594
3.8158e-09,0.5576
3.8391e-09,0.5804
3.8623e-09,0.6310
3.8856e-09,0.7073
3.9089e-09,0.8025
3.9321e-09,0.9078
3.9554e-09,1.0110
3.9787e-09,1.1010
4.0019e-09,1.1696
4.0252e-09,1.2137
4.0485e-09,1.2357
4.0717e-09,1.2421
4.0950e-09,1.2406
4.1183e-09,1.2092
4.1415e-09,1.1559
4.1648e-09,1.0077
4.1881e-09,0.8713
4.2113e-09,0.7827
4.2346e-09,0.7392
4.2579e-09,0.7216
4.2811e-09,0.7094
4.3044e-09,0.6923
4.3277e-09,0.6629
4.3509e-09,0.6194
4.3742e-09,0.5678
4.3975e-09,0.5153
4.4207e-09,0.4689
4.4440e-09,0.4347
4.4673e-09,0.4155
4.4905e-09,0.4120
