.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
0.0e+00,0.5076
2.33e-11,0.5076
4.65e-11,0.5076
6.98e-11,0.5076
9.31e-11,0.5076
1.163e-10,0.5076
1.396e-10,0.5076
1.629e-10,0.5076
1.861e-10,0.5076
2.094e-10,0.5076
2.327e-10,0.5076
2.559e-10,0.5076
2.792e-10,0.5076
3.025e-10,0.5076
3.257e-10,0.5076
3.490e-10,0.5076
3.723e-10,0.5076
3.955e-10,0.5076
4.188e-10,0.5076
4.421e-10,0.5076
4.653e-10,0.5076
4.886e-10,0.5076
5.119e-10,0.5076
5.351e-10,0.5076
5.584e-10,0.5076
5.817e-10,0.5133
6.049e-10,0.5613
6.282e-10,0.7286
6.515e-10,0.8956
6.747e-10,1.0051
6.980e-10,1.0833
7.213e-10,1.1298
7.445e-10,1.1558
7.678e-10,1.1573
7.911e-10,1.1407
8.143e-10,1.1296
8.376e-10,1.1333
8.609e-10,1.1452
8.841e-10,1.1579
9.074e-10,1.1666
9.307e-10,1.1725
9.539e-10,1.1829
9.772e-10,1.1909
1.0005e-09,1.1559
1.0237e-09,1.0718
1.0470e-09,0.9005
1.0703e-09,0.7549
1.0935e-09,0.6577
1.1168e-09,0.5937
1.1401e-09,0.5450
1.1633e-09,0.5150
1.1866e-09,0.5137
1.2099e-09,0.5346
1.2332e-09,0.5525
1.2564e-09,0.5566
1.2797e-09,0.5499
1.3030e-09,0.5415
1.3262e-09,0.5386
1.3495e-09,0.5382
1.3728e-09,0.5304
1.3960e-09,0.5186
1.4193e-09,0.5246
1.4426e-09,0.6030
1.4658e-09,0.8004
1.4891e-09,0.9826
1.5124e-09,1.0885
1.5356e-09,1.1664
1.5589e-09,1.2212
1.5822e-09,1.2552
1.6054e-09,1.2540
1.6287e-09,1.2275
1.6520e-09,1.2031
1.6752e-09,1.1930
1.6985e-09,1.1939
1.7218e-09,1.1956
1.7450e-09,1.1906
1.7683e-09,1.1831
1.7916e-09,1.1851
1.8148e-09,1.1860
1.8381e-09,1.1460
1.8614e-09,1.0468
1.8846e-09,0.8720
1.9079e-09,0.7326
1.9312e-09,0.6477
1.9544e-09,0.5888
1.9777e-09,0.5449
2.0010e-09,0.5172
2.0242e-09,0.5169
2.0475e-09,0.5356
2.0708e-09,0.5505
2.0940e-09,0.5525
2.1173e-09,0.5441
2.1406e-09,0.5348
2.1638e-09,0.5328
2.1871e-09,0.5339
2.2104e-09,0.5280
2.2336e-09,0.5191
2.2569e-09,0.5330
2.2802e-09,0.6370
2.3034e-09,0.8393
2.3267e-09,1.0079
2.3500e-09,1.1073
2.3732e-09,1.1803
2.3965e-09,1.2292
2.4198e-09,1.2547
2.4430e-09,1.2479
2.4663e-09,1.2208
2.4896e-09,1.1994
2.5128e-09,1.1917
2.5361e-09,1.1936
2.5594e-09,1.1952
2.5826e-09,1.1904
2.6059e-09,1.1849
2.6292e-09,1.1886
2.6524e-09,1.1806
2.6757e-09,1.1335
2.6990e-09,1.0127
2.7222e-09,0.8414
2.7455e-09,0.7138
2.7688e-09,0.6333
2.7920e-09,0.5773
2.8153e-09,0.5362
2.8386e-09,0.5141
2.8618e-09,0.5195
2.8851e-09,0.5389
2.9084e-09,0.5513
2.9316e-09,0.5512
2.9549e-09,0.5424
2.9782e-09,0.5347
3.0014e-09,0.5338
3.0247e-09,0.5337
3.0480e-09,0.5260
3.0712e-09,0.5189
3.0945e-09,0.5394
3.1178e-09,0.6765
3.1410e-09,0.8851
3.1643e-09,1.0297
3.1876e-09,1.1291
3.2108e-09,1.1893
3.2341e-09,1.2369
3.2574e-09,1.2561
3.2806e-09,1.2429
3.3039e-09,1.2154
3.3272e-09,1.1969
3.3504e-09,1.1920
3.3737e-09,1.1945
3.3970e-09,1.1947
3.4202e-09,1.1887
3.4435e-09,1.1847
3.4668e-09,1.1901
3.4901e-09,1.1734
3.5133e-09,1.1174
3.5366e-09,0.9734
3.5599e-09,0.8102
3.5831e-09,0.6926
3.6064e-09,0.6217
3.6297e-09,0.5686
3.6529e-09,0.5296
3.6762e-09,0.5127
3.6995e-09,0.5232
3.7227e-09,0.5425
3.7460e-09,0.5523
3.7693e-09,0.5497
3.7925e-09,0.5404
3.8158e-09,0.5339
3.8391e-09,0.5341
3.8623e-09,0.5327
3.8856e-09,0.5240
3.9089e-09,0.5200
3.9321e-09,0.5574
3.9554e-09,0.7168
3.9787e-09,0.9167
4.0019e-09,1.0490
4.0252e-09,1.1420
4.0485e-09,1.2033
4.0717e-09,1.2430
4.0950e-09,1.2558
4.1183e-09,1.2373
4.1415e-09,1.2105
4.1648e-09,1.1948
4.1881e-09,1.1921
4.2113e-09,1.1950
4.2346e-09,1.1940
4.2579e-09,1.1872
4.2811e-09,1.1850
4.3044e-09,1.1915
4.3277e-09,1.1656
4.3509e-09,1.1047
4.3742e-09,0.9381
4.3975e-09,0.7802
4.4207e-09,0.6769
4.4440e-09,0.6098
4.4673e-09,0.5597
4.4905e-09,0.5245
4.5138e-09,0.5131
4.5371e-09,0.5272
4.5603e-09,0.5453
4.5836e-09,0.5526
4.6069e-09,0.5480
4.6301e-09,0.5386
4.6534e-09,0.5335
4.6767e-09,0.5344
4.6999e-09,0.5314
4.7232e-09,0.5220
4.7465e-09,0.5224
4.7697e-09,0.5752
4.7930e-09,0.7604
4.8163e-09,0.9480
4.8395e-09,1.0681
4.8628e-09,1.1545
4.8861e-09,1.2112
4.9093e-09,1.2479
4.9326e-09,1.2542
4.9559e-09,1.2316
4.9791e-09,1.2062
5.0024e-09,1.1933
5.0257e-09,1.1925
5.0489e-09,1.1953
5.0722e-09,1.1929
5.0955e-09,1.1859
5.1187e-09,1.1858
