.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.1989
5.817e-10,1.1647
6.049e-10,1.1018
6.282e-10,0.9504
6.515e-10,0.8166
6.747e-10,0.7265
6.980e-10,0.6696
7.213e-10,0.6276
7.445e-10,0.6008
7.678e-10,0.5918
7.911e-10,0.5971
8.143e-10,0.5986
8.376e-10,0.5888
8.609e-10,0.5717
8.841e-10,0.5545
9.074e-10,0.5420
9.307e-10,0.5338
9.539e-10,0.5244
9.772e-10,0.5152
1.0005e-09,0.5222
1.0237e-09,0.5921
1.0470e-09,0.7864
1.0703e-09,0.9647
1.0935e-09,1.0878
1.1168e-09,1.1702
1.1401e-09,1.2246
1.1633e-09,1.2578
1.1866e-09,1.2587
1.2099e-09,1.2331
1.2332e-09,1.2044
1.2564e-09,1.1892
1.2797e-09,1.1875
1.3030e-09,1.1902
1.3262e-09,1.1891
1.3495e-09,1.1852
1.3728e-09,1.1864
1.3960e-09,1.1889
1.4193e-09,1.1536
1.4426e-09,1.0681
1.4658e-09,0.8931
1.4891e-09,0.7473
1.5124e-09,0.6555
1.5356e-09,0.5927
1.5589e-09,0.5455
1.5822e-09,0.5151
1.6054e-09,0.5096
1.6287e-09,0.5244
1.6520e-09,0.5406
1.6752e-09,0.5469
1.6985e-09,0.5423
1.7218e-09,0.5343
1.7450e-09,0.5311
1.7683e-09,0.5317
1.7916e-09,0.5288
1.8148e-09,0.5230
1.8381e-09,0.5340
1.8614e-09,0.6240
1.8846e-09,0.8203
1.9079e-09,0.9959
1.9312e-09,1.1002
1.9544e-09,1.1770
1.9777e-09,1.2279
2.0010e-09,1.2558
2.0242e-09,1.2547
2.0475e-09,1.2309
2.0708e-09,1.2072
2.0940e-09,1.1957
2.1173e-09,1.1949
2.1406e-09,1.1962
2.1638e-09,1.1928
2.1871e-09,1.1871
2.2104e-09,1.1866
2.2336e-09,1.1790
2.2569e-09,1.1348
2.2802e-09,1.0276
2.3034e-09,0.8549
2.3267e-09,0.7207
2.3500e-09,0.6349
2.3732e-09,0.5759
2.3965e-09,0.5342
2.4198e-09,0.5109
2.4430e-09,0.5119
2.4663e-09,0.5293
2.4896e-09,0.5440
2.5128e-09,0.5477
2.5361e-09,0.5416
2.5594e-09,0.5340
2.5826e-09,0.5315
2.6059e-09,0.5314
2.6292e-09,0.5270
2.6524e-09,0.5213
2.6757e-09,0.5412
2.6990e-09,0.6577
2.7222e-09,0.8691
2.7455e-09,1.0190
2.7688e-09,1.1227
2.7920e-09,1.1891
2.8153e-09,1.2363
2.8386e-09,1.2588
2.8618e-09,1.2519
2.8851e-09,1.2260
2.9084e-09,1.2039
2.9316e-09,1.1949
2.9549e-09,1.1952
2.9782e-09,1.1957
3.0014e-09,1.1912
3.0247e-09,1.1862
3.0480e-09,1.1869
3.0712e-09,1.1718
3.0945e-09,1.1231
3.1178e-09,0.9915
3.1410e-09,0.8230
3.1643e-09,0.6983
3.1876e-09,0.6224
3.2108e-09,0.5670
3.2341e-09,0.5279
3.2574e-09,0.5091
3.2806e-09,0.5148
3.3039e-09,0.5329
3.3272e-09,0.5455
3.3504e-09,0.5471
3.3737e-09,0.5400
3.3970e-09,0.5332
3.4202e-09,0.5316
3.4435e-09,0.5311
3.4668e-09,0.5258
3.4901e-09,0.5226
3.5133e-09,0.5510
3.5366e-09,0.6950
3.5599e-09,0.9003
3.5831e-09,1.0403
3.6064e-09,1.1385
3.6297e-09,1.1983
3.6529e-09,1.2436
3.6762e-09,1.2598
3.6995e-09,1.2471
3.7227e-09,1.2207
3.7460e-09,1.2012
3.7693e-09,1.1946
3.7925e-09,1.1957
3.8158e-09,1.1953
3.8391e-09,1.1900
3.8623e-09,1.1859
3.8856e-09,1.1878
3.9089e-09,1.1643
3.9321e-09,1.1082
3.9554e-09,0.9535
3.9787e-09,0.7953
4.0019e-09,0.6818
4.0252e-09,0.6107
4.0485e-09,0.5585
4.0717e-09,0.5225
4.0950e-09,0.5085
4.1183e-09,0.5183
4.1415e-09,0.5363
4.1648e-09,0.5468
4.1881e-09,0.5461
4.2113e-09,0.5384
4.2346e-09,0.5325
4.2579e-09,0.5318
4.2811e-09,0.5305
4.3044e-09,0.5246
4.3277e-09,0.5247
4.3509e-09,0.5698
4.3742e-09,0.7406
4.3975e-09,0.9340
4.4207e-09,1.0598
4.4440e-09,1.1525
4.4673e-09,1.2116
4.4905e-09,1.2483
4.5138e-09,1.2594
4.5371e-09,1.2421
4.5603e-09,1.2159
4.5836e-09,1.1989
4.6069e-09,1.1945
4.6301e-09,1.1961
4.6534e-09,1.1947
4.6767e-09,1.1889
4.6999e-09,1.1859
4.7232e-09,1.1876
4.7465e-09,1.1560
4.7697e-09,1.0872
4.7930e-09,0.9195
4.8163e-09,0.7673
4.8395e-09,0.6656
4.8628e-09,0.5987
4.8861e-09,0.5501
4.9093e-09,0.5183
4.9326e-09,0.5088
4.9559e-09,0.5220
4.9791e-09,0.5391
5.0024e-09,0.5475
5.0257e-09,0.5449
5.0489e-09,0.5369
5.0722e-09,0.5321
5.0955e-09,0.5320
5.1187e-09,0.5296
5.1420e-09,0.5234
5.1653e-09,0.5277
5.1885e-09,0.5914
5.2118e-09,0.7821
5.2351e-09,0.9617
5.2583e-09,1.0839
5.2816e-09,1.1643
5.3049e-09,1.2195
5.3281e-09,1.2536
5.3514e-09,1.2581
5.3747e-09,1.2368
5.3979e-09,1.2114
5.4212e-09,1.1973
5.4445e-09,1.1947
5.4677e-09,1.1963
5.4910e-09,1.1938
5.5143e-09,1.1878
5.5375e-09,1.1861
5.5608e-09,1.1849
5.5841e-09,1.1476
5.6073e-09,1.0611
5.6306e-09,0.8857
5.6539e-09,0.7422
5.6771e-09,0.6508
5.7004e-09,0.5882
5.7237e-09,0.5429
5.7469e-09,0.5144
5.7702e-09,0.5103
5.7935e-09,0.5259
5.8168e-09,0.5419
5.8400e-09,0.5478
5.8633e-09,0.5434
5.8866e-09,0.5354
5.9098e-09,0.5319
5.9331e-09,0.5320
5.9564e-09,0.5285
5.9796e-09,0.5224
6.0029e-09,0.5334
