.HEADER
..NAMES
Time,V U1.H1
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1686
1.861e-10,1.1118
2.094e-10,0.9525
2.327e-10,0.7936
2.559e-10,0.6779
2.792e-10,0.5956
3.025e-10,0.5367
3.257e-10,0.5053
3.490e-10,0.4961
3.723e-10,0.4987
3.955e-10,0.5017
4.188e-10,0.5022
4.421e-10,0.5047
4.653e-10,0.5094
4.886e-10,0.5128
5.119e-10,0.5113
5.351e-10,0.5064
5.584e-10,0.5019
5.817e-10,0.5015
6.049e-10,0.5029
6.282e-10,0.5049
6.515e-10,0.5083
6.747e-10,0.5119
6.980e-10,0.5128
7.213e-10,0.5061
7.445e-10,0.4877
7.678e-10,0.4561
7.911e-10,0.4122
8.143e-10,0.3587
8.376e-10,0.2998
8.609e-10,0.2396
8.841e-10,0.1806
9.074e-10,0.1243
9.307e-10,0.0723
9.539e-10,0.0278
9.772e-10,-0.0069
1.0005e-09,-0.0322
1.0237e-09,-0.0502
1.0470e-09,-0.0623
1.0703e-09,-0.0676
1.0935e-09,-0.0661
1.1168e-09,-0.0611
1.1401e-09,-0.0576
1.1633e-09,-0.0583
1.1866e-09,-0.0623
1.2099e-09,-0.0678
1.2332e-09,-0.0740
1.2564e-09,-0.0809
1.2797e-09,-0.0867
1.3030e-09,-0.0880
1.3262e-09,-0.0829
1.3495e-09,-0.0726
1.3728e-09,-0.0598
1.3960e-09,-0.0459
1.4193e-09,-0.0302
1.4426e-09,-0.0124
1.4658e-09,0.0061
1.4891e-09,0.0226
1.5124e-09,0.0356
1.5356e-09,0.0453
1.5589e-09,0.0518
1.5822e-09,0.0543
1.6054e-09,0.0517
1.6287e-09,0.0445
1.6520e-09,0.0348
1.6752e-09,0.0251
1.6985e-09,0.0174
1.7218e-09,0.0125
1.7450e-09,0.0105
1.7683e-09,0.0112
1.7916e-09,0.0137
1.8148e-09,0.0170
1.8381e-09,0.0200
1.8614e-09,0.0220
1.8846e-09,0.0228
1.9079e-09,0.0220
1.9312e-09,0.0200
1.9544e-09,0.0167
1.9777e-09,0.0121
2.0010e-09,0.0058
2.0242e-09,-0.0019
