.HEADER
..NAMES
Time,V U1.T1
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0322
2.094e-10,0.1144
2.327e-10,0.2763
2.559e-10,0.4073
2.792e-10,0.5150
3.025e-10,0.5959
3.257e-10,0.6490
3.490e-10,0.6788
3.723e-10,0.6934
3.955e-10,0.6982
4.188e-10,0.6956
4.421e-10,0.6884
4.653e-10,0.6803
4.886e-10,0.6724
5.119e-10,0.6661
5.351e-10,0.6613
5.584e-10,0.6578
5.817e-10,0.6546
6.049e-10,0.6516
6.282e-10,0.6500
6.515e-10,0.6508
6.747e-10,0.6552
6.980e-10,0.6644
7.213e-10,0.6820
7.445e-10,0.7142
7.678e-10,0.7610
7.911e-10,0.8177
8.143e-10,0.8798
8.376e-10,0.9434
8.609e-10,1.0040
8.841e-10,1.0579
9.074e-10,1.1046
9.307e-10,1.1453
9.539e-10,1.1796
9.772e-10,1.2031
1.0005e-09,1.1846
1.0237e-09,1.1205
1.0470e-09,0.9620
1.0703e-09,0.8144
1.0935e-09,0.7062
1.1168e-09,0.6341
1.1401e-09,0.5884
1.1633e-09,0.5652
1.1866e-09,0.5571
1.2099e-09,0.5575
1.2332e-09,0.5617
1.2564e-09,0.5644
1.2797e-09,0.5615
1.3030e-09,0.5530
1.3262e-09,0.5396
1.3495e-09,0.5234
1.3728e-09,0.5076
1.3960e-09,0.4945
1.4193e-09,0.4852
1.4426e-09,0.4772
1.4658e-09,0.4693
1.4891e-09,0.4620
1.5124e-09,0.4542
1.5356e-09,0.4418
1.5589e-09,0.4186
1.5822e-09,0.3811
1.6054e-09,0.3322
1.6287e-09,0.2759
1.6520e-09,0.2157
1.6752e-09,0.1560
1.6985e-09,0.1009
1.7218e-09,0.0524
1.7450e-09,0.0112
1.7683e-09,-0.0219
1.7916e-09,-0.0454
1.8148e-09,-0.0588
1.8381e-09,-0.0540
1.8614e-09,-0.0194
1.8846e-09,0.0925
1.9079e-09,0.2444
1.9312e-09,0.3643
1.9544e-09,0.4540
1.9777e-09,0.5226
2.0010e-09,0.5628
2.0242e-09,0.5793
2.0475e-09,0.5851
2.0708e-09,0.5864
2.0940e-09,0.5870
2.1173e-09,0.5920
2.1406e-09,0.6027
2.1638e-09,0.6186
2.1871e-09,0.6382
2.2104e-09,0.6581
2.2336e-09,0.6761
2.2569e-09,0.6909
2.2802e-09,0.7019
2.3034e-09,0.7091
2.3267e-09,0.7126
2.3500e-09,0.7136
2.3732e-09,0.7144
2.3965e-09,0.7230
2.4198e-09,0.7468
2.4430e-09,0.7867
2.4663e-09,0.8388
2.4896e-09,0.8992
2.5128e-09,0.9634
2.5361e-09,1.0259
2.5594e-09,1.0822
2.5826e-09,1.1309
2.6059e-09,1.1714
2.6292e-09,1.2021
2.6524e-09,1.2218
2.6757e-09,1.2309
2.6990e-09,1.2317
2.7222e-09,1.2278
2.7455e-09,1.2231
2.7688e-09,1.2204
2.7920e-09,1.2211
2.8153e-09,1.2257
2.8386e-09,1.2343
2.8618e-09,1.2466
2.8851e-09,1.2603
2.9084e-09,1.2712
2.9316e-09,1.2754
2.9549e-09,1.2714
2.9782e-09,1.2595
3.0014e-09,1.2416
3.0247e-09,1.2204
3.0480e-09,1.1993
3.0712e-09,1.1806
3.0945e-09,1.1651
3.1178e-09,1.1530
3.1410e-09,1.1454
3.1643e-09,1.1435
3.1876e-09,1.1478
3.2108e-09,1.1577
3.2341e-09,1.1708
3.2574e-09,1.1842
3.2806e-09,1.1952
3.3039e-09,1.2019
3.3272e-09,1.2038
3.3504e-09,1.2011
3.3737e-09,1.1946
3.3970e-09,1.1860
3.4202e-09,1.1777
3.4435e-09,1.1718
3.4668e-09,1.1699
3.4901e-09,1.1495
3.5133e-09,1.1018
3.5366e-09,0.9734
3.5599e-09,0.8205
3.5831e-09,0.7024
3.6064e-09,0.6245
3.6297e-09,0.5697
3.6529e-09,0.5370
3.6762e-09,0.5194
3.6995e-09,0.5083
3.7227e-09,0.5010
3.7460e-09,0.4967
3.7693e-09,0.4933
3.7925e-09,0.4912
3.8158e-09,0.4909
3.8391e-09,0.4928
3.8623e-09,0.4976
3.8856e-09,0.5045
3.9089e-09,0.5134
3.9321e-09,0.5221
3.9554e-09,0.5277
3.9787e-09,0.5287
4.0019e-09,0.5234
4.0252e-09,0.5084
4.0485e-09,0.4788
4.0717e-09,0.4320
4.0950e-09,0.3721
4.1183e-09,0.3062
4.1415e-09,0.2391
4.1648e-09,0.1752
4.1881e-09,0.1189
4.2113e-09,0.0726
4.2346e-09,0.0354
4.2579e-09,0.0061
4.2811e-09,-0.0158
4.3044e-09,-0.0307
4.3277e-09,-0.0370
4.3509e-09,-0.0192
4.3742e-09,0.0457
4.3975e-09,0.1883
4.4207e-09,0.3076
4.4440e-09,0.3988
4.4673e-09,0.4681
