.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
0.0e+00,-0.6916
2.33e-11,-0.6916
4.65e-11,-0.6916
6.98e-11,-0.6916
9.31e-11,-0.6916
1.163e-10,-0.6916
1.396e-10,-0.6916
1.629e-10,-0.6916
1.861e-10,-0.6916
2.094e-10,-0.6916
2.327e-10,-0.6916
2.559e-10,-0.6916
2.792e-10,-0.6916
3.025e-10,-0.6916
3.257e-10,-0.6916
3.490e-10,-0.6916
3.723e-10,-0.6916
3.955e-10,-0.6916
4.188e-10,-0.6916
4.421e-10,-0.6916
4.653e-10,-0.6916
4.886e-10,-0.6916
5.119e-10,-0.6916
5.351e-10,-0.6916
5.584e-10,-0.6906
5.817e-10,-0.6505
6.049e-10,-0.5390
6.282e-10,-0.2180
6.515e-10,0.0868
6.747e-10,0.2903
6.980e-10,0.4250
7.213e-10,0.5005
7.445e-10,0.5251
7.678e-10,0.5264
7.911e-10,0.5383
8.143e-10,0.5625
8.376e-10,0.5887
8.609e-10,0.6140
8.841e-10,0.6434
9.074e-10,0.6735
9.307e-10,0.6925
9.539e-10,0.6932
9.772e-10,0.6767
1.0005e-09,0.6173
1.0237e-09,0.4691
1.0470e-09,0.1164
1.0703e-09,-0.2050
1.0935e-09,-0.4320
1.1168e-09,-0.5727
1.1401e-09,-0.6440
1.1633e-09,-0.6589
1.1866e-09,-0.6447
1.2099e-09,-0.6317
1.2332e-09,-0.6274
1.2564e-09,-0.6321
1.2797e-09,-0.6441
1.3030e-09,-0.6626
1.3262e-09,-0.6830
1.3495e-09,-0.6989
1.3728e-09,-0.7028
1.3960e-09,-0.6896
1.4193e-09,-0.6253
1.4426e-09,-0.4579
1.4658e-09,-0.0931
1.4891e-09,0.2359
1.5124e-09,0.4453
1.5356e-09,0.5859
1.5589e-09,0.6554
1.5822e-09,0.6657
1.6054e-09,0.6513
1.6287e-09,0.6416
1.6520e-09,0.6380
1.6752e-09,0.6384
1.6985e-09,0.6451
1.7218e-09,0.6622
1.7450e-09,0.6835
1.7683e-09,0.6976
1.7916e-09,0.6978
1.8148e-09,0.6805
1.8381e-09,0.6134
1.8614e-09,0.4255
1.8846e-09,0.0611
1.9079e-09,-0.2570
1.9312e-09,-0.4567
1.9544e-09,-0.5895
1.9777e-09,-0.6538
2.0010e-09,-0.6638
2.0242e-09,-0.6517
2.0475e-09,-0.6409
2.0708e-09,-0.6374
2.0940e-09,-0.6409
2.1173e-09,-0.6506
2.1406e-09,-0.6662
2.1638e-09,-0.6835
2.1871e-09,-0.6954
2.2104e-09,-0.6956
2.2336e-09,-0.6738
2.2569e-09,-0.5994
2.2802e-09,-0.3899
2.3034e-09,-0.0239
2.3267e-09,0.2802
2.3500e-09,0.4756
2.3732e-09,0.6044
2.3965e-09,0.6607
2.4198e-09,0.6620
2.4430e-09,0.6484
2.4663e-09,0.6406
2.4896e-09,0.6389
2.5128e-09,0.6407
2.5361e-09,0.6496
2.5594e-09,0.6678
2.5826e-09,0.6878
2.6059e-09,0.6988
2.6292e-09,0.6959
2.6524e-09,0.6698
2.6757e-09,0.5906
2.6990e-09,0.3572
2.7222e-09,-0.0192
2.7455e-09,-0.3014
2.7688e-09,-0.4937
2.7920e-09,-0.6072
2.8153e-09,-0.6593
2.8386e-09,-0.6613
2.8618e-09,-0.6487
2.8851e-09,-0.6396
2.9084e-09,-0.6377
2.9316e-09,-0.6423
2.9549e-09,-0.6535
