.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
0.0e+00,0.5083
2.33e-11,0.5083
4.65e-11,0.5083
6.98e-11,0.5083
9.31e-11,0.5083
1.163e-10,0.5083
1.396e-10,0.5083
1.629e-10,0.5083
1.861e-10,0.5083
2.094e-10,0.5083
2.327e-10,0.5083
2.559e-10,0.5083
2.792e-10,0.5083
3.025e-10,0.5083
3.257e-10,0.5083
3.490e-10,0.5083
3.723e-10,0.5083
3.955e-10,0.5083
4.188e-10,0.5083
4.421e-10,0.5083
4.653e-10,0.5083
4.886e-10,0.5083
5.119e-10,0.5083
5.351e-10,0.5083
5.584e-10,0.5083
5.817e-10,0.5141
6.049e-10,0.5627
6.282e-10,0.7315
6.515e-10,0.9011
6.747e-10,1.0131
6.980e-10,1.0911
7.213e-10,1.1301
7.445e-10,1.1392
7.678e-10,1.1355
7.911e-10,1.1379
8.143e-10,1.1461
8.376e-10,1.1549
8.609e-10,1.1644
8.841e-10,1.1784
9.074e-10,1.1937
9.307e-10,1.2025
9.539e-10,1.2021
9.772e-10,1.1924
1.0005e-09,1.1490
1.0237e-09,1.0688
1.0470e-09,0.9047
1.0703e-09,0.7606
1.0935e-09,0.6610
1.1168e-09,0.6021
1.1401e-09,0.5720
1.1633e-09,0.5666
1.1866e-09,0.5690
1.2099e-09,0.5696
1.2332e-09,0.5672
1.2564e-09,0.5597
1.2797e-09,0.5474
1.3030e-09,0.5321
1.3262e-09,0.5189
1.3495e-09,0.5105
1.3728e-09,0.5080
1.3960e-09,0.5107
1.4193e-09,0.5269
1.4426e-09,0.6061
1.4658e-09,0.8006
1.4891e-09,0.9842
1.5124e-09,1.0960
1.5356e-09,1.1731
1.5589e-09,1.2094
1.5822e-09,1.2130
1.6054e-09,1.2022
1.6287e-09,1.1934
1.6520e-09,1.1876
1.6752e-09,1.1841
1.6985e-09,1.1846
1.7218e-09,1.1916
1.7450e-09,1.2010
1.7683e-09,1.2071
1.7916e-09,1.2073
1.8148e-09,1.1951
1.8381e-09,1.1466
1.8614e-09,1.0499
1.8846e-09,0.8809
1.9079e-09,0.7413
1.9312e-09,0.6509
1.9544e-09,0.5939
1.9777e-09,0.5674
2.0010e-09,0.5635
2.0242e-09,0.5650
2.0475e-09,0.5646
2.0708e-09,0.5615
2.0940e-09,0.5543
2.1173e-09,0.5431
2.1406e-09,0.5290
2.1638e-09,0.5172
2.1871e-09,0.5104
2.2104e-09,0.5095
2.2336e-09,0.5131
2.2569e-09,0.5349
2.2802e-09,0.6382
2.3034e-09,0.8373
2.3267e-09,1.0073
2.3500e-09,1.1117
2.3732e-09,1.1824
2.3965e-09,1.2117
2.4198e-09,1.2104
2.4430e-09,1.2005
2.4663e-09,1.1927
2.4896e-09,1.1876
2.5128e-09,1.1849
2.5361e-09,1.1869
2.5594e-09,1.1945
2.5826e-09,1.2029
2.6059e-09,1.2074
2.6292e-09,1.2061
2.6524e-09,1.1858
2.6757e-09,1.1328
2.6990e-09,1.0157
2.7222e-09,0.8498
2.7455e-09,0.7213
2.7688e-09,0.6371
2.7920e-09,0.5867
2.8153e-09,0.5656
2.8386e-09,0.5645
2.8618e-09,0.5655
2.8851e-09,0.5646
2.9084e-09,0.5605
2.9316e-09,0.5525
2.9549e-09,0.5402
2.9782e-09,0.5262
3.0014e-09,0.5151
3.0247e-09,0.5095
3.0480e-09,0.5097
3.0712e-09,0.5149
3.0945e-09,0.5412
3.1178e-09,0.6768
3.1410e-09,0.8832
3.1643e-09,1.0308
3.1876e-09,1.1346
3.2108e-09,1.1893
3.2341e-09,1.2135
3.2574e-09,1.2086
3.2806e-09,1.1987
3.3039e-09,1.1914
3.3272e-09,1.1866
3.3504e-09,1.1846
3.3737e-09,1.1879
3.3970e-09,1.1962
3.4202e-09,1.2041
3.4435e-09,1.2076
3.4668e-09,1.2051
3.4901e-09,1.1766
3.5133e-09,1.1170
3.5366e-09,0.9782
3.5599e-09,0.8194
3.5831e-09,0.6992
3.6064e-09,0.6254
3.6297e-09,0.5808
3.6529e-09,0.5643
3.6762e-09,0.5647
3.6995e-09,0.5653
3.7227e-09,0.5640
3.7460e-09,0.5591
3.7693e-09,0.5504
3.7925e-09,0.5374
3.8158e-09,0.5236
3.8391e-09,0.5134
3.8623e-09,0.5091
3.8856e-09,0.5103
3.9089e-09,0.5180
3.9321e-09,0.5594
3.9554e-09,0.7164
3.9787e-09,0.9148
4.0019e-09,1.0512
4.0252e-09,1.1476
4.0485e-09,1.2001
4.0717e-09,1.2138
4.0950e-09,1.2063
4.1183e-09,1.1968
4.1415e-09,1.1902
4.1648e-09,1.1859
4.1881e-09,1.1847
4.2113e-09,1.1892
4.2346e-09,1.1979
4.2579e-09,1.2052
4.2811e-09,1.2075
4.3044e-09,1.2040
4.3277e-09,1.1671
4.3509e-09,1.1048
4.3742e-09,0.9441
4.3975e-09,0.7893
4.4207e-09,0.6826
4.4440e-09,0.6139
4.4673e-09,0.5753
4.4905e-09,0.5642
4.5138e-09,0.5653
4.5371e-09,0.5653
4.5603e-09,0.5631
4.5836e-09,0.5576
4.6069e-09,0.5480
4.6301e-09,0.5346
4.6534e-09,0.5212
4.6767e-09,0.5120
4.6999e-09,0.5089
4.7232e-09,0.5111
4.7465e-09,0.5219
4.7697e-09,0.5770
4.7930e-09,0.7594
4.8163e-09,0.9466
4.8395e-09,1.0713
4.8628e-09,1.1596
4.8861e-09,1.2040
4.9093e-09,1.2130
4.9326e-09,1.2042
4.9559e-09,1.1953
4.9791e-09,1.1892
5.0024e-09,1.1854
5.0257e-09,1.1850
5.0489e-09,1.1908
5.0722e-09,1.1996
5.0955e-09,1.2061
5.1187e-09,1.2072
5.1420e-09,1.1997
5.1653e-09,1.1570
5.1885e-09,1.0765
5.2118e-09,0.9113
5.2351e-09,0.7665
5.2583e-09,0.6664
5.2816e-09,0.6041
5.3049e-09,0.5716
5.3281e-09,0.5643
5.3514e-09,0.5654
5.3747e-09,0.5650
5.3979e-09,0.5623
5.4212e-09,0.5560
5.4445e-09,0.5456
5.4677e-09,0.5317
5.4910e-09,0.5189
5.5143e-09,0.5109
5.5375e-09,0.5090
5.5608e-09,0.5119
5.5841e-09,0.5273
5.6073e-09,0.6047
5.6306e-09,0.7990
5.6539e-09,0.9813
5.6771e-09,1.0946
5.7004e-09,1.1699
5.7237e-09,1.2078
5.7469e-09,1.2121
5.7702e-09,1.2021
5.7935e-09,1.1939
5.8168e-09,1.1882
5.8400e-09,1.1850
5.8633e-09,1.1857
5.8866e-09,1.1925
5.9098e-09,1.2013
5.9331e-09,1.2067
5.9564e-09,1.2066
5.9796e-09,1.1942
6.0029e-09,1.1459
6.0262e-09,1.0489
6.0494e-09,0.8789
6.0727e-09,0.7411
6.0960e-09,0.6520
6.1192e-09,0.5951
6.1425e-09,0.5684
6.1658e-09,0.5646
6.1890e-09,0.5657
6.2123e-09,0.5648
6.2356e-09,0.5614
6.2588e-09,0.5542
6.2821e-09,0.5429
6.3054e-09,0.5287
6.3286e-09,0.5168
6.3519e-09,0.5101
6.3752e-09,0.5092
6.3984e-09,0.5129
6.4217e-09,0.5345
