.HEADER
..NAMES
Time,V U2.T2
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1995
3.490e-10,1.1915
3.723e-10,1.1600
3.955e-10,1.0831
4.188e-10,0.9514
4.421e-10,0.8061
4.653e-10,0.6806
4.886e-10,0.5658
5.119e-10,0.4338
5.351e-10,0.2900
5.584e-10,0.1591
5.817e-10,0.0515
6.049e-10,-0.0256
6.282e-10,-0.0723
6.515e-10,-0.0975
6.747e-10,-0.1122
6.980e-10,-0.1262
7.213e-10,-0.1430
7.445e-10,-0.1642
7.678e-10,-0.1852
7.911e-10,-0.1962
8.143e-10,-0.1921
8.376e-10,-0.1784
8.609e-10,-0.1640
8.841e-10,-0.1481
9.074e-10,-0.1177
9.307e-10,-0.0651
9.539e-10,-0.0022
9.772e-10,0.0513
1.0005e-09,0.0875
1.0237e-09,0.1105
1.0470e-09,0.1257
1.0703e-09,0.1354
1.0935e-09,0.1402
1.1168e-09,0.1384
1.1401e-09,0.1284
1.1633e-09,0.1118
1.1866e-09,0.0923
1.2099e-09,0.0741
1.2332e-09,0.0616
1.2564e-09,0.0585
1.2797e-09,0.0631
1.3030e-09,0.0666
1.3262e-09,0.0602
1.3495e-09,0.0430
1.3728e-09,0.0224
1.3960e-09,0.0046
1.4193e-09,-0.0109
1.4426e-09,-0.0280
1.4658e-09,-0.0470
1.4891e-09,-0.0633
1.5124e-09,-0.0721
1.5356e-09,-0.0716
1.5589e-09,-0.0634
1.5822e-09,-0.0511
1.6054e-09,-0.0386
1.6287e-09,-0.0280
1.6520e-09,-0.0202
1.6752e-09,-0.0147
1.6985e-09,-0.0101
1.7218e-09,-0.0050
1.7450e-09,0.0003
1.7683e-09,0.0027
1.7916e-09,0.0004
1.8148e-09,-0.0042
1.8381e-09,-0.0058
1.8614e-09,-0.0007
1.8846e-09,0.0094
1.9079e-09,0.0201
1.9312e-09,0.0276
1.9544e-09,0.0313
1.9777e-09,0.0319
2.0010e-09,0.0305
