.HEADER
..NAMES
Time,V U2.T8
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1984
3.723e-10,1.1848
3.955e-10,1.1433
4.188e-10,1.0541
4.421e-10,0.9279
4.653e-10,0.8070
4.886e-10,0.6967
5.119e-10,0.5593
5.351e-10,0.3881
5.584e-10,0.2281
5.817e-10,0.1066
6.049e-10,0.0143
6.282e-10,-0.0568
6.515e-10,-0.1079
6.747e-10,-0.1383
6.980e-10,-0.1519
7.213e-10,-0.1568
7.445e-10,-0.1612
7.678e-10,-0.1644
7.911e-10,-0.1613
8.143e-10,-0.1583
8.376e-10,-0.1641
8.609e-10,-0.1774
8.841e-10,-0.1911
9.074e-10,-0.1993
9.307e-10,-0.1961
9.539e-10,-0.1758
9.772e-10,-0.1437
1.0005e-09,-0.1124
1.0237e-09,-0.0827
1.0470e-09,-0.0415
1.0703e-09,0.0146
1.0935e-09,0.0697
1.1168e-09,0.1083
1.1401e-09,0.1294
1.1633e-09,0.1387
1.1866e-09,0.1386
1.2099e-09,0.1306
1.2332e-09,0.1265
1.2564e-09,0.1522
1.2797e-09,0.2301
1.3030e-09,0.3232
1.3262e-09,0.4035
1.3495e-09,0.4987
1.3728e-09,0.6423
1.3960e-09,0.8057
1.4193e-09,0.9458
1.4426e-09,1.0589
1.4658e-09,1.1470
1.4891e-09,1.2097
1.5124e-09,1.2484
1.5356e-09,1.2674
1.5589e-09,1.2724
1.5822e-09,1.2671
1.6054e-09,1.2549
1.6287e-09,1.2355
1.6520e-09,1.2184
1.6752e-09,1.2152
1.6985e-09,1.2265
1.7218e-09,1.2464
1.7450e-09,1.2712
1.7683e-09,1.2958
1.7916e-09,1.3082
1.8148e-09,1.3031
1.8381e-09,1.2911
1.8614e-09,1.2806
1.8846e-09,1.2610
1.9079e-09,1.2189
1.9312e-09,1.1625
1.9544e-09,1.1126
1.9777e-09,1.0791
2.0010e-09,1.0605
2.0242e-09,1.0540
