.HEADER
..NAMES
Time,V U2.L2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0031
3.723e-10,0.0096
3.955e-10,0.0373
4.188e-10,0.1135
4.421e-10,0.2334
4.653e-10,0.3524
4.886e-10,0.4723
5.119e-10,0.6153
5.351e-10,0.7738
5.584e-10,0.9200
5.817e-10,1.0466
6.049e-10,1.1403
6.282e-10,1.2005
6.515e-10,1.2349
6.747e-10,1.2563
6.980e-10,1.2701
7.213e-10,1.2753
7.445e-10,1.2772
7.678e-10,1.2840
7.911e-10,1.2918
8.143e-10,1.2959
8.376e-10,1.2989
8.609e-10,1.3052
8.841e-10,1.3129
9.074e-10,1.3092
9.307e-10,1.2830
9.539e-10,1.2434
9.772e-10,1.2050
1.0005e-09,1.1695
1.0237e-09,1.1343
1.0470e-09,1.0992
1.0703e-09,1.0666
1.0935e-09,1.0433
1.1168e-09,1.0381
1.1401e-09,1.0518
1.1633e-09,1.0760
1.1866e-09,1.0940
1.2099e-09,1.0878
1.2332e-09,1.0370
1.2564e-09,0.9301
1.2797e-09,0.8053
1.3030e-09,0.6813
1.3262e-09,0.5410
1.3495e-09,0.3762
1.3728e-09,0.2168
1.3960e-09,0.0801
1.4193e-09,-0.0158
1.4426e-09,-0.0668
1.4658e-09,-0.0840
1.4891e-09,-0.0871
1.5124e-09,-0.0882
1.5356e-09,-0.0881
1.5589e-09,-0.0853
1.5822e-09,-0.0860
1.6054e-09,-0.0928
1.6287e-09,-0.1042
1.6520e-09,-0.1216
1.6752e-09,-0.1449
1.6985e-09,-0.1680
1.7218e-09,-0.1783
1.7450e-09,-0.1626
1.7683e-09,-0.1232
1.7916e-09,-0.0768
1.8148e-09,-0.0315
1.8381e-09,0.0149
1.8614e-09,0.0636
1.8846e-09,0.1113
1.9079e-09,0.1494
1.9312e-09,0.1655
1.9544e-09,0.1550
1.9777e-09,0.1257
2.0010e-09,0.0915
2.0242e-09,0.0615
2.0475e-09,0.0378
2.0708e-09,0.0216
2.0940e-09,0.0145
2.1173e-09,0.0147
2.1406e-09,0.0197
2.1638e-09,0.0292
2.1871e-09,0.0422
2.2104e-09,0.0551
2.2336e-09,0.0604
2.2569e-09,0.0521
2.2802e-09,0.0321
2.3034e-09,0.0077
2.3267e-09,-0.0143
2.3500e-09,-0.0316
2.3732e-09,-0.0463
2.3965e-09,-0.0604
2.4198e-09,-0.0711
2.4430e-09,-0.0720
2.4663e-09,-0.0600
2.4896e-09,-0.0384
2.5128e-09,-0.0147
2.5361e-09,0.0058
2.5594e-09,0.0201
2.5826e-09,0.0270
2.6059e-09,0.0273
2.6292e-09,0.0225
2.6524e-09,0.0145
2.6757e-09,0.0042
2.6990e-09,-0.0072
2.7222e-09,-0.0174
2.7455e-09,-0.0224
2.7688e-09,-0.0191
2.7920e-09,-0.0081
2.8153e-09,0.0065
2.8386e-09,0.0192
2.8618e-09,0.0295
2.8851e-09,0.0490
2.9084e-09,0.1011
2.9316e-09,0.2049
2.9549e-09,0.3217
2.9782e-09,0.4289
3.0014e-09,0.5464
3.0247e-09,0.6872
3.0480e-09,0.8296
3.0712e-09,0.9604
3.0945e-09,1.0704
3.1178e-09,1.1497
3.1410e-09,1.2024
3.1643e-09,1.2372
3.1876e-09,1.2636
3.2108e-09,1.2810
3.2341e-09,1.2901
3.2574e-09,1.2974
3.2806e-09,1.3034
3.3039e-09,1.3017
3.3272e-09,1.2948
3.3504e-09,1.2906
3.3737e-09,1.2937
3.3970e-09,1.2961
3.4202e-09,1.2823
3.4435e-09,1.2503
3.4668e-09,1.2155
3.4901e-09,1.1854
3.5133e-09,1.1574
3.5366e-09,1.1285
3.5599e-09,1.0984
3.5831e-09,1.0702
3.6064e-09,1.0534
3.6297e-09,1.0541
3.6529e-09,1.0692
3.6762e-09,1.0904
3.6995e-09,1.1124
3.7227e-09,1.1345
3.7460e-09,1.1532
3.7693e-09,1.1650
3.7925e-09,1.1720
3.8158e-09,1.1785
3.8391e-09,1.1848
3.8623e-09,1.1878
3.8856e-09,1.1859
3.9089e-09,1.1838
3.9321e-09,1.1884
3.9554e-09,1.2008
3.9787e-09,1.2163
4.0019e-09,1.2293
4.0252e-09,1.2371
4.0485e-09,1.2419
4.0717e-09,1.2477
4.0950e-09,1.2539
4.1183e-09,1.2559
4.1415e-09,1.2503
4.1648e-09,1.2383
4.1881e-09,1.2238
4.2113e-09,1.2093
4.2346e-09,1.1965
4.2579e-09,1.1880
4.2811e-09,1.1847
4.3044e-09,1.1853
4.3277e-09,1.1875
4.3509e-09,1.1903
4.3742e-09,1.1944
4.3975e-09,1.2000
4.4207e-09,1.2052
