.HEADER
..NAMES
Time,V U2.L8
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1997
3.490e-10,1.1942
3.723e-10,1.1687
3.955e-10,1.1044
4.188e-10,0.9848
4.421e-10,0.8429
4.653e-10,0.7079
4.886e-10,0.5775
5.119e-10,0.4314
5.351e-10,0.2841
5.584e-10,0.1514
5.817e-10,0.0438
6.049e-10,-0.0336
6.282e-10,-0.0810
6.515e-10,-0.1072
6.747e-10,-0.1229
6.980e-10,-0.1353
7.213e-10,-0.1486
7.445e-10,-0.1659
7.678e-10,-0.1850
7.911e-10,-0.1980
8.143e-10,-0.1986
8.376e-10,-0.1904
8.609e-10,-0.1820
8.841e-10,-0.1741
9.074e-10,-0.1550
9.307e-10,-0.1138
9.539e-10,-0.0571
9.772e-10,0.0000
1.0005e-09,0.0483
1.0237e-09,0.0857
1.0470e-09,0.1122
1.0703e-09,0.1293
1.0935e-09,0.1379
1.1168e-09,0.1373
1.1401e-09,0.1275
1.1633e-09,0.1113
1.1866e-09,0.0933
1.2099e-09,0.0825
1.2332e-09,0.0960
1.2564e-09,0.1648
1.2797e-09,0.2824
1.3030e-09,0.4066
1.3262e-09,0.5206
1.3495e-09,0.6385
1.3728e-09,0.7609
1.3960e-09,0.8772
1.4193e-09,0.9813
1.4426e-09,1.0623
1.4658e-09,1.1135
1.4891e-09,1.1398
1.5124e-09,1.1531
1.5356e-09,1.1655
1.5589e-09,1.1832
1.5822e-09,1.2095
1.6054e-09,1.2437
1.6287e-09,1.2787
1.6520e-09,1.3039
1.6752e-09,1.3144
1.6985e-09,1.3168
1.7218e-09,1.3192
1.7450e-09,1.3175
1.7683e-09,1.2972
1.7916e-09,1.2546
1.8148e-09,1.2016
1.8381e-09,1.1517
1.8614e-09,1.1135
1.8846e-09,1.0906
1.9079e-09,1.0808
1.9312e-09,1.0790
1.9544e-09,1.0829
1.9777e-09,1.0929
2.0010e-09,1.1083
2.0242e-09,1.1261
