.HEADER
..NAMES
Time,V U2.P7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0028
3.723e-10,0.0064
3.955e-10,0.0259
4.188e-10,0.0862
4.421e-10,0.1998
4.653e-10,0.3197
4.886e-10,0.4243
5.119e-10,0.5428
5.351e-10,0.6857
5.584e-10,0.8262
5.817e-10,0.9570
6.049e-10,1.0734
6.282e-10,1.1570
6.515e-10,1.2087
6.747e-10,1.2421
6.980e-10,1.2664
7.213e-10,1.2802
7.445e-10,1.2871
7.678e-10,1.2958
7.911e-10,1.3089
8.143e-10,1.3205
8.376e-10,1.3254
8.609e-10,1.3301
8.841e-10,1.3417
9.074e-10,1.3575
9.307e-10,1.3620
9.539e-10,1.3425
9.772e-10,1.3050
1.0005e-09,1.2646
1.0237e-09,1.2259
1.0470e-09,1.1880
1.0703e-09,1.1527
1.0935e-09,1.1179
1.1168e-09,1.0850
1.1401e-09,1.0646
1.1633e-09,1.0634
1.1866e-09,1.0709
1.2099e-09,1.0644
1.2332e-09,1.0255
1.2564e-09,0.9350
1.2797e-09,0.8206
1.3030e-09,0.7124
1.3262e-09,0.5975
1.3495e-09,0.4550
1.3728e-09,0.3060
1.3960e-09,0.1691
1.4193e-09,0.0458
1.4426e-09,-0.0493
1.4658e-09,-0.1063
1.4891e-09,-0.1319
1.5124e-09,-0.1393
1.5356e-09,-0.1344
1.5589e-09,-0.1241
1.5822e-09,-0.1190
1.6054e-09,-0.1213
1.6287e-09,-0.1249
1.6520e-09,-0.1256
1.6752e-09,-0.1317
1.6985e-09,-0.1507
1.7218e-09,-0.1783
1.7450e-09,-0.1991
1.7683e-09,-0.1969
1.7916e-09,-0.1697
1.8148e-09,-0.1299
1.8381e-09,-0.0865
1.8614e-09,-0.0399
1.8846e-09,0.0077
1.9079e-09,0.0537
1.9312e-09,0.0968
1.9544e-09,0.1299
1.9777e-09,0.1446
2.0010e-09,0.1409
2.0242e-09,0.1241
2.0475e-09,0.0979
2.0708e-09,0.0672
2.0940e-09,0.0414
2.1173e-09,0.0273
2.1406e-09,0.0234
2.1638e-09,0.0233
2.1871e-09,0.0244
2.2104e-09,0.0295
2.2336e-09,0.0414
2.2569e-09,0.0580
2.2802e-09,0.0717
2.3034e-09,0.0742
2.3267e-09,0.0625
2.3500e-09,0.0408
2.3732e-09,0.0153
2.3965e-09,-0.0090
2.4198e-09,-0.0303
2.4430e-09,-0.0489
2.4663e-09,-0.0634
2.4896e-09,-0.0704
2.5128e-09,-0.0685
2.5361e-09,-0.0588
2.5594e-09,-0.0424
2.5826e-09,-0.0210
2.6059e-09,0.0006
2.6292e-09,0.0164
2.6524e-09,0.0230
2.6757e-09,0.0215
2.6990e-09,0.0158
2.7222e-09,0.0089
2.7455e-09,0.0014
2.7688e-09,-0.0078
2.7920e-09,-0.0186
2.8153e-09,-0.0277
2.8386e-09,-0.0304
2.8618e-09,-0.0243
2.8851e-09,-0.0116
2.9084e-09,0.0037
2.9316e-09,0.0179
2.9549e-09,0.0291
2.9782e-09,0.0368
3.0014e-09,0.0401
3.0247e-09,0.0389
3.0480e-09,0.0339
3.0712e-09,0.0255
3.0945e-09,0.0142
3.1178e-09,0.0011
3.1410e-09,-0.0111
3.1643e-09,-0.0191
3.1876e-09,-0.0211
3.2108e-09,-0.0171
3.2341e-09,-0.0099
3.2574e-09,-0.0022
3.2806e-09,0.0045
3.3039e-09,0.0107
3.3272e-09,0.0167
3.3504e-09,0.0210
3.3737e-09,0.0216
3.3970e-09,0.0174
3.4202e-09,0.0093
3.4435e-09,-0.0004
3.4668e-09,-0.0093
3.4901e-09,-0.0156
3.5133e-09,-0.0186
3.5366e-09,-0.0182
3.5599e-09,-0.0150
3.5831e-09,-0.0100
3.6064e-09,-0.0039
3.6297e-09,0.0029
3.6529e-09,0.0099
3.6762e-09,0.0161
3.6995e-09,0.0219
3.7227e-09,0.0359
3.7460e-09,0.0799
3.7693e-09,0.1774
3.7925e-09,0.2943
3.8158e-09,0.3973
3.8391e-09,0.5068
3.8623e-09,0.6431
3.8856e-09,0.7851
3.9089e-09,0.9192
3.9321e-09,1.0441
3.9554e-09,1.1413
3.9787e-09,1.2054
4.0019e-09,1.2465
4.0252e-09,1.2753
4.0485e-09,1.2917
4.0717e-09,1.2973
4.0950e-09,1.3012
4.1183e-09,1.3087
4.1415e-09,1.3171
4.1648e-09,1.3196
4.1881e-09,1.3203
4.2113e-09,1.3276
4.2346e-09,1.3426
4.2579e-09,1.3528
4.2811e-09,1.3429
4.3044e-09,1.3131
4.3277e-09,1.2767
4.3509e-09,1.2406
4.3742e-09,1.2040
4.3975e-09,1.1684
