.HEADER
..NAMES
Time,V U2.N3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1998
3.490e-10,1.1953
3.723e-10,1.1723
3.955e-10,1.1136
4.188e-10,1.0005
4.421e-10,0.8607
4.653e-10,0.7239
4.886e-10,0.5869
5.119e-10,0.4337
5.351e-10,0.2822
5.584e-10,0.1489
5.817e-10,0.0441
6.049e-10,-0.0303
6.282e-10,-0.0761
6.515e-10,-0.1035
6.747e-10,-0.1225
6.980e-10,-0.1381
7.213e-10,-0.1536
7.445e-10,-0.1700
7.678e-10,-0.1869
7.911e-10,-0.1986
8.143e-10,-0.2005
8.376e-10,-0.1955
8.609e-10,-0.1901
8.841e-10,-0.1839
9.074e-10,-0.1660
9.307e-10,-0.1262
9.539e-10,-0.0704
9.772e-10,-0.0131
1.0005e-09,0.0375
1.0237e-09,0.0792
1.0470e-09,0.1109
1.0703e-09,0.1321
1.0935e-09,0.1425
1.1168e-09,0.1411
1.1401e-09,0.1290
1.1633e-09,0.1108
1.1866e-09,0.0917
1.2099e-09,0.0750
1.2332e-09,0.0632
1.2564e-09,0.0582
1.2797e-09,0.0601
1.3030e-09,0.0638
1.3262e-09,0.0627
1.3495e-09,0.0545
1.3728e-09,0.0430
1.3960e-09,0.0325
1.4193e-09,0.0221
1.4426e-09,0.0080
1.4658e-09,-0.0115
1.4891e-09,-0.0339
1.5124e-09,-0.0542
1.5356e-09,-0.0678
1.5589e-09,-0.0727
1.5822e-09,-0.0698
1.6054e-09,-0.0613
1.6287e-09,-0.0493
1.6520e-09,-0.0358
1.6752e-09,-0.0233
1.6985e-09,-0.0133
1.7218e-09,-0.0060
1.7450e-09,-0.0011
1.7683e-09,0.0005
1.7916e-09,-0.0020
1.8148e-09,-0.0074
1.8381e-09,-0.0117
1.8614e-09,-0.0117
1.8846e-09,-0.0070
1.9079e-09,-0.0000
1.9312e-09,0.0066
1.9544e-09,0.0121
1.9777e-09,0.0171
2.0010e-09,0.0223
