.HEADER
..NAMES
Time,V U2.P2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0028
3.723e-10,0.0063
3.955e-10,0.0250
4.188e-10,0.0825
4.421e-10,0.1902
4.653e-10,0.3061
4.886e-10,0.4157
5.119e-10,0.5477
5.351e-10,0.7049
5.584e-10,0.8515
5.817e-10,0.9744
6.049e-10,1.0799
6.282e-10,1.1603
6.515e-10,1.2132
6.747e-10,1.2423
6.980e-10,1.2564
7.213e-10,1.2662
7.445e-10,1.2785
7.678e-10,1.2923
7.911e-10,1.3026
8.143e-10,1.3082
8.376e-10,1.3113
8.609e-10,1.3160
8.841e-10,1.3247
9.074e-10,1.3321
9.307e-10,1.3252
9.539e-10,1.2985
9.772e-10,1.2632
1.0005e-09,1.2300
1.0237e-09,1.1933
1.0470e-09,1.1505
1.0703e-09,1.1121
1.0935e-09,1.0846
1.1168e-09,1.0651
1.1401e-09,1.0538
1.1633e-09,1.0554
1.1866e-09,1.0715
1.2099e-09,1.0980
1.2332e-09,1.1262
1.2564e-09,1.1478
1.2797e-09,1.1600
1.3030e-09,1.1656
1.3262e-09,1.1688
1.3495e-09,1.1714
1.3728e-09,1.1729
1.3960e-09,1.1716
1.4193e-09,1.1688
1.4426e-09,1.1692
1.4658e-09,1.1764
1.4891e-09,1.1887
1.5124e-09,1.2028
1.5356e-09,1.2185
1.5589e-09,1.2356
1.5822e-09,1.2493
1.6054e-09,1.2564
1.6287e-09,1.2591
1.6520e-09,1.2599
1.6752e-09,1.2575
1.6985e-09,1.2493
1.7218e-09,1.2346
1.7450e-09,1.2165
1.7683e-09,1.2002
1.7916e-09,1.1898
1.8148e-09,1.1860
1.8381e-09,1.1873
1.8614e-09,1.1914
1.8846e-09,1.1965
1.9079e-09,1.2017
1.9312e-09,1.2063
1.9544e-09,1.2091
1.9777e-09,1.2093
2.0010e-09,1.2066
2.0242e-09,1.1950
2.0475e-09,1.1593
2.0708e-09,1.0829
2.0940e-09,0.9592
2.1173e-09,0.8287
2.1406e-09,0.7096
2.1638e-09,0.5756
2.1871e-09,0.4161
2.2104e-09,0.2665
2.2336e-09,0.1470
2.2569e-09,0.0523
2.2802e-09,-0.0170
2.3034e-09,-0.0606
2.3267e-09,-0.0840
2.3500e-09,-0.0980
2.3732e-09,-0.1124
2.3965e-09,-0.1322
2.4198e-09,-0.1538
2.4430e-09,-0.1699
2.4663e-09,-0.1783
2.4896e-09,-0.1827
2.5128e-09,-0.1882
2.5361e-09,-0.1953
2.5594e-09,-0.1967
2.5826e-09,-0.1808
2.6059e-09,-0.1446
2.6292e-09,-0.1000
2.6524e-09,-0.0596
2.6757e-09,-0.0196
2.6990e-09,0.0254
2.7222e-09,0.0673
2.7455e-09,0.0983
2.7688e-09,0.1200
2.7920e-09,0.1327
2.8153e-09,0.1324
2.8386e-09,0.1174
2.8618e-09,0.0945
2.8851e-09,0.0807
2.9084e-09,0.1000
2.9316e-09,0.1780
2.9549e-09,0.2901
2.9782e-09,0.3952
3.0014e-09,0.5066
3.0247e-09,0.6472
3.0480e-09,0.7968
3.0712e-09,0.9255
3.0945e-09,1.0328
3.1178e-09,1.1131
3.1410e-09,1.1628
3.1643e-09,1.1880
3.1876e-09,1.1957
3.2108e-09,1.1961
3.2341e-09,1.2004
3.2574e-09,1.2138
3.2806e-09,1.2297
3.3039e-09,1.2417
3.3272e-09,1.2523
3.3504e-09,1.2679
3.3737e-09,1.2927
3.3970e-09,1.3216
3.4202e-09,1.3388
3.4435e-09,1.3302
3.4668e-09,1.2996
3.4901e-09,1.2633
3.5133e-09,1.2257
3.5366e-09,1.1817
3.5599e-09,1.1370
3.5831e-09,1.1021
3.6064e-09,1.0782
3.6297e-09,1.0640
3.6529e-09,1.0627
3.6762e-09,1.0769
3.6995e-09,1.1047
3.7227e-09,1.1382
3.7460e-09,1.1660
3.7693e-09,1.1806
3.7925e-09,1.1837
3.8158e-09,1.1826
3.8391e-09,1.1814
3.8623e-09,1.1797
3.8856e-09,1.1744
3.9089e-09,1.1651
3.9321e-09,1.1563
3.9554e-09,1.1550
3.9787e-09,1.1634
4.0019e-09,1.1783
4.0252e-09,1.1973
4.0485e-09,1.2193
4.0717e-09,1.2400
4.0950e-09,1.2538
4.1183e-09,1.2601
4.1415e-09,1.2621
4.1648e-09,1.2608
4.1881e-09,1.2537
4.2113e-09,1.2389
4.2346e-09,1.2180
4.2579e-09,1.1971
4.2811e-09,1.1830
4.3044e-09,1.1784
4.3277e-09,1.1814
4.3509e-09,1.1882
4.3742e-09,1.1958
4.3975e-09,1.2029
4.4207e-09,1.2092
4.4440e-09,1.2144
