.HEADER
..NAMES
Time,V U2.R8
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0052
3.955e-10,0.0201
4.188e-10,0.0686
4.421e-10,0.1677
4.653e-10,0.2816
4.886e-10,0.3872
5.119e-10,0.5029
5.351e-10,0.6405
5.584e-10,0.7829
5.817e-10,0.9110
6.049e-10,1.0283
6.282e-10,1.1282
6.515e-10,1.1996
6.747e-10,1.2464
6.980e-10,1.2724
7.213e-10,1.2857
7.445e-10,1.2927
7.678e-10,1.2992
7.911e-10,1.3101
8.143e-10,1.3190
8.376e-10,1.3199
8.609e-10,1.3183
8.841e-10,1.3228
9.074e-10,1.3357
9.307e-10,1.3477
9.539e-10,1.3447
9.772e-10,1.3237
1.0005e-09,1.2940
1.0237e-09,1.2618
1.0470e-09,1.2246
1.0703e-09,1.1846
1.0935e-09,1.1492
1.1168e-09,1.1198
1.1401e-09,1.0945
1.1633e-09,1.0755
1.1866e-09,1.0659
1.2099e-09,1.0675
1.2332e-09,1.0810
1.2564e-09,1.1042
1.2797e-09,1.1302
1.3030e-09,1.1500
1.3262e-09,1.1602
1.3495e-09,1.1656
1.3728e-09,1.1717
1.3960e-09,1.1773
1.4193e-09,1.1791
1.4426e-09,1.1759
1.4658e-09,1.1708
1.4891e-09,1.1679
1.5124e-09,1.1693
1.5356e-09,1.1752
1.5589e-09,1.1864
1.5822e-09,1.2030
1.6054e-09,1.2212
1.6287e-09,1.2364
1.6520e-09,1.2467
1.6752e-09,1.2525
1.6985e-09,1.2553
1.7218e-09,1.2563
1.7450e-09,1.2544
1.7683e-09,1.2471
1.7916e-09,1.2333
1.8148e-09,1.2164
1.8381e-09,1.2019
1.8614e-09,1.1932
1.8846e-09,1.1895
1.9079e-09,1.1892
1.9312e-09,1.1912
1.9544e-09,1.1948
1.9777e-09,1.1991
2.0010e-09,1.2029
2.0242e-09,1.2012
2.0475e-09,1.1802
2.0708e-09,1.1229
2.0940e-09,1.0131
2.1173e-09,0.8832
2.1406e-09,0.7597
2.1638e-09,0.6299
2.1871e-09,0.4812
2.2104e-09,0.3292
2.2336e-09,0.1966
2.2569e-09,0.0811
2.2802e-09,-0.0146
2.3034e-09,-0.0796
2.3267e-09,-0.1171
2.3500e-09,-0.1328
2.3732e-09,-0.1373
2.3965e-09,-0.1393
2.4198e-09,-0.1444
2.4430e-09,-0.1564
2.4663e-09,-0.1690
2.4896e-09,-0.1754
2.5128e-09,-0.1796
2.5361e-09,-0.1889
2.5594e-09,-0.2042
2.5826e-09,-0.2161
2.6059e-09,-0.2112
2.6292e-09,-0.1856
2.6524e-09,-0.1477
2.6757e-09,-0.1054
2.6990e-09,-0.0580
2.7222e-09,-0.0080
2.7455e-09,0.0365
2.7688e-09,0.0726
2.7920e-09,0.1023
2.8153e-09,0.1246
2.8386e-09,0.1360
2.8618e-09,0.1354
2.8851e-09,0.1285
2.9084e-09,0.1317
2.9316e-09,0.1771
2.9549e-09,0.2647
2.9782e-09,0.3607
3.0014e-09,0.4628
3.0247e-09,0.5843
3.0480e-09,0.7209
3.0712e-09,0.8541
3.0945e-09,0.9782
3.1178e-09,1.0922
3.1410e-09,1.1791
3.1643e-09,1.2347
3.1876e-09,1.2632
3.2108e-09,1.2692
3.2341e-09,1.2614
3.2574e-09,1.2485
3.2806e-09,1.2421
3.3039e-09,1.2447
3.3272e-09,1.2471
3.3504e-09,1.2480
3.3737e-09,1.2537
3.3970e-09,1.2702
3.4202e-09,1.2963
3.4435e-09,1.3198
3.4668e-09,1.3281
3.4901e-09,1.3195
3.5133e-09,1.2992
3.5366e-09,1.2688
3.5599e-09,1.2289
3.5831e-09,1.1870
3.6064e-09,1.1493
3.6297e-09,1.1160
3.6529e-09,1.0885
3.6762e-09,1.0702
3.6995e-09,1.0632
3.7227e-09,1.0691
3.7460e-09,1.0892
3.7693e-09,1.1201
3.7925e-09,1.1524
3.8158e-09,1.1762
3.8391e-09,1.1894
3.8623e-09,1.1966
3.8856e-09,1.2006
3.9089e-09,1.2007
3.9321e-09,1.1954
3.9554e-09,1.1853
3.9787e-09,1.1736
4.0019e-09,1.1642
4.0252e-09,1.1596
4.0485e-09,1.1618
4.0717e-09,1.1726
4.0950e-09,1.1910
4.1183e-09,1.2122
4.1415e-09,1.2313
4.1648e-09,1.2457
4.1881e-09,1.2547
4.2113e-09,1.2593
4.2346e-09,1.2605
4.2579e-09,1.2572
4.2811e-09,1.2468
4.3044e-09,1.2295
4.3277e-09,1.2097
4.3509e-09,1.1929
4.3742e-09,1.1821
4.3975e-09,1.1774
4.4207e-09,1.1780
4.4440e-09,1.1827
