.HEADER
..NAMES
Time,V U2.N2
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1963
3.723e-10,1.1811
3.955e-10,1.1396
4.188e-10,1.0611
4.421e-10,0.9544
4.653e-10,0.8342
4.886e-10,0.7041
5.119e-10,0.5650
5.351e-10,0.4240
5.584e-10,0.2886
5.817e-10,0.1652
6.049e-10,0.0593
6.282e-10,-0.0207
6.515e-10,-0.0747
6.747e-10,-0.1100
6.980e-10,-0.1303
7.213e-10,-0.1387
7.445e-10,-0.1428
7.678e-10,-0.1518
7.911e-10,-0.1637
8.143e-10,-0.1710
8.376e-10,-0.1732
8.609e-10,-0.1747
8.841e-10,-0.1773
9.074e-10,-0.1797
9.307e-10,-0.1795
9.539e-10,-0.1723
9.772e-10,-0.1517
1.0005e-09,-0.1171
1.0237e-09,-0.0746
1.0470e-09,-0.0301
1.0703e-09,0.0139
1.0935e-09,0.0540
1.1168e-09,0.0848
1.1401e-09,0.1049
1.1633e-09,0.1166
1.1866e-09,0.1215
1.2099e-09,0.1187
1.2332e-09,0.1080
1.2564e-09,0.0915
1.2797e-09,0.0726
1.3030e-09,0.0555
1.3262e-09,0.0443
1.3495e-09,0.0402
1.3728e-09,0.0402
1.3960e-09,0.0403
1.4193e-09,0.0396
1.4426e-09,0.0391
1.4658e-09,0.0388
1.4891e-09,0.0374
1.5124e-09,0.0340
1.5356e-09,0.0278
1.5589e-09,0.0176
1.5822e-09,0.0028
1.6054e-09,-0.0151
1.6287e-09,-0.0330
1.6520e-09,-0.0473
1.6752e-09,-0.0554
1.6985e-09,-0.0561
1.7218e-09,-0.0512
1.7450e-09,-0.0438
1.7683e-09,-0.0358
1.7916e-09,-0.0273
1.8148e-09,-0.0178
1.8381e-09,-0.0082
1.8614e-09,-0.0001
1.8846e-09,0.0052
1.9079e-09,0.0070
1.9312e-09,0.0055
1.9544e-09,0.0017
1.9777e-09,-0.0026
2.0010e-09,-0.0060
