.HEADER
..NAMES
Time,V U2.N8
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0029
3.723e-10,0.0061
3.955e-10,0.0205
4.188e-10,0.0638
4.421e-10,0.1399
4.653e-10,0.2397
4.886e-10,0.3540
5.119e-10,0.4830
5.351e-10,0.6193
5.584e-10,0.7560
5.817e-10,0.8868
6.049e-10,1.0047
6.282e-10,1.1021
6.515e-10,1.1730
6.747e-10,1.2219
6.980e-10,1.2544
7.213e-10,1.2731
7.445e-10,1.2814
7.678e-10,1.2867
7.911e-10,1.2944
8.143e-10,1.3019
8.376e-10,1.3060
8.609e-10,1.3078
8.841e-10,1.3098
9.074e-10,1.3128
9.307e-10,1.3171
9.539e-10,1.3196
9.772e-10,1.3146
1.0005e-09,1.2969
1.0237e-09,1.2671
1.0470e-09,1.2300
1.0703e-09,1.1905
1.0935e-09,1.1524
1.1168e-09,1.1188
1.1401e-09,1.0931
1.1633e-09,1.0773
1.1866e-09,1.0710
1.2099e-09,1.0730
1.2332e-09,1.0824
1.2564e-09,1.0978
1.2797e-09,1.1171
1.3030e-09,1.1374
1.3262e-09,1.1551
1.3495e-09,1.1679
1.3728e-09,1.1750
1.3960e-09,1.1782
1.4193e-09,1.1801
1.4426e-09,1.1820
1.4658e-09,1.1827
1.4891e-09,1.1818
1.5124e-09,1.1806
1.5356e-09,1.1812
1.5589e-09,1.1856
1.5822e-09,1.1948
1.6054e-09,1.2084
1.6287e-09,1.2245
1.6520e-09,1.2398
1.6752e-09,1.2515
1.6985e-09,1.2575
1.7218e-09,1.2573
1.7450e-09,1.2516
1.7683e-09,1.2429
1.7916e-09,1.2332
1.8148e-09,1.2233
1.8381e-09,1.2134
1.8614e-09,1.2038
1.8846e-09,1.1958
1.9079e-09,1.1907
1.9312e-09,1.1890
1.9544e-09,1.1904
1.9777e-09,1.1937
2.0010e-09,1.1971
2.0242e-09,1.1942
2.0475e-09,1.1767
2.0708e-09,1.1261
2.0940e-09,1.0410
2.1173e-09,0.9282
2.1406e-09,0.8017
2.1638e-09,0.6606
2.1871e-09,0.5116
2.2104e-09,0.3633
2.2336e-09,0.2242
2.2569e-09,0.1036
2.2802e-09,0.0093
2.3034e-09,-0.0545
2.3267e-09,-0.0940
2.3500e-09,-0.1177
2.3732e-09,-0.1303
2.3965e-09,-0.1354
2.4198e-09,-0.1393
2.4430e-09,-0.1464
2.4663e-09,-0.1543
2.4896e-09,-0.1596
2.5128e-09,-0.1631
2.5361e-09,-0.1678
2.5594e-09,-0.1743
2.5826e-09,-0.1816
2.6059e-09,-0.1852
2.6292e-09,-0.1780
2.6524e-09,-0.1550
2.6757e-09,-0.1177
2.6990e-09,-0.0718
2.7222e-09,-0.0235
2.7455e-09,0.0231
2.7688e-09,0.0646
2.7920e-09,0.0975
2.8153e-09,0.1192
2.8386e-09,0.1293
2.8618e-09,0.1302
2.8851e-09,0.1285
2.9084e-09,0.1383
2.9316e-09,0.1774
2.9549e-09,0.2427
2.9782e-09,0.3307
3.0014e-09,0.4378
3.0247e-09,0.5628
3.0480e-09,0.6948
3.0712e-09,0.8248
3.0945e-09,0.9461
3.1178e-09,1.0529
3.1410e-09,1.1380
3.1643e-09,1.1995
3.1876e-09,1.2398
3.2108e-09,1.2605
3.2341e-09,1.2629
3.2574e-09,1.2537
3.2806e-09,1.2431
3.3039e-09,1.2360
3.3272e-09,1.2320
3.3504e-09,1.2323
3.3737e-09,1.2388
3.3970e-09,1.2519
3.4202e-09,1.2692
3.4435e-09,1.2872
3.4668e-09,1.3003
3.4901e-09,1.3025
3.5133e-09,1.2908
3.5366e-09,1.2664
3.5599e-09,1.2332
3.5831e-09,1.1952
3.6064e-09,1.1565
3.6297e-09,1.1223
3.6529e-09,1.0968
3.6762e-09,1.0814
3.6995e-09,1.0755
3.7227e-09,1.0779
3.7460e-09,1.0884
3.7693e-09,1.1061
3.7925e-09,1.1288
3.8158e-09,1.1532
3.8391e-09,1.1754
3.8623e-09,1.1921
3.8856e-09,1.2017
3.9089e-09,1.2048
3.9321e-09,1.2029
3.9554e-09,1.1971
3.9787e-09,1.1883
4.0019e-09,1.1791
4.0252e-09,1.1727
4.0485e-09,1.1711
4.0717e-09,1.1753
4.0950e-09,1.1854
4.1183e-09,1.2002
4.1415e-09,1.2173
4.1648e-09,1.2336
4.1881e-09,1.2463
4.2113e-09,1.2535
4.2346e-09,1.2545
4.2579e-09,1.2502
4.2811e-09,1.2427
4.3044e-09,1.2332
4.3277e-09,1.2223
4.3509e-09,1.2103
4.3742e-09,1.1986
4.3975e-09,1.1888
4.4207e-09,1.1822
4.4440e-09,1.1798
