.HEADER
..NAMES
Time,V U2.M2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0054
3.723e-10,0.0219
3.955e-10,0.0752
4.188e-10,0.1838
4.421e-10,0.3060
4.653e-10,0.4216
4.886e-10,0.5465
5.119e-10,0.6890
5.351e-10,0.8327
5.584e-10,0.9620
5.817e-10,1.0761
6.049e-10,1.1612
6.282e-10,1.2179
6.515e-10,1.2504
6.747e-10,1.2664
6.980e-10,1.2786
7.213e-10,1.2916
7.445e-10,1.3060
7.678e-10,1.3137
7.911e-10,1.3148
8.143e-10,1.3171
8.376e-10,1.3248
8.609e-10,1.3301
8.841e-10,1.3145
9.074e-10,1.2779
9.307e-10,1.2342
9.539e-10,1.1906
9.772e-10,1.1493
1.0005e-09,1.1140
1.0237e-09,1.0872
1.0470e-09,1.0673
1.0703e-09,1.0543
1.0935e-09,1.0508
1.1168e-09,1.0592
1.1401e-09,1.0804
1.1633e-09,1.1055
1.1866e-09,1.1094
1.2099e-09,1.0701
1.2332e-09,0.9676
1.2564e-09,0.8388
1.2797e-09,0.7182
1.3030e-09,0.5963
1.3262e-09,0.4533
1.3495e-09,0.3020
1.3728e-09,0.1717
1.3960e-09,0.0670
1.4193e-09,-0.0035
1.4426e-09,-0.0410
1.4658e-09,-0.0560
1.4891e-09,-0.0617
1.5124e-09,-0.0724
1.5356e-09,-0.0909
1.5589e-09,-0.1138
1.5822e-09,-0.1312
1.6054e-09,-0.1429
1.6287e-09,-0.1586
1.6520e-09,-0.1818
1.6752e-09,-0.2010
1.6985e-09,-0.1937
1.7218e-09,-0.1544
1.7450e-09,-0.1001
1.7683e-09,-0.0458
1.7916e-09,0.0048
1.8148e-09,0.0497
1.8381e-09,0.0854
1.8614e-09,0.1120
1.8846e-09,0.1296
1.9079e-09,0.1345
1.9312e-09,0.1238
1.9544e-09,0.0988
1.9777e-09,0.0686
2.0010e-09,0.0462
2.0242e-09,0.0395
2.0475e-09,0.0441
2.0708e-09,0.0495
2.0940e-09,0.0512
2.1173e-09,0.0530
2.1406e-09,0.0586
2.1638e-09,0.0640
2.1871e-09,0.0606
2.2104e-09,0.0454
2.2336e-09,0.0208
2.2569e-09,-0.0087
2.2802e-09,-0.0363
2.3034e-09,-0.0552
2.3267e-09,-0.0626
2.3500e-09,-0.0614
2.3732e-09,-0.0566
2.3965e-09,-0.0501
2.4198e-09,-0.0402
2.4430e-09,-0.0241
2.4663e-09,-0.0044
2.4896e-09,0.0113
2.5128e-09,0.0166
2.5361e-09,0.0122
2.5594e-09,0.0037
2.5826e-09,-0.0039
2.6059e-09,-0.0092
2.6292e-09,-0.0124
2.6524e-09,-0.0133
2.6757e-09,-0.0117
2.6990e-09,-0.0070
2.7222e-09,0.0020
2.7455e-09,0.0151
2.7688e-09,0.0292
2.7920e-09,0.0390
2.8153e-09,0.0404
2.8386e-09,0.0343
2.8618e-09,0.0249
2.8851e-09,0.0164
2.9084e-09,0.0095
2.9316e-09,0.0023
2.9549e-09,-0.0056
2.9782e-09,-0.0121
3.0014e-09,-0.0144
3.0247e-09,-0.0115
3.0480e-09,-0.0047
3.0712e-09,0.0033
3.0945e-09,0.0096
3.1178e-09,0.0123
3.1410e-09,0.0114
3.1643e-09,0.0086
3.1876e-09,0.0055
3.2108e-09,0.0017
3.2341e-09,-0.0035
3.2574e-09,-0.0100
3.2806e-09,-0.0152
3.3039e-09,-0.0162
3.3272e-09,-0.0122
3.3504e-09,-0.0051
3.3737e-09,0.0020
3.3970e-09,0.0073
3.4202e-09,0.0104
3.4435e-09,0.0120
3.4668e-09,0.0127
3.4901e-09,0.0124
3.5133e-09,0.0106
3.5366e-09,0.0068
3.5599e-09,0.0017
3.5831e-09,-0.0031
3.6064e-09,-0.0054
3.6297e-09,-0.0045
3.6529e-09,-0.0015
3.6762e-09,0.0017
3.6995e-09,0.0043
3.7227e-09,0.0065
3.7460e-09,0.0088
3.7693e-09,0.0109
3.7925e-09,0.0114
3.8158e-09,0.0097
3.8391e-09,0.0058
3.8623e-09,0.0011
3.8856e-09,-0.0028
3.9089e-09,-0.0047
3.9321e-09,-0.0045
3.9554e-09,-0.0030
3.9787e-09,-0.0013
4.0019e-09,0.0003
4.0252e-09,0.0021
4.0485e-09,0.0044
4.0717e-09,0.0068
4.0950e-09,0.0082
4.1183e-09,0.0078
4.1415e-09,0.0058
4.1648e-09,0.0031
4.1881e-09,0.0009
4.2113e-09,-0.0005
4.2346e-09,-0.0011
4.2579e-09,-0.0013
4.2811e-09,-0.0010
4.3044e-09,-0.0002
4.3277e-09,0.0015
4.3509e-09,0.0040
4.3742e-09,0.0064
