.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
0.0e+00,0.2799
2.33e-11,0.2799
4.65e-11,0.2799
6.98e-11,0.2799
9.31e-11,0.2799
1.163e-10,0.2799
1.396e-10,0.2799
1.629e-10,0.2799
1.861e-10,0.2799
2.094e-10,0.2799
2.327e-10,0.2799
2.559e-10,0.2799
2.792e-10,0.2799
3.025e-10,0.2799
3.257e-10,0.2799
3.490e-10,0.2799
3.723e-10,0.2799
3.955e-10,0.2799
4.188e-10,0.2799
4.421e-10,0.2799
4.653e-10,0.2799
4.886e-10,0.2799
5.119e-10,0.2799
5.351e-10,0.2799
5.584e-10,0.2799
5.817e-10,0.2799
6.049e-10,0.2799
6.282e-10,0.2799
6.515e-10,0.2799
6.747e-10,0.2799
6.980e-10,0.2805
7.213e-10,0.2848
7.445e-10,0.3045
7.678e-10,0.3612
7.911e-10,0.4462
8.143e-10,0.5271
8.376e-10,0.6109
8.609e-10,0.7094
8.841e-10,0.8054
9.074e-10,0.8656
9.307e-10,0.8867
9.539e-10,0.8935
9.772e-10,0.8979
1.0005e-09,0.8955
1.0237e-09,0.8879
1.0470e-09,0.8887
1.0703e-09,0.9016
1.0935e-09,0.9171
1.1168e-09,0.9255
1.1401e-09,0.9165
1.1633e-09,0.8791
1.1866e-09,0.7979
1.2099e-09,0.6987
1.2332e-09,0.6022
1.2564e-09,0.4942
1.2797e-09,0.3883
1.3030e-09,0.3115
1.3262e-09,0.2820
1.3495e-09,0.2805
1.3728e-09,0.2818
1.3960e-09,0.2883
1.4193e-09,0.2978
1.4426e-09,0.2962
1.4658e-09,0.2770
1.4891e-09,0.2511
1.5124e-09,0.2332
1.5356e-09,0.2283
1.5589e-09,0.2398
1.5822e-09,0.2844
1.6054e-09,0.3800
1.6287e-09,0.4947
1.6520e-09,0.5935
1.6752e-09,0.6879
1.6985e-09,0.7823
1.7218e-09,0.8554
1.7450e-09,0.8833
1.7683e-09,0.8806
1.7916e-09,0.8775
1.8148e-09,0.8815
1.8381e-09,0.8867
1.8614e-09,0.8953
1.8846e-09,0.9133
1.9079e-09,0.9341
1.9312e-09,0.9461
1.9544e-09,0.9415
1.9777e-09,0.9128
2.0010e-09,0.8512
2.0242e-09,0.7518
2.0475e-09,0.6515
2.0708e-09,0.5607
2.0940e-09,0.4637
2.1173e-09,0.3755
2.1406e-09,0.3191
2.1638e-09,0.3033
2.1871e-09,0.3004
2.2104e-09,0.2927
2.2336e-09,0.2885
2.2569e-09,0.2862
2.2802e-09,0.2746
2.3034e-09,0.2529
2.3267e-09,0.2342
2.3500e-09,0.2292
2.3732e-09,0.2373
2.3965e-09,0.2604
2.4198e-09,0.3165
2.4430e-09,0.4158
2.4663e-09,0.5203
2.4896e-09,0.6077
2.5128e-09,0.6948
2.5361e-09,0.7836
2.5594e-09,0.8502
2.5826e-09,0.8756
2.6059e-09,0.8791
2.6292e-09,0.8848
2.6524e-09,0.8940
2.6757e-09,0.9001
2.6990e-09,0.9071
2.7222e-09,0.9205
2.7455e-09,0.9338
2.7688e-09,0.9383
2.7920e-09,0.9278
2.8153e-09,0.8951
2.8386e-09,0.8293
2.8618e-09,0.7316
2.8851e-09,0.6391
2.9084e-09,0.5500
2.9316e-09,0.4523
2.9549e-09,0.3660
2.9782e-09,0.3140
3.0014e-09,0.2996
3.0247e-09,0.2933
3.0480e-09,0.2849
3.0712e-09,0.2835
3.0945e-09,0.2833
3.1178e-09,0.2725
3.1410e-09,0.2525
3.1643e-09,0.2370
3.1876e-09,0.2339
3.2108e-09,0.2423
3.2341e-09,0.2673
3.2574e-09,0.3304
3.2806e-09,0.4340
3.3039e-09,0.5354
3.3272e-09,0.6230
3.3504e-09,0.7135
3.3737e-09,0.8024
3.3970e-09,0.8622
3.4202e-09,0.8805
3.4435e-09,0.8818
3.4668e-09,0.8868
3.4901e-09,0.8938
3.5133e-09,0.8982
3.5366e-09,0.9063
3.5599e-09,0.9214
3.5831e-09,0.9352
3.6064e-09,0.9390
3.6297e-09,0.9257
3.6529e-09,0.8881
3.6762e-09,0.8135
3.6995e-09,0.7129
3.7227e-09,0.6213
3.7460e-09,0.5289
3.7693e-09,0.4309
3.7925e-09,0.3502
3.8158e-09,0.3079
3.8391e-09,0.2991
3.8623e-09,0.2932
3.8856e-09,0.2865
3.9089e-09,0.2863
3.9321e-09,0.2838
3.9554e-09,0.2692
3.9787e-09,0.2477
4.0019e-09,0.2335
4.0252e-09,0.2325
4.0485e-09,0.2438
4.0717e-09,0.2753
4.0950e-09,0.3492
4.1183e-09,0.4570
4.1415e-09,0.5551
4.1648e-09,0.6422
4.1881e-09,0.7329
4.2113e-09,0.8174
4.2346e-09,0.8677
4.2579e-09,0.8795
4.2811e-09,0.8806
4.3044e-09,0.8870
4.3277e-09,0.8944
4.3509e-09,0.8996
4.3742e-09,0.9100
4.3975e-09,0.9260
4.4207e-09,0.9381
4.4440e-09,0.9387
4.4673e-09,0.9203
4.4905e-09,0.8760
4.5138e-09,0.7931
4.5371e-09,0.6925
4.5603e-09,0.6031
4.5836e-09,0.5090
4.6069e-09,0.4130
4.6301e-09,0.3389
4.6534e-09,0.3054
4.6767e-09,0.2991
4.6999e-09,0.2919
4.7232e-09,0.2859
4.7465e-09,0.2860
4.7697e-09,0.2814
4.7930e-09,0.2645
4.8163e-09,0.2435
4.8395e-09,0.2323
4.8628e-09,0.2340
4.8861e-09,0.2483
4.9093e-09,0.2865
4.9326e-09,0.3695
4.9559e-09,0.4783
4.9791e-09,0.5723
5.0024e-09,0.6595
5.0257e-09,0.7506
5.0489e-09,0.8306
5.0722e-09,0.8724
5.0955e-09,0.8798
5.1187e-09,0.8817
5.1420e-09,0.8890
5.1653e-09,0.8957
5.1885e-09,0.9011
5.2118e-09,0.9128
5.2351e-09,0.9287
5.2583e-09,0.9390
5.2816e-09,0.9366
5.3049e-09,0.9138
5.3281e-09,0.8628
5.3514e-09,0.7732
5.3747e-09,0.6742
5.3979e-09,0.5857
5.4212e-09,0.4895
5.4445e-09,0.3958
5.4677e-09,0.3287
5.4910e-09,0.3030
5.5143e-09,0.2979
5.5375e-09,0.2901
5.5608e-09,0.2857
5.5841e-09,0.2860
5.6073e-09,0.2792
5.6306e-09,0.2604
5.6539e-09,0.2404
5.6771e-09,0.2317
5.7004e-09,0.2357
5.7237e-09,0.2531
5.7469e-09,0.2989
5.7702e-09,0.3906
5.7935e-09,0.4986
5.8168e-09,0.5896
5.8400e-09,0.6775
5.8633e-09,0.7686
5.8866e-09,0.8428
5.9098e-09,0.8759
5.9331e-09,0.8799
5.9564e-09,0.8828
5.9796e-09,0.8905
6.0029e-09,0.8964
6.0262e-09,0.9026
6.0494e-09,0.9158
6.0727e-09,0.9314
6.0960e-09,0.9398
6.1192e-09,0.9340
6.1425e-09,0.9064
6.1658e-09,0.8478
6.1890e-09,0.7528
6.2123e-09,0.6563
6.2356e-09,0.5674
6.2588e-09,0.4697
6.2821e-09,0.3795
6.3054e-09,0.3203
6.3286e-09,0.3017
6.3519e-09,0.2968
6.3752e-09,0.2887
6.3984e-09,0.2859
6.4217e-09,0.2857
6.4450e-09,0.2763
6.4682e-09,0.2559
6.4915e-09,0.2375
6.5148e-09,0.2315
6.5380e-09,0.2378
6.5613e-09,0.2591
6.5846e-09,0.3136
6.6078e-09,0.4127
6.6311e-09,0.5184
6.6544e-09,0.6070
6.6776e-09,0.6959
6.7009e-09,0.7860
6.7242e-09,0.8532
6.7474e-09,0.8782
6.7707e-09,0.8801
6.7940e-09,0.8841
6.8172e-09,0.8920
6.8405e-09,0.8974
6.8638e-09,0.9047
6.8870e-09,0.9191
6.9103e-09,0.9339
6.9336e-09,0.9401
6.9568e-09,0.9304
6.9801e-09,0.8977
7.0034e-09,0.8310
7.0266e-09,0.7324
7.0499e-09,0.6387
7.0732e-09,0.5485
7.0964e-09,0.4502
7.1197e-09,0.3645
7.1430e-09,0.3139
7.1662e-09,0.3009
7.1895e-09,0.2953
