.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
0.0e+00,0.8956
2.33e-11,0.8956
4.65e-11,0.8956
6.98e-11,0.8956
9.31e-11,0.8956
1.163e-10,0.8956
1.396e-10,0.8956
1.629e-10,0.8956
1.861e-10,0.8956
2.094e-10,0.8956
2.327e-10,0.8956
2.559e-10,0.8956
2.792e-10,0.8956
3.025e-10,0.8956
3.257e-10,0.8956
3.490e-10,0.8956
3.723e-10,0.8956
3.955e-10,0.8956
4.188e-10,0.8956
4.421e-10,0.8956
4.653e-10,0.8956
4.886e-10,0.8956
5.119e-10,0.8956
5.351e-10,0.8956
5.584e-10,0.8956
5.817e-10,0.8956
6.049e-10,0.8956
6.282e-10,0.8956
6.515e-10,0.8956
6.747e-10,0.8955
6.980e-10,0.8931
7.213e-10,0.8799
7.445e-10,0.8443
7.678e-10,0.7740
7.911e-10,0.6947
8.143e-10,0.6187
8.376e-10,0.5195
8.609e-10,0.4077
8.841e-10,0.3239
9.074e-10,0.2861
9.307e-10,0.2729
9.539e-10,0.2597
9.772e-10,0.2589
1.0005e-09,0.2742
1.0237e-09,0.2851
1.0470e-09,0.2787
1.0703e-09,0.2607
1.0935e-09,0.2436
1.1168e-09,0.2347
1.1401e-09,0.2404
1.1633e-09,0.2798
1.1866e-09,0.3696
1.2099e-09,0.4798
1.2332e-09,0.5840
1.2564e-09,0.6973
1.2797e-09,0.8115
1.3030e-09,0.8922
1.3262e-09,0.9197
1.3495e-09,0.9153
1.3728e-09,0.9071
1.3960e-09,0.8971
1.4193e-09,0.8861
1.4426e-09,0.8848
1.4658e-09,0.8993
1.4891e-09,0.9242
1.5124e-09,0.9476
1.5356e-09,0.9554
1.5589e-09,0.9330
1.5822e-09,0.8688
1.6054e-09,0.7639
1.6287e-09,0.6545
1.6520e-09,0.5474
1.6752e-09,0.4298
1.6985e-09,0.3279
1.7218e-09,0.2732
1.7450e-09,0.2666
1.7683e-09,0.2762
1.7916e-09,0.2817
1.8148e-09,0.2909
