.HEADER
..NAMES
Time,V U2.G2
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1981
5.584e-10,1.1869
5.817e-10,1.1569
6.049e-10,1.0907
6.282e-10,1.0008
6.515e-10,0.8931
6.747e-10,0.7747
6.980e-10,0.6650
7.213e-10,0.5505
7.445e-10,0.4335
7.678e-10,0.3202
7.911e-10,0.2101
8.143e-10,0.1142
8.376e-10,0.0416
8.609e-10,-0.0117
8.841e-10,-0.0467
9.074e-10,-0.0659
9.307e-10,-0.0828
9.539e-10,-0.1027
9.772e-10,-0.1240
1.0005e-09,-0.1456
1.0237e-09,-0.1603
1.0470e-09,-0.1640
1.0703e-09,-0.1602
1.0935e-09,-0.1518
1.1168e-09,-0.1390
1.1401e-09,-0.1197
1.1633e-09,-0.0921
1.1866e-09,-0.0563
1.2099e-09,-0.0171
1.2332e-09,0.0184
1.2564e-09,0.0476
1.2797e-09,0.0692
1.3030e-09,0.0830
1.3262e-09,0.0919
1.3495e-09,0.0979
1.3728e-09,0.1011
1.3960e-09,0.1015
1.4193e-09,0.0973
1.4426e-09,0.0869
1.4658e-09,0.0731
1.4891e-09,0.0608
1.5124e-09,0.0539
1.5356e-09,0.0537
1.5589e-09,0.0565
1.5822e-09,0.0568
1.6054e-09,0.0514
1.6287e-09,0.0405
1.6520e-09,0.0262
1.6752e-09,0.0115
1.6985e-09,-0.0018
1.7218e-09,-0.0132
1.7450e-09,-0.0228
1.7683e-09,-0.0306
1.7916e-09,-0.0367
1.8148e-09,-0.0366
1.8381e-09,-0.0190
1.8614e-09,0.0336
1.8846e-09,0.1164
1.9079e-09,0.2218
1.9312e-09,0.3397
1.9544e-09,0.4508
1.9777e-09,0.5619
2.0010e-09,0.6772
2.0242e-09,0.7910
