.HEADER
..NAMES
Time,V U2.C2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0040
5.817e-10,0.0155
6.049e-10,0.0586
6.282e-10,0.1515
6.515e-10,0.2579
6.747e-10,0.3435
6.980e-10,0.4385
7.213e-10,0.5567
7.445e-10,0.6739
7.678e-10,0.7908
7.911e-10,0.9116
8.143e-10,1.0188
8.376e-10,1.1025
8.609e-10,1.1655
8.841e-10,1.2084
9.074e-10,1.2364
9.307e-10,1.2600
9.539e-10,1.2808
9.772e-10,1.2910
1.0005e-09,1.2906
1.0237e-09,1.2930
1.0470e-09,1.3081
1.0703e-09,1.3288
1.0935e-09,1.3383
1.1168e-09,1.3284
1.1401e-09,1.3082
1.1633e-09,1.2833
1.1866e-09,1.2507
1.2099e-09,1.2183
1.2332e-09,1.1941
1.2564e-09,1.1710
1.2797e-09,1.1444
1.3030e-09,1.1177
1.3262e-09,1.0938
1.3495e-09,1.0789
1.3728e-09,1.0787
1.3960e-09,1.0884
1.4193e-09,1.0981
1.4426e-09,1.1067
1.4658e-09,1.1198
1.4891e-09,1.1378
1.5124e-09,1.1541
1.5356e-09,1.1638
1.5589e-09,1.1666
1.5822e-09,1.1648
1.6054e-09,1.1608
1.6287e-09,1.1579
1.6520e-09,1.1622
1.6752e-09,1.1759
1.6985e-09,1.1932
1.7218e-09,1.2075
1.7450e-09,1.2173
1.7683e-09,1.2238
1.7916e-09,1.2284
1.8148e-09,1.2194
1.8381e-09,1.1789
1.8614e-09,1.0816
1.8846e-09,0.9599
1.9079e-09,0.8618
1.9312e-09,0.7592
1.9544e-09,0.6248
1.9777e-09,0.4904
2.0010e-09,0.3606
2.0242e-09,0.2265
2.0475e-09,0.1084
2.0708e-09,0.0201
2.0940e-09,-0.0407
2.1173e-09,-0.0762
2.1406e-09,-0.0964
2.1638e-09,-0.1165
2.1871e-09,-0.1400
2.2104e-09,-0.1571
2.2336e-09,-0.1628
2.2569e-09,-0.1695
2.2802e-09,-0.1885
2.3034e-09,-0.2124
2.3267e-09,-0.2233
2.3500e-09,-0.2112
2.3732e-09,-0.1855
2.3965e-09,-0.1549
2.4198e-09,-0.1147
2.4430e-09,-0.0723
2.4663e-09,-0.0393
2.4896e-09,-0.0086
2.5128e-09,0.0271
2.5361e-09,0.0642
2.5594e-09,0.0983
2.5826e-09,0.1215
2.6059e-09,0.1255
2.6292e-09,0.1154
2.6524e-09,0.1079
2.6757e-09,0.1200
2.6990e-09,0.1695
2.7222e-09,0.2539
2.7455e-09,0.3351
2.7688e-09,0.4098
2.7920e-09,0.5140
2.8153e-09,0.6349
2.8386e-09,0.7497
2.8618e-09,0.8673
2.8851e-09,0.9756
2.9084e-09,1.0533
2.9316e-09,1.1056
2.9549e-09,1.1435
2.9782e-09,1.1702
3.0014e-09,1.1912
3.0247e-09,1.2099
3.0480e-09,1.2158
3.0712e-09,1.1942
3.0945e-09,1.1377
3.1178e-09,1.0484
3.1410e-09,0.9661
3.1643e-09,0.9035
3.1876e-09,0.8083
3.2108e-09,0.6787
3.2341e-09,0.5485
3.2574e-09,0.4054
3.2806e-09,0.2532
3.3039e-09,0.1219
3.3272e-09,0.0148
3.3504e-09,-0.0780
3.3737e-09,-0.1517
3.3970e-09,-0.2043
3.4202e-09,-0.2410
3.4435e-09,-0.2578
3.4668e-09,-0.2502
3.4901e-09,-0.2237
3.5133e-09,-0.1649
3.5366e-09,-0.0469
3.5599e-09,0.0747
3.5831e-09,0.1748
3.6064e-09,0.3100
3.6297e-09,0.4702
3.6529e-09,0.6222
3.6762e-09,0.7836
3.6995e-09,0.9420
3.7227e-09,1.0743
3.7460e-09,1.1892
3.7693e-09,1.2878
3.7925e-09,1.3595
3.8158e-09,1.4103
3.8391e-09,1.4489
3.8623e-09,1.4718
3.8856e-09,1.4684
3.9089e-09,1.4344
3.9321e-09,1.3603
3.9554e-09,1.2499
3.9787e-09,1.1396
4.0019e-09,1.0258
4.0252e-09,0.8731
4.0485e-09,0.7089
4.0717e-09,0.5532
4.0950e-09,0.3839
4.1183e-09,0.2204
4.1415e-09,0.0837
4.1648e-09,-0.0354
4.1881e-09,-0.1324
4.2113e-09,-0.2033
4.2346e-09,-0.2582
4.2579e-09,-0.2971
4.2811e-09,-0.3142
4.3044e-09,-0.3112
4.3277e-09,-0.2875
4.3509e-09,-0.2106
4.3742e-09,-0.0707
4.3975e-09,0.0514
4.4207e-09,0.1547
