.HEADER
..NAMES
Time,V U2.D7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0036
5.817e-10,0.0128
6.049e-10,0.0494
6.282e-10,0.1341
6.515e-10,0.2367
6.747e-10,0.3193
6.980e-10,0.4047
7.213e-10,0.5243
7.445e-10,0.6558
7.678e-10,0.7792
7.911e-10,0.8987
8.143e-10,1.0012
8.376e-10,1.0805
8.609e-10,1.1492
8.841e-10,1.2067
9.074e-10,1.2433
9.307e-10,1.2611
9.539e-10,1.2708
9.772e-10,1.2666
1.0005e-09,1.2351
1.0237e-09,1.1626
1.0470e-09,1.0687
1.0703e-09,0.9917
1.0935e-09,0.9163
1.1168e-09,0.7930
1.1401e-09,0.6395
1.1633e-09,0.4977
1.1866e-09,0.3597
1.2099e-09,0.2245
1.2332e-09,0.1064
1.2564e-09,-0.0003
1.2797e-09,-0.0974
1.3030e-09,-0.1677
1.3262e-09,-0.2062
1.3495e-09,-0.2318
1.3728e-09,-0.2501
1.3960e-09,-0.2493
1.4193e-09,-0.2205
1.4426e-09,-0.1379
1.4658e-09,-0.0103
1.4891e-09,0.0983
1.5124e-09,0.1985
1.5356e-09,0.3503
1.5589e-09,0.5199
1.5822e-09,0.6735
1.6054e-09,0.8331
1.6287e-09,0.9851
1.6520e-09,1.1070
1.6752e-09,1.2114
1.6985e-09,1.3074
1.7218e-09,1.3737
1.7450e-09,1.4138
1.7683e-09,1.4453
1.7916e-09,1.4599
1.8148e-09,1.4414
1.8381e-09,1.3915
1.8614e-09,1.3072
1.8846e-09,1.2029
1.9079e-09,1.1049
1.9312e-09,0.9894
1.9544e-09,0.8293
1.9777e-09,0.6623
2.0010e-09,0.5111
2.0242e-09,0.3528
2.0475e-09,0.2000
2.0708e-09,0.0736
2.0940e-09,-0.0421
2.1173e-09,-0.1425
2.1406e-09,-0.2089
2.1638e-09,-0.2517
2.1871e-09,-0.2837
2.2104e-09,-0.2971
2.2336e-09,-0.2911
2.2569e-09,-0.2863
2.2802e-09,-0.2895
2.3034e-09,-0.2884
2.3267e-09,-0.2766
2.3500e-09,-0.2542
2.3732e-09,-0.2259
2.3965e-09,-0.2007
2.4198e-09,-0.1760
2.4430e-09,-0.1394
2.4663e-09,-0.0951
2.4896e-09,-0.0529
2.5128e-09,-0.0097
2.5361e-09,0.0324
2.5594e-09,0.0679
2.5826e-09,0.1014
2.6059e-09,0.1314
2.6292e-09,0.1486
2.6524e-09,0.1583
2.6757e-09,0.1763
2.6990e-09,0.2147
2.7222e-09,0.2783
2.7455e-09,0.3432
2.7688e-09,0.3982
2.7920e-09,0.4762
2.8153e-09,0.5846
2.8386e-09,0.6917
2.8618e-09,0.7930
2.8851e-09,0.8956
2.9084e-09,0.9854
2.9316e-09,1.0564
2.9549e-09,1.1164
2.9782e-09,1.1614
3.0014e-09,1.1858
3.0247e-09,1.1984
3.0480e-09,1.2074
3.0712e-09,1.2089
3.0945e-09,1.2045
3.1178e-09,1.2085
3.1410e-09,1.2251
3.1643e-09,1.2441
3.1876e-09,1.2562
3.2108e-09,1.2596
3.2341e-09,1.2612
3.2574e-09,1.2666
3.2806e-09,1.2669
3.3039e-09,1.2542
3.3272e-09,1.2338
3.3504e-09,1.2096
3.3737e-09,1.1824
3.3970e-09,1.1581
3.4202e-09,1.1383
3.4435e-09,1.1195
3.4668e-09,1.1058
3.4901e-09,1.1028
3.5133e-09,1.1073
3.5366e-09,1.1157
3.5599e-09,1.1314
3.5831e-09,1.1536
3.6064e-09,1.1732
3.6297e-09,1.1839
3.6529e-09,1.1881
3.6762e-09,1.1898
3.6995e-09,1.1905
3.7227e-09,1.1898
3.7460e-09,1.1854
3.7693e-09,1.1786
3.7925e-09,1.1749
3.8158e-09,1.1768
3.8391e-09,1.1835
3.8623e-09,1.1927
3.8856e-09,1.2020
3.9089e-09,1.2109
3.9321e-09,1.2209
3.9554e-09,1.2306
3.9787e-09,1.2371
4.0019e-09,1.2406
4.0252e-09,1.2418
4.0485e-09,1.2380
4.0717e-09,1.2281
4.0950e-09,1.2158
4.1183e-09,1.2050
4.1415e-09,1.1969
4.1648e-09,1.1913
4.1881e-09,1.1876
4.2113e-09,1.1858
4.2346e-09,1.1875
4.2579e-09,1.1935
4.2811e-09,1.2012
4.3044e-09,1.2070
4.3277e-09,1.2095
4.3509e-09,1.2096
4.3742e-09,1.2083
4.3975e-09,1.2060
4.4207e-09,1.2025
4.4440e-09,1.1979
