.HEADER
..NAMES
Time,V U2.F7
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1970
5.584e-10,1.1845
5.817e-10,1.1494
6.049e-10,1.0817
6.282e-10,0.9925
6.515e-10,0.8865
6.747e-10,0.7722
6.980e-10,0.6606
7.213e-10,0.5418
7.445e-10,0.4211
7.678e-10,0.3054
7.911e-10,0.1976
8.143e-10,0.1068
8.376e-10,0.0387
8.609e-10,-0.0102
8.841e-10,-0.0413
9.074e-10,-0.0619
9.307e-10,-0.0833
9.539e-10,-0.1063
9.772e-10,-0.1233
1.0005e-09,-0.1123
1.0237e-09,-0.0543
1.0470e-09,0.0338
1.0703e-09,0.1498
1.0935e-09,0.2777
1.1168e-09,0.4050
1.1401e-09,0.5515
1.1633e-09,0.7064
1.1866e-09,0.8620
1.2099e-09,1.0123
1.2332e-09,1.1383
1.2564e-09,1.2327
1.2797e-09,1.2984
1.3030e-09,1.3342
1.3262e-09,1.3530
1.3495e-09,1.3700
1.3728e-09,1.3809
1.3960e-09,1.3805
1.4193e-09,1.3453
1.4426e-09,1.2700
1.4658e-09,1.1711
1.4891e-09,1.0531
1.5124e-09,0.9336
1.5356e-09,0.8093
1.5589e-09,0.6655
1.5822e-09,0.5107
1.6054e-09,0.3500
1.6287e-09,0.1930
1.6520e-09,0.0581
1.6752e-09,-0.0488
1.6985e-09,-0.1275
1.7218e-09,-0.1784
1.7450e-09,-0.2156
1.7683e-09,-0.2468
1.7916e-09,-0.2692
1.8148e-09,-0.2732
1.8381e-09,-0.2299
1.8614e-09,-0.1390
1.8846e-09,-0.0225
1.9079e-09,0.1123
1.9312e-09,0.2444
1.9544e-09,0.3777
1.9777e-09,0.5318
2.0010e-09,0.6939
2.0242e-09,0.8598
