.HEADER
..NAMES
Time,V U2.H3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1997
5.584e-10,1.1928
5.817e-10,1.1750
6.049e-10,1.1250
6.282e-10,1.0509
6.515e-10,0.9589
6.747e-10,0.8512
6.980e-10,0.7418
7.213e-10,0.6236
7.445e-10,0.5008
7.678e-10,0.3785
7.911e-10,0.2608
8.143e-10,0.1577
8.376e-10,0.0754
8.609e-10,0.0125
8.841e-10,-0.0328
9.074e-10,-0.0633
9.307e-10,-0.0841
9.539e-10,-0.1013
9.772e-10,-0.1174
1.0005e-09,-0.1205
1.0237e-09,-0.0839
1.0470e-09,-0.0141
1.0703e-09,0.0809
1.0935e-09,0.1925
1.1168e-09,0.3044
1.1401e-09,0.4291
1.1633e-09,0.5671
1.1866e-09,0.7154
1.2099e-09,0.8708
1.2332e-09,1.0119
1.2564e-09,1.1282
1.2797e-09,1.2203
1.3030e-09,1.2894
1.3262e-09,1.3369
1.3495e-09,1.3675
1.3728e-09,1.3898
1.3960e-09,1.4078
1.4193e-09,1.4176
1.4426e-09,1.4146
1.4658e-09,1.4009
1.4891e-09,1.3836
1.5124e-09,1.3701
1.5356e-09,1.3618
1.5589e-09,1.3563
1.5822e-09,1.3430
1.6054e-09,1.3158
1.6287e-09,1.2778
1.6520e-09,1.2382
1.6752e-09,1.2025
1.6985e-09,1.1688
1.7218e-09,1.1370
1.7450e-09,1.1071
1.7683e-09,1.0800
1.7916e-09,1.0551
1.8148e-09,1.0281
1.8381e-09,0.9975
1.8614e-09,0.9449
1.8846e-09,0.8831
1.9079e-09,0.8087
1.9312e-09,0.7230
1.9544e-09,0.6297
1.9777e-09,0.5205
2.0010e-09,0.4104
2.0242e-09,0.3044
2.0475e-09,0.2072
