.HEADER
..NAMES
Time,V U2.H8
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0030
5.584e-10,0.0075
5.817e-10,0.0256
6.049e-10,0.0720
6.282e-10,0.1428
6.515e-10,0.2376
6.747e-10,0.3518
6.980e-10,0.4680
7.213e-10,0.5875
7.445e-10,0.7053
7.678e-10,0.8139
7.911e-10,0.9140
8.143e-10,1.0016
8.376e-10,1.0733
8.609e-10,1.1266
8.841e-10,1.1615
9.074e-10,1.1856
9.307e-10,1.2051
9.539e-10,1.2201
9.772e-10,1.2277
1.0005e-09,1.2059
1.0237e-09,1.1501
1.0470e-09,1.0637
1.0703e-09,0.9427
1.0935e-09,0.8073
1.1168e-09,0.6622
1.1401e-09,0.5102
1.1633e-09,0.3640
1.1866e-09,0.2221
1.2099e-09,0.0914
1.2332e-09,-0.0185
1.2564e-09,-0.1018
1.2797e-09,-0.1532
1.3030e-09,-0.1796
1.3262e-09,-0.1928
1.3495e-09,-0.2013
1.3728e-09,-0.2103
1.3960e-09,-0.2100
1.4193e-09,-0.1727
1.4426e-09,-0.0966
1.4658e-09,0.0153
1.4891e-09,0.1664
1.5124e-09,0.3260
1.5356e-09,0.4907
1.5589e-09,0.6623
1.5822e-09,0.8258
1.6054e-09,0.9872
1.6287e-09,1.1347
1.6520e-09,1.2569
1.6752e-09,1.3449
1.6985e-09,1.3921
1.7218e-09,1.4104
1.7450e-09,1.4139
1.7683e-09,1.4122
1.7916e-09,1.4083
1.8148e-09,1.3916
1.8381e-09,1.3391
1.8614e-09,1.2509
1.8846e-09,1.1299
1.9079e-09,0.9797
1.9312e-09,0.8230
1.9544e-09,0.6610
1.9777e-09,0.4970
2.0010e-09,0.3341
2.0242e-09,0.1713
2.0475e-09,0.0214
2.0708e-09,-0.1040
2.0940e-09,-0.1931
2.1173e-09,-0.2428
2.1406e-09,-0.2643
2.1638e-09,-0.2705
2.1871e-09,-0.2723
2.2104e-09,-0.2720
2.2336e-09,-0.2549
2.2569e-09,-0.1911
2.2802e-09,-0.0905
2.3034e-09,0.0480
2.3267e-09,0.2161
2.3500e-09,0.3796
2.3732e-09,0.5486
2.3965e-09,0.7184
2.4198e-09,0.8828
2.4430e-09,1.0476
2.4663e-09,1.1955
2.4896e-09,1.3149
2.5128e-09,1.3951
2.5361e-09,1.4329
2.5594e-09,1.4444
2.5826e-09,1.4439
2.6059e-09,1.4416
2.6292e-09,1.4415
2.6524e-09,1.4349
2.6757e-09,1.4156
2.6990e-09,1.3840
2.7222e-09,1.3439
2.7455e-09,1.3028
2.7688e-09,1.2627
2.7920e-09,1.2242
2.8153e-09,1.1834
2.8386e-09,1.1331
2.8618e-09,1.0775
2.8851e-09,1.0249
2.9084e-09,0.9844
2.9316e-09,0.9650
2.9549e-09,0.9644
2.9782e-09,0.9753
3.0014e-09,0.9903
3.0247e-09,1.0036
3.0480e-09,1.0101
3.0712e-09,1.0050
3.0945e-09,0.9719
3.1178e-09,0.9215
3.1410e-09,0.8478
3.1643e-09,0.7491
3.1876e-09,0.6448
3.2108e-09,0.5296
3.2341e-09,0.4196
3.2574e-09,0.3249
3.2806e-09,0.2441
3.3039e-09,0.1787
3.3272e-09,0.1258
3.3504e-09,0.0850
3.3737e-09,0.0554
3.3970e-09,0.0304
3.4202e-09,0.0074
3.4435e-09,-0.0168
3.4668e-09,-0.0411
3.4901e-09,-0.0491
3.5133e-09,-0.0171
3.5366e-09,0.0447
3.5599e-09,0.1489
3.5831e-09,0.2877
3.6064e-09,0.4358
3.6297e-09,0.5993
3.6529e-09,0.7583
3.6762e-09,0.9071
3.6995e-09,1.0438
3.7227e-09,1.1577
3.7460e-09,1.2463
3.7693e-09,1.3027
3.7925e-09,1.3289
3.8158e-09,1.3384
3.8391e-09,1.3401
3.8623e-09,1.3431
3.8856e-09,1.3516
3.9089e-09,1.3611
3.9321e-09,1.3673
3.9554e-09,1.3662
3.9787e-09,1.3555
4.0019e-09,1.3353
4.0252e-09,1.3055
4.0485e-09,1.2694
4.0717e-09,1.2267
4.0950e-09,1.1754
4.1183e-09,1.1219
4.1415e-09,1.0720
4.1648e-09,1.0331
4.1881e-09,1.0117
4.2113e-09,1.0071
4.2346e-09,1.0161
4.2579e-09,1.0329
4.2811e-09,1.0490
4.3044e-09,1.0561
4.3277e-09,1.0381
4.3509e-09,0.9874
4.3742e-09,0.9147
4.3975e-09,0.8158
4.4207e-09,0.7028
4.4440e-09,0.5884
