.HEADER
..NAMES
Time,V U2.A3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1995
5.584e-10,1.1927
5.817e-10,1.1656
6.049e-10,1.1012
6.282e-10,0.9963
6.515e-10,0.8943
6.747e-10,0.8174
6.980e-10,0.7228
7.213e-10,0.5878
7.445e-10,0.4436
7.678e-10,0.3131
7.911e-10,0.2027
8.143e-10,0.1134
8.376e-10,0.0337
8.609e-10,-0.0405
8.841e-10,-0.0988
9.074e-10,-0.1308
9.307e-10,-0.1375
9.539e-10,-0.1324
9.772e-10,-0.1320
1.0005e-09,-0.1390
1.0237e-09,-0.1472
1.0470e-09,-0.1552
1.0703e-09,-0.1659
1.0935e-09,-0.1759
1.1168e-09,-0.1760
1.1401e-09,-0.1659
1.1633e-09,-0.1569
1.1866e-09,-0.1496
1.2099e-09,-0.1316
1.2332e-09,-0.0993
1.2564e-09,-0.0606
1.2797e-09,-0.0238
1.3030e-09,0.0062
1.3262e-09,0.0314
1.3495e-09,0.0585
1.3728e-09,0.0888
1.3960e-09,0.1146
1.4193e-09,0.1320
1.4426e-09,0.1553
1.4658e-09,0.2116
1.4891e-09,0.2904
1.5124e-09,0.3554
1.5356e-09,0.4150
1.5589e-09,0.5060
1.5822e-09,0.6249
1.6054e-09,0.7485
1.6287e-09,0.8653
1.6520e-09,0.9674
1.6752e-09,1.0556
1.6985e-09,1.1349
1.7218e-09,1.2005
1.7450e-09,1.2429
1.7683e-09,1.2588
1.7916e-09,1.2555
1.8148e-09,1.2484
1.8381e-09,1.2456
1.8614e-09,1.2425
1.8846e-09,1.2356
1.9079e-09,1.2324
1.9312e-09,1.2395
1.9544e-09,1.2498
1.9777e-09,1.2532
2.0010e-09,1.2536
2.0242e-09,1.2593
