.HEADER
..NAMES
Time,V U2.B8
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1999
3.723e-10,1.1999
3.955e-10,1.1999
4.188e-10,1.1999
4.421e-10,1.1999
4.653e-10,1.1999
4.886e-10,1.1999
5.119e-10,1.1999
5.351e-10,1.1988
5.584e-10,1.1847
5.817e-10,1.1443
6.049e-10,1.0541
6.282e-10,0.9349
6.515e-10,0.8366
6.747e-10,0.7502
6.980e-10,0.6397
7.213e-10,0.5194
7.445e-10,0.3981
7.678e-10,0.2710
7.911e-10,0.1569
8.143e-10,0.0654
8.376e-10,-0.0038
8.609e-10,-0.0512
8.841e-10,-0.0824
9.074e-10,-0.1080
9.307e-10,-0.1329
9.539e-10,-0.1518
9.772e-10,-0.1594
1.0005e-09,-0.1633
1.0237e-09,-0.1777
1.0470e-09,-0.2017
1.0703e-09,-0.2155
1.0935e-09,-0.2038
1.1168e-09,-0.1759
1.1401e-09,-0.1438
1.1633e-09,-0.1078
1.1866e-09,-0.0741
1.2099e-09,-0.0477
1.2332e-09,-0.0209
1.2564e-09,0.0094
1.2797e-09,0.0414
1.3030e-09,0.0740
1.3262e-09,0.0990
1.3495e-09,0.1074
1.3728e-09,0.1021
1.3960e-09,0.0966
1.4193e-09,0.1082
1.4426e-09,0.1558
1.4658e-09,0.2412
1.4891e-09,0.3266
1.5124e-09,0.3996
1.5356e-09,0.4927
1.5589e-09,0.6050
1.5822e-09,0.7168
1.6054e-09,0.8304
1.6287e-09,0.9354
1.6520e-09,1.0166
1.6752e-09,1.0770
1.6985e-09,1.1211
1.7218e-09,1.1528
1.7450e-09,1.1799
1.7683e-09,1.2039
1.7916e-09,1.2204
1.8148e-09,1.2266
1.8381e-09,1.2296
1.8614e-09,1.2431
1.8846e-09,1.2720
1.9079e-09,1.3028
1.9312e-09,1.3165
1.9544e-09,1.3110
1.9777e-09,1.2963
2.0010e-09,1.2747
2.0242e-09,1.2481
