.HEADER
..NAMES
Time,V U2.E7
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.1999
5.351e-10,1.1961
5.584e-10,1.1813
5.817e-10,1.1411
6.049e-10,1.0652
6.282e-10,0.9746
6.515e-10,0.8705
6.747e-10,0.7816
6.980e-10,0.7263
7.213e-10,0.6846
7.445e-10,0.6632
7.678e-10,0.6476
7.911e-10,0.6243
8.143e-10,0.6016
8.376e-10,0.5800
8.609e-10,0.5574
8.841e-10,0.5447
9.074e-10,0.5402
9.307e-10,0.5335
9.539e-10,0.5282
9.772e-10,0.5250
1.0005e-09,0.5466
1.0237e-09,0.6171
1.0470e-09,0.7133
1.0703e-09,0.8443
1.0935e-09,0.9626
1.1168e-09,1.0402
1.1401e-09,1.1009
1.1633e-09,1.1241
1.1866e-09,1.1365
1.2099e-09,1.1548
1.2332e-09,1.1658
1.2564e-09,1.1793
1.2797e-09,1.1975
1.3030e-09,1.2034
1.3262e-09,1.2015
1.3495e-09,1.2015
1.3728e-09,1.1922
1.3960e-09,1.1831
1.4193e-09,1.1508
1.4426e-09,1.0796
1.4658e-09,0.9904
1.4891e-09,0.8755
1.5124e-09,0.7782
1.5356e-09,0.7164
1.5589e-09,0.6695
1.5822e-09,0.6493
1.6054e-09,0.6322
1.6287e-09,0.6071
1.6520e-09,0.5853
1.6752e-09,0.5622
1.6985e-09,0.5385
1.7218e-09,0.5288
1.7450e-09,0.5277
1.7683e-09,0.5257
1.7916e-09,0.5272
1.8148e-09,0.5269
1.8381e-09,0.5557
1.8614e-09,0.6282
1.8846e-09,0.7281
1.9079e-09,0.8641
1.9312e-09,0.9765
1.9544e-09,1.0521
1.9777e-09,1.1078
2.0010e-09,1.1243
2.0242e-09,1.1378
2.0475e-09,1.1558
2.0708e-09,1.1673
2.0940e-09,1.1838
2.1173e-09,1.2025
2.1406e-09,1.2066
2.1638e-09,1.2047
2.1871e-09,1.2022
2.2104e-09,1.1884
2.2336e-09,1.1771
2.2569e-09,1.1360
2.2802e-09,1.0619
2.3034e-09,0.9699
2.3267e-09,0.8533
2.3500e-09,0.7637
2.3732e-09,0.7045
2.3965e-09,0.6624
2.4198e-09,0.6463
2.4430e-09,0.6276
2.4663e-09,0.6026
2.4896e-09,0.5812
2.5128e-09,0.5572
2.5361e-09,0.5349
2.5594e-09,0.5277
2.5826e-09,0.5259
2.6059e-09,0.5246
2.6292e-09,0.5268
2.6524e-09,0.5284
2.6757e-09,0.5682
2.6990e-09,0.6445
2.7222e-09,0.7516
2.7455e-09,0.8894
2.7688e-09,0.9924
2.7920e-09,1.0659
2.8153e-09,1.1141
2.8386e-09,1.1261
2.8618e-09,1.1415
2.8851e-09,1.1580
2.9084e-09,1.1694
2.9316e-09,1.1875
2.9549e-09,1.2041
2.9782e-09,1.2058
3.0014e-09,1.2046
3.0247e-09,1.2004
3.0480e-09,1.1859
3.0712e-09,1.1726
3.0945e-09,1.1226
3.1178e-09,1.0453
3.1410e-09,0.9479
3.1643e-09,0.8322
3.1876e-09,0.7506
3.2108e-09,0.6936
3.2341e-09,0.6572
3.2574e-09,0.6431
3.2806e-09,0.6225
3.3039e-09,0.5979
3.3272e-09,0.5767
3.3504e-09,0.5518
3.3737e-09,0.5320
3.3970e-09,0.5273
3.4202e-09,0.5250
3.4435e-09,0.5246
3.4668e-09,0.5234
3.4901e-09,0.5081
3.5133e-09,0.4938
3.5366e-09,0.4849
3.5599e-09,0.4822
3.5831e-09,0.4914
3.6064e-09,0.4980
3.6297e-09,0.5019
3.6529e-09,0.5051
3.6762e-09,0.5070
3.6995e-09,0.5130
3.7227e-09,0.5207
3.7460e-09,0.5266
3.7693e-09,0.5306
3.7925e-09,0.5315
3.8158e-09,0.5276
3.8391e-09,0.5232
3.8623e-09,0.5185
3.8856e-09,0.5194
3.9089e-09,0.5459
3.9321e-09,0.6177
3.9554e-09,0.7119
3.9787e-09,0.8319
4.0019e-09,0.9507
4.0252e-09,1.0311
4.0485e-09,1.0935
4.0717e-09,1.1255
4.0950e-09,1.1344
4.1183e-09,1.1457
4.1415e-09,1.1519
4.1648e-09,1.1589
4.1881e-09,1.1750
4.2113e-09,1.1873
4.2346e-09,1.1920
4.2579e-09,1.1972
4.2811e-09,1.1962
4.3044e-09,1.1876
4.3277e-09,1.1637
4.3509e-09,1.0974
4.3742e-09,1.0104
4.3975e-09,0.9029
4.4207e-09,0.7984
4.4440e-09,0.7311
4.4673e-09,0.6795
4.4905e-09,0.6507
4.5138e-09,0.6341
4.5371e-09,0.6105
4.5603e-09,0.5884
4.5836e-09,0.5680
4.6069e-09,0.5446
4.6301e-09,0.5308
4.6534e-09,0.5289
4.6767e-09,0.5262
4.6999e-09,0.5255
4.7232e-09,0.5182
4.7465e-09,0.5014
4.7697e-09,0.4906
4.7930e-09,0.4843
4.8163e-09,0.4862
4.8395e-09,0.4941
4.8628e-09,0.4974
4.8861e-09,0.5009
4.9093e-09,0.5043
4.9326e-09,0.5087
4.9559e-09,0.5164
4.9791e-09,0.5234
5.0024e-09,0.5281
5.0257e-09,0.5310
5.0489e-09,0.5301
5.0722e-09,0.5254
5.0955e-09,0.5208
5.1187e-09,0.5163
5.1420e-09,0.5157
5.1653e-09,0.5197
5.1885e-09,0.5227
5.2118e-09,0.5243
5.2351e-09,0.5223
5.2583e-09,0.5186
5.2816e-09,0.5178
5.3049e-09,0.5182
5.3281e-09,0.5195
5.3514e-09,0.5201
5.3747e-09,0.5186
5.3979e-09,0.5163
5.4212e-09,0.5142
5.4445e-09,0.5121
5.4677e-09,0.5109
5.4910e-09,0.5111
5.5143e-09,0.5119
5.5375e-09,0.5142
5.5608e-09,0.5241
5.5841e-09,0.5634
5.6073e-09,0.6418
5.6306e-09,0.7435
5.6539e-09,0.8722
5.6771e-09,0.9818
5.7004e-09,1.0551
5.7237e-09,1.1085
5.7469e-09,1.1250
5.7702e-09,1.1325
5.7935e-09,1.1445
5.8168e-09,1.1523
5.8400e-09,1.1656
5.8633e-09,1.1845
5.8866e-09,1.1940
5.9098e-09,1.1978
5.9331e-09,1.2013
5.9564e-09,1.1997
5.9796e-09,1.2061
6.0029e-09,1.2172
