.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
0.0e+00,-0.6841
2.33e-11,-0.6841
4.65e-11,-0.6841
6.98e-11,-0.6841
9.31e-11,-0.6841
1.163e-10,-0.6841
1.396e-10,-0.6841
1.629e-10,-0.6841
1.861e-10,-0.6841
2.094e-10,-0.6841
2.327e-10,-0.6841
2.559e-10,-0.6841
2.792e-10,-0.6841
3.025e-10,-0.6841
3.257e-10,-0.6841
3.490e-10,-0.6841
3.723e-10,-0.6841
3.955e-10,-0.6841
4.188e-10,-0.6841
4.421e-10,-0.6841
4.653e-10,-0.6841
4.886e-10,-0.6841
5.119e-10,-0.6841
5.351e-10,-0.6841
5.584e-10,-0.6841
5.817e-10,-0.6841
6.049e-10,-0.6841
6.282e-10,-0.6841
6.515e-10,-0.6841
6.747e-10,-0.6841
6.980e-10,-0.6841
7.213e-10,-0.6840
7.445e-10,-0.6823
7.678e-10,-0.6699
7.911e-10,-0.6233
8.143e-10,-0.5066
8.376e-10,-0.3209
8.609e-10,-0.1100
8.841e-10,0.0722
9.074e-10,0.2056
9.307e-10,0.3100
9.539e-10,0.4118
9.772e-10,0.5125
1.0005e-09,0.5904
1.0237e-09,0.6324
1.0470e-09,0.6430
1.0703e-09,0.6408
1.0935e-09,0.6419
1.1168e-09,0.6499
1.1401e-09,0.6579
1.1633e-09,0.6598
1.1866e-09,0.6504
1.2099e-09,0.6098
1.2332e-09,0.5031
1.2564e-09,0.3285
1.2797e-09,0.1258
1.3030e-09,-0.0510
1.3262e-09,-0.1826
1.3495e-09,-0.2904
1.3728e-09,-0.4038
1.3960e-09,-0.5219
1.4193e-09,-0.6171
1.4426e-09,-0.6691
1.4658e-09,-0.6809
1.4891e-09,-0.6760
1.5124e-09,-0.6761
1.5356e-09,-0.6851
1.5589e-09,-0.6916
1.5822e-09,-0.6856
1.6054e-09,-0.6622
1.6287e-09,-0.6056
1.6520e-09,-0.4868
1.6752e-09,-0.3078
1.6985e-09,-0.1068
1.7218e-09,0.0660
1.7450e-09,0.1951
1.7683e-09,0.3017
1.7916e-09,0.4131
1.8148e-09,0.5266
1.8381e-09,0.6160
1.8614e-09,0.6642
1.8846e-09,0.6760
1.9079e-09,0.6745
1.9312e-09,0.6791
1.9544e-09,0.6911
1.9777e-09,0.6985
2.0010e-09,0.6914
2.0242e-09,0.6651
2.0475e-09,0.6016
2.0708e-09,0.4745
2.0940e-09,0.2901
2.1173e-09,0.0890
2.1406e-09,-0.0804
2.1638e-09,-0.2073
2.1871e-09,-0.3137
2.2104e-09,-0.4252
2.2336e-09,-0.5366
2.2569e-09,-0.6227
2.2802e-09,-0.6673
2.3034e-09,-0.6763
2.3267e-09,-0.6732
2.3500e-09,-0.6771
2.3732e-09,-0.6889
2.3965e-09,-0.6960
2.4198e-09,-0.6885
2.4430e-09,-0.6605
2.4663e-09,-0.5918
2.4896e-09,-0.4582
2.5128e-09,-0.2700
2.5361e-09,-0.0701
2.5594e-09,0.0954
2.5826e-09,0.2201
2.6059e-09,0.3273
2.6292e-09,0.4402
2.6524e-09,0.5495
2.6757e-09,0.6302
2.6990e-09,0.6697
2.7222e-09,0.6769
2.7455e-09,0.6751
2.7688e-09,0.6807
2.7920e-09,0.6921
2.8153e-09,0.6972
2.8386e-09,0.6874
2.8618e-09,0.6568
2.8851e-09,0.5823
2.9084e-09,0.4418
2.9316e-09,0.2502
2.9549e-09,0.0525
2.9782e-09,-0.1075
3.0014e-09,-0.2283
3.0247e-09,-0.3348
3.0480e-09,-0.4483
3.0712e-09,-0.5567
3.0945e-09,-0.6352
3.1178e-09,-0.6717
