.HEADER
..NAMES
Time,V U2.T3
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0030
3.723e-10,0.0081
3.955e-10,0.0308
4.188e-10,0.0947
4.421e-10,0.2005
4.653e-10,0.3067
4.886e-10,0.4071
5.119e-10,0.5329
5.351e-10,0.6840
5.584e-10,0.8241
5.817e-10,0.9445
6.049e-10,1.0508
6.282e-10,1.1384
6.515e-10,1.1977
6.747e-10,1.2331
6.980e-10,1.2564
7.213e-10,1.2748
7.445e-10,1.2891
7.678e-10,1.3006
7.911e-10,1.3092
8.143e-10,1.3157
8.376e-10,1.3252
8.609e-10,1.3433
8.841e-10,1.3663
9.074e-10,1.3818
9.307e-10,1.3786
9.539e-10,1.3586
9.772e-10,1.3332
1.0005e-09,1.3049
1.0237e-09,1.2662
1.0470e-09,1.2195
1.0703e-09,1.1760
1.0935e-09,1.1393
1.1168e-09,1.1073
1.1401e-09,1.0843
1.1633e-09,1.0773
1.1866e-09,1.0796
1.2099e-09,1.0692
1.2332e-09,1.0232
1.2564e-09,0.9312
1.2797e-09,0.8262
1.3030e-09,0.7282
1.3262e-09,0.6146
1.3495e-09,0.4659
1.3728e-09,0.3106
1.3960e-09,0.1723
1.4193e-09,0.0543
1.4426e-09,-0.0404
1.4658e-09,-0.1022
1.4891e-09,-0.1334
1.5124e-09,-0.1450
1.5356e-09,-0.1471
1.5589e-09,-0.1437
1.5822e-09,-0.1388
1.6054e-09,-0.1325
1.6287e-09,-0.1257
1.6520e-09,-0.1255
1.6752e-09,-0.1422
1.6985e-09,-0.1735
1.7218e-09,-0.2035
1.7450e-09,-0.2163
1.7683e-09,-0.2086
1.7916e-09,-0.1893
1.8148e-09,-0.1643
1.8381e-09,-0.1286
1.8614e-09,-0.0792
1.8846e-09,-0.0243
1.9079e-09,0.0283
1.9312e-09,0.0762
1.9544e-09,0.1148
1.9777e-09,0.1352
2.0010e-09,0.1344
2.0242e-09,0.1197
2.0475e-09,0.1068
2.0708e-09,0.1157
2.0940e-09,0.1711
2.1173e-09,0.2572
2.1406e-09,0.3395
2.1638e-09,0.4308
2.1871e-09,0.5652
2.2104e-09,0.7256
2.2336e-09,0.8758
2.2569e-09,1.0065
2.2802e-09,1.1161
2.3034e-09,1.1967
2.3267e-09,1.2425
2.3500e-09,1.2606
2.3732e-09,1.2637
2.3965e-09,1.2595
2.4198e-09,1.2512
2.4430e-09,1.2404
2.4663e-09,1.2301
2.4896e-09,1.2283
2.5128e-09,1.2444
2.5361e-09,1.2799
2.5594e-09,1.3225
2.5826e-09,1.3549
2.6059e-09,1.3663
2.6292e-09,1.3616
2.6524e-09,1.3503
2.6757e-09,1.3287
2.6990e-09,1.2885
2.7222e-09,1.2352
2.7455e-09,1.1808
2.7688e-09,1.1301
2.7920e-09,1.0863
2.8153e-09,1.0585
2.8386e-09,1.0540
2.8618e-09,1.0695
2.8851e-09,1.0949
2.9084e-09,1.1224
2.9316e-09,1.1494
2.9549e-09,1.1752
2.9782e-09,1.1986
3.0014e-09,1.2151
3.0247e-09,1.2180
3.0480e-09,1.2049
3.0712e-09,1.1812
3.0945e-09,1.1565
3.1178e-09,1.1384
3.1410e-09,1.1287
3.1643e-09,1.1271
3.1876e-09,1.1350
3.2108e-09,1.1528
3.2341e-09,1.1770
3.2574e-09,1.2041
3.2806e-09,1.2327
3.3039e-09,1.2603
3.3272e-09,1.2801
3.3504e-09,1.2859
3.3737e-09,1.2773
3.3970e-09,1.2597
3.4202e-09,1.2385
3.4435e-09,1.2173
3.4668e-09,1.1974
3.4901e-09,1.1801
3.5133e-09,1.1674
3.5366e-09,1.1628
3.5599e-09,1.1681
3.5831e-09,1.1822
3.6064e-09,1.2008
3.6297e-09,1.2193
3.6529e-09,1.2338
3.6762e-09,1.2390
3.6995e-09,1.2215
3.7227e-09,1.1678
3.7460e-09,1.0625
3.7693e-09,0.9287
3.7925e-09,0.7997
3.8158e-09,0.6687
3.8391e-09,0.5096
3.8623e-09,0.3453
3.8856e-09,0.2102
3.9089e-09,0.1060
3.9321e-09,0.0232
3.9554e-09,-0.0349
3.9787e-09,-0.0662
4.0019e-09,-0.0807
4.0252e-09,-0.0921
4.0485e-09,-0.1056
4.0717e-09,-0.1223
4.0950e-09,-0.1416
4.1183e-09,-0.1629
4.1415e-09,-0.1867
4.1648e-09,-0.2160
4.1881e-09,-0.2487
4.2113e-09,-0.2732
4.2346e-09,-0.2768
4.2579e-09,-0.2552
4.2811e-09,-0.2171
4.3044e-09,-0.1737
4.3277e-09,-0.1241
4.3509e-09,-0.0645
4.3742e-09,-0.0037
4.3975e-09,0.0462
4.4207e-09,0.0832
