.HEADER
..NAMES
Time,V U2.E2
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.1994
5.584e-10,1.1903
5.817e-10,1.1585
6.049e-10,1.0852
6.282e-10,0.9742
6.515e-10,0.8776
6.747e-10,0.8175
6.980e-10,0.7609
7.213e-10,0.7077
7.445e-10,0.6708
7.678e-10,0.6382
7.911e-10,0.6095
8.143e-10,0.5879
8.376e-10,0.5692
8.609e-10,0.5572
8.841e-10,0.5485
9.074e-10,0.5372
9.307e-10,0.5257
9.539e-10,0.5184
9.772e-10,0.5178
1.0005e-09,0.5228
1.0237e-09,0.5271
1.0470e-09,0.5221
1.0703e-09,0.5064
1.0935e-09,0.4925
1.1168e-09,0.4896
1.1401e-09,0.4914
1.1633e-09,0.4932
1.1866e-09,0.4984
1.2099e-09,0.5056
1.2332e-09,0.5105
1.2564e-09,0.5140
1.2797e-09,0.5177
1.3030e-09,0.5213
1.3262e-09,0.5244
1.3495e-09,0.5243
1.3728e-09,0.5205
1.3960e-09,0.5198
1.4193e-09,0.5416
1.4426e-09,0.6248
1.4658e-09,0.7622
1.4891e-09,0.8741
1.5124e-09,0.9443
1.5356e-09,1.0160
1.5589e-09,1.0762
1.5822e-09,1.1149
1.6054e-09,1.1456
1.6287e-09,1.1655
1.6520e-09,1.1784
1.6752e-09,1.1876
1.6985e-09,1.1874
1.7218e-09,1.1868
1.7450e-09,1.1931
1.7683e-09,1.2028
1.7916e-09,1.2092
1.8148e-09,1.2067
1.8381e-09,1.1959
1.8614e-09,1.1858
1.8846e-09,1.1903
1.9079e-09,1.2095
1.9312e-09,1.2226
1.9544e-09,1.2200
1.9777e-09,1.2137
2.0010e-09,1.2092
2.0242e-09,1.2026
2.0475e-09,1.1967
2.0708e-09,1.1948
2.0940e-09,1.1948
2.1173e-09,1.1948
2.1406e-09,1.1930
2.1638e-09,1.1902
2.1871e-09,1.1915
2.2104e-09,1.1973
2.2336e-09,1.2025
2.2569e-09,1.2037
2.2802e-09,1.2002
2.3034e-09,1.1946
2.3267e-09,1.1929
2.3500e-09,1.1969
2.3732e-09,1.2018
2.3965e-09,1.2030
2.4198e-09,1.2018
2.4430e-09,1.2007
2.4663e-09,1.1990
2.4896e-09,1.1971
2.5128e-09,1.1970
2.5361e-09,1.1984
2.5594e-09,1.1997
2.5826e-09,1.1994
2.6059e-09,1.1979
2.6292e-09,1.1973
2.6524e-09,1.1989
2.6757e-09,1.2014
2.6990e-09,1.2025
2.7222e-09,1.2016
2.7455e-09,1.1993
2.7688e-09,1.1975
2.7920e-09,1.1978
2.8153e-09,1.1992
2.8386e-09,1.2002
2.8618e-09,1.2005
2.8851e-09,1.2003
2.9084e-09,1.1997
2.9316e-09,1.1989
2.9549e-09,1.1986
2.9782e-09,1.1993
3.0014e-09,1.2001
3.0247e-09,1.2002
3.0480e-09,1.1995
3.0712e-09,1.1988
3.0945e-09,1.1990
3.1178e-09,1.1998
3.1410e-09,1.2006
3.1643e-09,1.2006
3.1876e-09,1.2000
3.2108e-09,1.1992
3.2341e-09,1.1989
3.2574e-09,1.1992
3.2806e-09,1.1996
3.3039e-09,1.2000
3.3272e-09,1.2001
3.3504e-09,1.2000
3.3737e-09,1.1995
3.3970e-09,1.1993
3.4202e-09,1.1995
3.4435e-09,1.1998
3.4668e-09,1.1951
3.4901e-09,1.1715
3.5133e-09,1.1131
3.5366e-09,1.0096
3.5599e-09,0.9030
3.5831e-09,0.8337
3.6064e-09,0.7787
3.6297e-09,0.7223
3.6529e-09,0.6805
3.6762e-09,0.6474
3.6995e-09,0.6170
3.7227e-09,0.5936
3.7460e-09,0.5741
3.7693e-09,0.5601
3.7925e-09,0.5510
3.8158e-09,0.5407
3.8391e-09,0.5286
3.8623e-09,0.5196
3.8856e-09,0.5177
3.9089e-09,0.5319
3.9321e-09,0.5887
3.9554e-09,0.7074
3.9787e-09,0.8225
4.0019e-09,0.8917
4.0252e-09,0.9593
4.0485e-09,1.0316
4.0717e-09,1.0804
4.0950e-09,1.1188
4.1183e-09,1.1510
4.1415e-09,1.1706
4.1648e-09,1.1848
4.1881e-09,1.1916
4.2113e-09,1.1934
4.2346e-09,1.1992
4.2579e-09,1.2078
4.2811e-09,1.2117
4.3044e-09,1.2023
4.3277e-09,1.1662
4.3509e-09,1.0896
4.3742e-09,0.9813
4.3975e-09,0.8953
4.4207e-09,0.8457
4.4440e-09,0.7875
4.4673e-09,0.7246
4.4905e-09,0.6823
4.5138e-09,0.6459
4.5371e-09,0.6116
4.5603e-09,0.5880
4.5836e-09,0.5690
4.6069e-09,0.5550
4.6301e-09,0.5440
4.6534e-09,0.5300
4.6767e-09,0.5177
4.6999e-09,0.5137
4.7232e-09,0.5163
4.7465e-09,0.5217
4.7697e-09,0.5245
4.7930e-09,0.5172
4.8163e-09,0.5010
4.8395e-09,0.4901
4.8628e-09,0.4910
4.8861e-09,0.4937
4.9093e-09,0.4933
4.9326e-09,0.4964
4.9559e-09,0.5025
4.9791e-09,0.5065
5.0024e-09,0.5104
5.0257e-09,0.5159
5.0489e-09,0.5208
5.0722e-09,0.5241
5.0955e-09,0.5233
5.1187e-09,0.5193
5.1420e-09,0.5170
5.1653e-09,0.5182
5.1885e-09,0.5208
5.2118e-09,0.5228
5.2351e-09,0.5215
5.2583e-09,0.5167
5.2816e-09,0.5128
5.3049e-09,0.5130
5.3281e-09,0.5149
5.3514e-09,0.5158
5.3747e-09,0.5167
5.3979e-09,0.5178
5.4212e-09,0.5175
5.4445e-09,0.5162
5.4677e-09,0.5156
5.4910e-09,0.5159
5.5143e-09,0.5160
5.5375e-09,0.5148
5.5608e-09,0.5123
5.5841e-09,0.5105
5.6073e-09,0.5109
5.6306e-09,0.5126
5.6539e-09,0.5143
5.6771e-09,0.5150
5.7004e-09,0.5141
5.7237e-09,0.5129
5.7469e-09,0.5128
5.7702e-09,0.5135
5.7935e-09,0.5141
5.8168e-09,0.5146
5.8400e-09,0.5149
5.8633e-09,0.5146
5.8866e-09,0.5138
5.9098e-09,0.5133
5.9331e-09,0.5136
5.9564e-09,0.5142
5.9796e-09,0.5142
6.0029e-09,0.5136
