.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
0.0e+00,-0.6861
2.33e-11,-0.6861
4.65e-11,-0.6861
6.98e-11,-0.6861
9.31e-11,-0.6861
1.163e-10,-0.6861
1.396e-10,-0.6861
1.629e-10,-0.6861
1.861e-10,-0.6861
2.094e-10,-0.6861
2.327e-10,-0.6861
2.559e-10,-0.6861
2.792e-10,-0.6861
3.025e-10,-0.6861
3.257e-10,-0.6861
3.490e-10,-0.6861
3.723e-10,-0.6861
3.955e-10,-0.6861
4.188e-10,-0.6861
4.421e-10,-0.6861
4.653e-10,-0.6861
4.886e-10,-0.6861
5.119e-10,-0.6861
5.351e-10,-0.6861
5.584e-10,-0.6861
5.817e-10,-0.6861
6.049e-10,-0.6861
6.282e-10,-0.6861
6.515e-10,-0.6861
6.747e-10,-0.6861
6.980e-10,-0.6861
7.213e-10,-0.6860
7.445e-10,-0.6810
7.678e-10,-0.6495
7.911e-10,-0.5455
8.143e-10,-0.3251
8.376e-10,-0.0739
8.609e-10,0.1057
8.841e-10,0.2298
9.074e-10,0.3422
9.307e-10,0.4415
9.539e-10,0.5056
9.772e-10,0.5376
1.0005e-09,0.5723
1.0237e-09,0.6054
1.0470e-09,0.6159
1.0703e-09,0.6177
1.0935e-09,0.6368
1.1168e-09,0.6696
1.1401e-09,0.6912
1.1633e-09,0.6884
1.1866e-09,0.6481
1.2099e-09,0.5369
1.2332e-09,0.3243
1.2564e-09,0.0928
1.2797e-09,-0.0785
1.3030e-09,-0.2146
1.3262e-09,-0.3429
1.3495e-09,-0.4546
1.3728e-09,-0.5311
1.3960e-09,-0.5756
1.4193e-09,-0.6111
1.4426e-09,-0.6342
1.4658e-09,-0.6414
1.4891e-09,-0.6479
1.5124e-09,-0.6640
1.5356e-09,-0.6813
1.5589e-09,-0.6904
1.5822e-09,-0.6876
1.6054e-09,-0.6492
1.6287e-09,-0.5280
1.6520e-09,-0.3045
1.6752e-09,-0.0778
1.6985e-09,0.0858
1.7218e-09,0.2238
1.7450e-09,0.3571
1.7683e-09,0.4659
1.7916e-09,0.5320
1.8148e-09,0.5719
1.8381e-09,0.6128
1.8614e-09,0.6408
1.8846e-09,0.6455
1.9079e-09,0.6468
1.9312e-09,0.6629
1.9544e-09,0.6846
1.9777e-09,0.6953
2.0010e-09,0.6859
2.0242e-09,0.6379
2.0475e-09,0.5077
2.0708e-09,0.2823
2.0940e-09,0.0585
2.1173e-09,-0.1032
2.1406e-09,-0.2372
2.1638e-09,-0.3613
2.1871e-09,-0.4657
2.2104e-09,-0.5358
2.2336e-09,-0.5806
2.2569e-09,-0.6183
2.2802e-09,-0.6399
2.3034e-09,-0.6461
2.3267e-09,-0.6538
2.3500e-09,-0.6711
2.3732e-09,-0.6875
2.3965e-09,-0.6944
2.4198e-09,-0.6851
2.4430e-09,-0.6329
2.4663e-09,-0.4877
2.4896e-09,-0.2531
2.5128e-09,-0.0377
2.5361e-09,0.1150
2.5594e-09,0.2508
2.5826e-09,0.3807
2.6059e-09,0.4827
2.6292e-09,0.5413
2.6524e-09,0.5796
2.6757e-09,0.6190
2.6990e-09,0.6421
2.7222e-09,0.6451
2.7455e-09,0.6495
2.7688e-09,0.6685
2.7920e-09,0.6886
2.8153e-09,0.6960
2.8386e-09,0.6807
2.8618e-09,0.6208
2.8851e-09,0.4682
2.9084e-09,0.2337
2.9316e-09,0.0217
2.9549e-09,-0.1307
2.9782e-09,-0.2633
3.0014e-09,-0.3851
3.0247e-09,-0.4831
3.0480e-09,-0.5454
3.0712e-09,-0.5881
3.0945e-09,-0.6242
3.1178e-09,-0.6421
3.1410e-09,-0.6469
3.1643e-09,-0.6562
3.1876e-09,-0.6747
3.2108e-09,-0.6896
3.2341e-09,-0.6944
3.2574e-09,-0.6793
3.2806e-09,-0.6133
3.3039e-09,-0.4452
3.3272e-09,-0.2052
3.3504e-09,-0.0033
3.3737e-09,0.1420
3.3970e-09,0.2776
3.4202e-09,0.4038
3.4435e-09,0.4976
3.4668e-09,0.5493
3.4901e-09,0.5877
3.5133e-09,0.6257
3.5366e-09,0.6437
3.5599e-09,0.6449
3.5831e-09,0.6522
3.6064e-09,0.6731
3.6297e-09,0.6913
3.6529e-09,0.6952
3.6762e-09,0.6733
3.6995e-09,0.5995
3.7227e-09,0.4250
3.7460e-09,0.1865
3.7693e-09,-0.0121
3.7925e-09,-0.1573
3.8158e-09,-0.2883
3.8391e-09,-0.4069
3.8623e-09,-0.4983
3.8856e-09,-0.5544
3.9089e-09,-0.5959
3.9321e-09,-0.6294
3.9554e-09,-0.6435
3.9787e-09,-0.6479
