.HEADER
..NAMES
Time,V U1.T4
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0321
2.094e-10,0.1138
2.327e-10,0.2741
2.559e-10,0.4009
2.792e-10,0.4997
3.025e-10,0.5662
3.257e-10,0.6086
3.490e-10,0.6309
3.723e-10,0.6422
3.955e-10,0.6489
4.188e-10,0.6539
4.421e-10,0.6581
4.653e-10,0.6618
4.886e-10,0.6648
5.119e-10,0.6668
5.351e-10,0.6668
5.584e-10,0.6647
5.817e-10,0.6623
6.049e-10,0.6613
6.282e-10,0.6635
6.515e-10,0.6699
6.747e-10,0.6826
6.980e-10,0.7076
7.213e-10,0.7488
7.445e-10,0.8060
7.678e-10,0.8756
7.911e-10,0.9508
8.143e-10,1.0231
8.376e-10,1.0857
8.609e-10,1.1345
8.841e-10,1.1698
9.074e-10,1.1938
9.307e-10,1.2097
9.539e-10,1.2204
9.772e-10,1.2276
1.0005e-09,1.2330
1.0237e-09,1.2384
1.0470e-09,1.2441
1.0703e-09,1.2496
1.0935e-09,1.2531
1.1168e-09,1.2542
1.1401e-09,1.2530
1.1633e-09,1.2495
1.1866e-09,1.2424
1.2099e-09,1.2307
1.2332e-09,1.2138
1.2564e-09,1.1925
1.2797e-09,1.1695
1.3030e-09,1.1486
1.3262e-09,1.1340
1.3495e-09,1.1280
1.3728e-09,1.1306
1.3960e-09,1.1337
1.4193e-09,1.1065
1.4426e-09,1.0336
1.4658e-09,0.8706
1.4891e-09,0.7351
1.5124e-09,0.6431
1.5356e-09,0.5820
1.5589e-09,0.5440
1.5822e-09,0.5223
1.6054e-09,0.5112
1.6287e-09,0.5058
1.6520e-09,0.5042
1.6752e-09,0.5037
1.6985e-09,0.5052
1.7218e-09,0.5087
1.7450e-09,0.5147
1.7683e-09,0.5231
1.7916e-09,0.5326
1.8148e-09,0.5392
1.8381e-09,0.5399
1.8614e-09,0.5319
1.8846e-09,0.5155
1.9079e-09,0.4919
1.9312e-09,0.4574
1.9544e-09,0.4086
1.9777e-09,0.3468
2.0010e-09,0.2763
2.0242e-09,0.2035
2.0475e-09,0.1361
2.0708e-09,0.0791
2.0940e-09,0.0352
2.1173e-09,0.0033
2.1406e-09,-0.0193
2.1638e-09,-0.0355
2.1871e-09,-0.0474
2.2104e-09,-0.0563
2.2336e-09,-0.0636
2.2569e-09,-0.0709
2.2802e-09,-0.0783
2.3034e-09,-0.0845
2.3267e-09,-0.0868
2.3500e-09,-0.0843
2.3732e-09,-0.0777
2.3965e-09,-0.0679
2.4198e-09,-0.0550
2.4430e-09,-0.0389
2.4663e-09,-0.0193
2.4896e-09,0.0027
2.5128e-09,0.0252
2.5361e-09,0.0449
2.5594e-09,0.0584
2.5826e-09,0.0640
2.6059e-09,0.0624
2.6292e-09,0.0562
2.6524e-09,0.0486
2.6757e-09,0.0413
2.6990e-09,0.0354
2.7222e-09,0.0314
2.7455e-09,0.0295
2.7688e-09,0.0294
2.7920e-09,0.0301
2.8153e-09,0.0299
2.8386e-09,0.0278
2.8618e-09,0.0236
2.8851e-09,0.0176
2.9084e-09,0.0106
2.9316e-09,0.0034
2.9549e-09,-0.0038
2.9782e-09,-0.0110
3.0014e-09,-0.0180
3.0247e-09,-0.0240
3.0480e-09,-0.0274
3.0712e-09,-0.0269
3.0945e-09,-0.0224
3.1178e-09,-0.0155
3.1410e-09,-0.0080
3.1643e-09,-0.0019
3.1876e-09,0.0021
3.2108e-09,0.0038
3.2341e-09,0.0035
3.2574e-09,0.0018
3.2806e-09,-0.0002
3.3039e-09,-0.0018
3.3272e-09,-0.0022
3.3504e-09,-0.0011
3.3737e-09,0.0014
3.3970e-09,0.0048
3.4202e-09,0.0081
3.4435e-09,0.0107
3.4668e-09,0.0125
3.4901e-09,0.0139
3.5133e-09,0.0148
3.5366e-09,0.0151
3.5599e-09,0.0140
3.5831e-09,0.0112
3.6064e-09,0.0071
3.6297e-09,0.0027
3.6529e-09,-0.0010
3.6762e-09,-0.0030
3.6995e-09,-0.0031
3.7227e-09,-0.0017
3.7460e-09,0.0005
3.7693e-09,0.0027
3.7925e-09,0.0045
3.8158e-09,0.0053
3.8391e-09,0.0050
3.8623e-09,0.0037
3.8856e-09,0.0017
3.9089e-09,-0.0003
3.9321e-09,-0.0017
3.9554e-09,-0.0023
3.9787e-09,-0.0022
4.0019e-09,-0.0017
4.0252e-09,-0.0011
4.0485e-09,-0.0003
4.0717e-09,0.0010
4.0950e-09,0.0027
4.1183e-09,0.0046
4.1415e-09,0.0064
4.1648e-09,0.0073
4.1881e-09,0.0071
4.2113e-09,0.0058
4.2346e-09,0.0040
4.2579e-09,0.0022
4.2811e-09,0.0009
4.3044e-09,0.0004
4.3277e-09,0.0006
4.3509e-09,0.0015
4.3742e-09,0.0028
4.3975e-09,0.0042
4.4207e-09,0.0052
