.HEADER
..NAMES
Time,V U2.G2
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1966
1.736e-10,1.1767
1.833e-10,1.1443
1.929e-10,1.0931
2.025e-10,1.0218
2.122e-10,0.9465
2.218e-10,0.8697
2.315e-10,0.7862
2.411e-10,0.7009
2.508e-10,0.6151
2.604e-10,0.5292
2.701e-10,0.4528
2.797e-10,0.3882
2.893e-10,0.3364
2.990e-10,0.3032
3.086e-10,0.2850
3.183e-10,0.2759
3.279e-10,0.2755
3.376e-10,0.2813
3.472e-10,0.2939
3.569e-10,0.3163
3.665e-10,0.3441
3.762e-10,0.3664
3.858e-10,0.3822
3.954e-10,0.3944
4.051e-10,0.4051
4.147e-10,0.4187
4.244e-10,0.4317
4.340e-10,0.4391
4.437e-10,0.4420
4.533e-10,0.4425
4.630e-10,0.4429
4.726e-10,0.4477
4.823e-10,0.4576
4.919e-10,0.4705
5.015e-10,0.4837
5.112e-10,0.4947
5.208e-10,0.5026
5.305e-10,0.5077
5.401e-10,0.5100
5.498e-10,0.5095
5.594e-10,0.5051
5.691e-10,0.4959
5.787e-10,0.4833
5.883e-10,0.4711
5.980e-10,0.4642
6.076e-10,0.4656
6.173e-10,0.4742
6.269e-10,0.4877
6.366e-10,0.5043
6.462e-10,0.5221
6.559e-10,0.5401
6.655e-10,0.5570
6.751e-10,0.5695
6.848e-10,0.5735
6.944e-10,0.5656
7.041e-10,0.5439
7.137e-10,0.5093
7.234e-10,0.4649
7.330e-10,0.4131
7.427e-10,0.3563
7.523e-10,0.2950
7.620e-10,0.2288
7.716e-10,0.1602
7.812e-10,0.0939
7.909e-10,0.0340
8.005e-10,-0.0169
8.102e-10,-0.0574
8.198e-10,-0.0882
8.295e-10,-0.1102
8.391e-10,-0.1228
8.488e-10,-0.1254
8.584e-10,-0.1175
8.681e-10,-0.1006
8.777e-10,-0.0790
