.HEADER
..NAMES
Time,V U2.C7
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1988
1.736e-10,1.1803
1.833e-10,1.1405
1.929e-10,1.0745
2.025e-10,0.9760
2.122e-10,0.8580
2.218e-10,0.7464
2.315e-10,0.6464
2.411e-10,0.5629
2.508e-10,0.5080
2.604e-10,0.4795
2.701e-10,0.4617
2.797e-10,0.4488
2.893e-10,0.4365
2.990e-10,0.4166
3.086e-10,0.3893
3.183e-10,0.3655
3.279e-10,0.3464
3.376e-10,0.3310
3.472e-10,0.3264
3.569e-10,0.3393
3.665e-10,0.3649
3.762e-10,0.3917
3.858e-10,0.4101
3.954e-10,0.4192
4.051e-10,0.4189
4.147e-10,0.4154
4.244e-10,0.4141
4.340e-10,0.4146
4.437e-10,0.4168
4.533e-10,0.4245
4.630e-10,0.4375
4.726e-10,0.4515
4.823e-10,0.4620
4.919e-10,0.4667
5.015e-10,0.4631
5.112e-10,0.4497
5.208e-10,0.4264
5.305e-10,0.3964
5.401e-10,0.3665
5.498e-10,0.3463
5.594e-10,0.3437
5.691e-10,0.3634
5.787e-10,0.4058
5.883e-10,0.4656
5.980e-10,0.5309
6.076e-10,0.5873
6.173e-10,0.6226
6.269e-10,0.6318
6.366e-10,0.6176
6.462e-10,0.5888
6.559e-10,0.5551
6.655e-10,0.5240
6.751e-10,0.4989
6.848e-10,0.4788
6.944e-10,0.4574
7.041e-10,0.4279
7.137e-10,0.3872
7.234e-10,0.3354
7.330e-10,0.2749
7.427e-10,0.2101
7.523e-10,0.1474
7.620e-10,0.0926
7.716e-10,0.0494
7.812e-10,0.0278
7.909e-10,0.0276
8.005e-10,0.0426
8.102e-10,0.0651
8.198e-10,0.0894
8.295e-10,0.1115
8.391e-10,0.1406
8.488e-10,0.1793
8.584e-10,0.2299
8.681e-10,0.2893
8.777e-10,0.3497
8.873e-10,0.4056
