.HEADER
..NAMES
Time,V U2.D7
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,0.0010
1.640e-10,-0.0022
1.736e-10,0.0020
1.833e-10,0.0219
1.929e-10,0.0502
2.025e-10,0.0812
2.122e-10,0.1210
2.218e-10,0.1708
2.315e-10,0.2294
2.411e-10,0.2968
2.508e-10,0.3662
2.604e-10,0.4316
2.701e-10,0.4864
2.797e-10,0.5259
2.893e-10,0.5529
2.990e-10,0.5726
3.086e-10,0.5850
3.183e-10,0.5887
3.279e-10,0.5890
3.376e-10,0.5900
3.472e-10,0.5908
3.569e-10,0.5900
3.665e-10,0.5909
3.762e-10,0.5956
3.858e-10,0.6021
3.954e-10,0.6087
4.051e-10,0.6150
4.147e-10,0.6203
4.244e-10,0.6234
4.340e-10,0.6242
4.437e-10,0.6222
4.533e-10,0.6187
4.630e-10,0.6148
4.726e-10,0.6101
4.823e-10,0.6053
4.919e-10,0.6023
5.015e-10,0.6021
5.112e-10,0.6041
5.208e-10,0.6085
5.305e-10,0.6164
5.401e-10,0.6274
5.498e-10,0.6407
5.594e-10,0.6550
5.691e-10,0.6681
5.787e-10,0.6759
5.883e-10,0.6757
5.980e-10,0.6671
6.076e-10,0.6511
6.173e-10,0.6296
6.269e-10,0.6052
6.366e-10,0.5802
6.462e-10,0.5576
6.559e-10,0.5403
6.655e-10,0.5300
6.751e-10,0.5279
6.848e-10,0.5349
6.944e-10,0.5500
7.041e-10,0.5702
7.137e-10,0.5918
7.234e-10,0.6118
7.330e-10,0.6285
7.427e-10,0.6428
7.523e-10,0.6578
7.620e-10,0.6765
7.716e-10,0.6997
7.812e-10,0.7270
7.909e-10,0.7456
8.005e-10,0.7382
8.102e-10,0.7134
8.198e-10,0.6755
8.295e-10,0.6133
8.391e-10,0.5449
8.488e-10,0.4926
8.584e-10,0.4483
8.681e-10,0.4100
8.777e-10,0.3829
8.873e-10,0.3656
8.970e-10,0.3581
9.066e-10,0.3574
9.163e-10,0.3584
9.259e-10,0.3647
9.356e-10,0.3762
9.452e-10,0.3830
9.549e-10,0.3814
9.645e-10,0.3805
9.741e-10,0.3835
9.838e-10,0.3873
9.934e-10,0.3972
1.0031e-09,0.4168
1.0127e-09,0.4355
1.0224e-09,0.4470
1.0320e-09,0.4543
1.0417e-09,0.4601
1.0513e-09,0.4618
1.0609e-09,0.4588
1.0706e-09,0.4538
1.0802e-09,0.4481
1.0899e-09,0.4440
1.0995e-09,0.4419
1.1092e-09,0.4406
1.1188e-09,0.4385
1.1285e-09,0.4338
1.1381e-09,0.4247
1.1478e-09,0.4115
1.1574e-09,0.3968
1.1670e-09,0.3819
1.1767e-09,0.3691
1.1863e-09,0.3638
1.1960e-09,0.3725
1.2056e-09,0.3967
1.2153e-09,0.4350
1.2249e-09,0.4840
1.2346e-09,0.5360
1.2442e-09,0.5798
1.2539e-09,0.6064
1.2635e-09,0.6125
1.2731e-09,0.5996
1.2828e-09,0.5743
1.2924e-09,0.5439
1.3021e-09,0.5142
1.3117e-09,0.4880
1.3214e-09,0.4650
1.3310e-09,0.4415
1.3407e-09,0.4143
1.3503e-09,0.3834
1.3599e-09,0.3499
1.3696e-09,0.3133
1.3792e-09,0.2733
1.3889e-09,0.2306
1.3985e-09,0.1847
1.4082e-09,0.1462
1.4178e-09,0.1237
1.4275e-09,0.1215
1.4371e-09,0.1386
1.4468e-09,0.1721
1.4564e-09,0.2189
1.4660e-09,0.2784
1.4757e-09,0.3428
1.4853e-09,0.4030
1.4950e-09,0.4548
1.5046e-09,0.4929
1.5143e-09,0.5160
1.5239e-09,0.5270
1.5336e-09,0.5297
1.5432e-09,0.5271
1.5528e-09,0.5220
1.5625e-09,0.5148
1.5721e-09,0.5076
1.5818e-09,0.5002
1.5914e-09,0.4908
1.6011e-09,0.4792
1.6107e-09,0.4681
1.6204e-09,0.4602
1.6300e-09,0.4566
1.6396e-09,0.4572
1.6493e-09,0.4627
1.6589e-09,0.4733
1.6686e-09,0.4869
1.6782e-09,0.5005
1.6879e-09,0.5112
1.6975e-09,0.5171
1.7072e-09,0.5171
1.7168e-09,0.5117
1.7265e-09,0.5033
1.7361e-09,0.4963
1.7457e-09,0.4953
1.7554e-09,0.5018
1.7650e-09,0.5161
1.7747e-09,0.5359
1.7843e-09,0.5575
1.7940e-09,0.5757
1.8036e-09,0.5861
1.8133e-09,0.5852
1.8229e-09,0.5718
1.8326e-09,0.5463
1.8422e-09,0.5112
1.8518e-09,0.4712
1.8615e-09,0.4314
1.8711e-09,0.3967
1.8808e-09,0.3716
1.8904e-09,0.3592
1.9001e-09,0.3603
1.9097e-09,0.3729
1.9194e-09,0.3937
1.9290e-09,0.4190
1.9386e-09,0.4451
1.9483e-09,0.4693
1.9579e-09,0.4901
1.9676e-09,0.5084
1.9772e-09,0.5270
1.9869e-09,0.5491
1.9965e-09,0.5771
2.0062e-09,0.6117
2.0158e-09,0.6516
2.0255e-09,0.6951
2.0351e-09,0.7386
2.0447e-09,0.7571
2.0544e-09,0.7477
2.0640e-09,0.7240
2.0737e-09,0.6809
2.0833e-09,0.6143
2.0930e-09,0.5512
2.1026e-09,0.5002
2.1123e-09,0.4530
2.1219e-09,0.4140
2.1315e-09,0.3869
2.1412e-09,0.3717
2.1508e-09,0.3664
2.1605e-09,0.3651
2.1701e-09,0.3648
2.1798e-09,0.3720
2.1894e-09,0.3827
2.1991e-09,0.3874
2.2087e-09,0.3891
2.2183e-09,0.3959
2.2280e-09,0.4064
2.2376e-09,0.4158
2.2473e-09,0.4295
2.2569e-09,0.4430
2.2666e-09,0.4456
2.2762e-09,0.4371
2.2859e-09,0.4245
2.2955e-09,0.4120
2.3052e-09,0.4000
2.3148e-09,0.3916
2.3244e-09,0.3883
2.3341e-09,0.3917
2.3437e-09,0.4021
2.3534e-09,0.4174
2.3630e-09,0.4325
2.3727e-09,0.4439
2.3823e-09,0.4481
2.3920e-09,0.4423
2.4016e-09,0.4279
2.4113e-09,0.4083
2.4209e-09,0.3870
2.4305e-09,0.3699
2.4402e-09,0.3651
2.4498e-09,0.3782
2.4595e-09,0.4081
2.4691e-09,0.4511
2.4788e-09,0.5009
2.4884e-09,0.5474
2.4981e-09,0.5804
2.5077e-09,0.5943
2.5173e-09,0.5883
2.5270e-09,0.5661
2.5366e-09,0.5348
2.5463e-09,0.5011
2.5559e-09,0.4692
2.5656e-09,0.4410
2.5752e-09,0.4156
2.5849e-09,0.3899
2.5945e-09,0.3621
2.6042e-09,0.3325
2.6138e-09,0.3005
2.6234e-09,0.2647
2.6331e-09,0.2251
2.6427e-09,0.1827
2.6524e-09,0.1381
2.6620e-09,0.0937
2.6717e-09,0.0540
2.6813e-09,0.0223
2.6910e-09,-0.0009
2.7006e-09,-0.0168
2.7102e-09,-0.0278
2.7199e-09,-0.0363
2.7295e-09,-0.0450
2.7392e-09,-0.0554
2.7488e-09,-0.0665
2.7585e-09,-0.0754
2.7681e-09,-0.0804
2.7778e-09,-0.0819
2.7874e-09,-0.0804
2.7970e-09,-0.0756
2.8067e-09,-0.0692
2.8163e-09,-0.0641
2.8260e-09,-0.0624
2.8356e-09,-0.0647
2.8453e-09,-0.0721
2.8549e-09,-0.0840
2.8646e-09,-0.0976
2.8742e-09,-0.1091
2.8839e-09,-0.1158
2.8935e-09,-0.1159
2.9031e-09,-0.1084
2.9128e-09,-0.0934
2.9224e-09,-0.0734
2.9321e-09,-0.0529
2.9417e-09,-0.0361
2.9514e-09,-0.0253
2.9610e-09,-0.0217
2.9707e-09,-0.0255
2.9803e-09,-0.0346
2.9900e-09,-0.0453
2.9996e-09,-0.0540
3.0092e-09,-0.0596
3.0189e-09,-0.0617
3.0285e-09,-0.0611
3.0382e-09,-0.0598
3.0478e-09,-0.0598
3.0575e-09,-0.0621
3.0671e-09,-0.0664
3.0768e-09,-0.0724
3.0864e-09,-0.0800
3.0960e-09,-0.0891
3.1057e-09,-0.0986
3.1153e-09,-0.1072
3.1250e-09,-0.1138
3.1346e-09,-0.1172
3.1443e-09,-0.1161
3.1539e-09,-0.1108
3.1636e-09,-0.1026
3.1732e-09,-0.0939
3.1828e-09,-0.0861
3.1925e-09,-0.0799
3.2021e-09,-0.0751
3.2118e-09,-0.0706
3.2214e-09,-0.0648
3.2311e-09,-0.0567
3.2407e-09,-0.0465
3.2504e-09,-0.0354
3.2600e-09,-0.0246
3.2697e-09,-0.0156
3.2793e-09,-0.0114
3.2889e-09,-0.0160
3.2986e-09,-0.0172
3.3082e-09,-0.0038
3.3179e-09,0.0179
3.3275e-09,0.0430
3.3372e-09,0.0798
3.3468e-09,0.1304
3.3565e-09,0.1943
3.3661e-09,0.2707
3.3757e-09,0.3514
3.3854e-09,0.4295
3.3950e-09,0.4957
3.4047e-09,0.5432
3.4143e-09,0.5748
3.4240e-09,0.5969
3.4336e-09,0.6101
3.4433e-09,0.6133
3.4529e-09,0.6135
3.4626e-09,0.6164
3.4722e-09,0.6208
3.4818e-09,0.6240
3.4915e-09,0.6285
3.5011e-09,0.6361
3.5108e-09,0.6438
3.5204e-09,0.6494
3.5301e-09,0.6531
3.5397e-09,0.6548
3.5494e-09,0.6540
3.5590e-09,0.6508
3.5687e-09,0.6453
3.5783e-09,0.6394
3.5879e-09,0.6347
3.5976e-09,0.6304
3.6072e-09,0.6268
3.6169e-09,0.6255
3.6265e-09,0.6266
3.6362e-09,0.6285
3.6458e-09,0.6316
3.6555e-09,0.6377
3.6651e-09,0.6475
3.6747e-09,0.6612
3.6844e-09,0.6789
3.6940e-09,0.6980
3.7037e-09,0.7134
3.7133e-09,0.7205
3.7230e-09,0.7172
3.7326e-09,0.7037
3.7423e-09,0.6817
3.7519e-09,0.6542
3.7616e-09,0.6246
3.7712e-09,0.5971
3.7808e-09,0.5756
3.7905e-09,0.5623
3.8001e-09,0.5582
3.8098e-09,0.5641
3.8194e-09,0.5791
3.8291e-09,0.5996
3.8387e-09,0.6211
3.8484e-09,0.6402
3.8580e-09,0.6547
3.8676e-09,0.6652
3.8773e-09,0.6753
3.8869e-09,0.6889
3.8966e-09,0.7074
3.9062e-09,0.7310
3.9159e-09,0.7596
3.9255e-09,0.7923
3.9352e-09,0.8277
3.9448e-09,0.8637
3.9545e-09,0.8989
3.9641e-09,0.9324
3.9737e-09,0.9634
3.9834e-09,0.9902
3.9930e-09,1.0122
4.0027e-09,1.0300
4.0123e-09,1.0445
4.0220e-09,1.0566
4.0316e-09,1.0678
4.0413e-09,1.0796
4.0509e-09,1.0923
4.0605e-09,1.1049
4.0702e-09,1.1177
4.0798e-09,1.1309
4.0895e-09,1.1441
4.0991e-09,1.1567
4.1088e-09,1.1691
4.1184e-09,1.1822
4.1281e-09,1.1960
4.1377e-09,1.2096
4.1474e-09,1.2215
4.1570e-09,1.2303
4.1666e-09,1.2343
4.1763e-09,1.2323
4.1859e-09,1.2245
4.1956e-09,1.2132
4.2052e-09,1.2011
4.2149e-09,1.1901
